# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: cb09587c-5cfc-49f7-abb2-c31d0a884b61
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,1.2055,0.0000,2.0000,0.4397,0.7200,1.0000,1.0000,1.0000,1.0000,1.0000,2.0000,2.0000,2.0000,qwen/qwen1.5-0.5b,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen1.5-0.5B,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen1.5-0.5B,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen1.5-0.5B,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen1.5-0.5B,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen1.5-0.5B,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,23221.0000,23221.0000,23221.0000,0.0000,23221.0000,23221.0000,23221.0000,23221.0000,23221.0000,23221.0000,23221.0000,23221.0000,23221.0000,Qwen/Qwen1.5-0.5B,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,qwen/qwen1.5-0.5b,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,9741.0000,408.1723,,,,,,,,,,,,qwen/qwen1.5-0.5b,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,4.0000,0.1700,,,,,,,,chat_completions,,unary,success,qwen/qwen1.5-0.5b,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,10388253118412311522,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,4,0.1700,0.0121,0.0005,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,0.0030,,,,,detokenize,Tokenizer latency in milliseconds,0.5=4;1=4;2=4;4=4;8=4;16=4;32=4;64=4;128=4;256=4;512=4;+Inf=4
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,3,0.1257,4.2185,0.1768,1.4062,1.1427,1.1642,1.1911,1.2717,1.4062,1.5406,1.6213,1.6482,1.6697,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=0;2=3;4=3;8=3;16=3;32=3;64=3;128=3;256=3;512=3;+Inf=3
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,3,0.1257,1704.0000,71.4019,568.0000,432.7022,443.5111,457.0222,497.5556,565.1111,638.4444,682.4444,697.1111,708.8444,,,,qwen/qwen1.5-0.5b,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=3;1800=3;3600=3;7400=3;15000=3;31000=3;63000=3;130000=3;+Inf=3
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,9738,408.0466,28.9044,1.2112,0.0030,0.0019,0.0020,0.0021,0.0023,0.0028,0.0037,0.0042,0.0044,0.0045,,,,qwen/qwen1.5-0.5b,,Inter-token latency in seconds,0=0;0.0019=33;0.0035=7262;0.0067=9733;0.013=9737;0.024=9738;0.045=9738;0.084=9738;0.16=9738;0.3=9738;0.56=9738;1.1=9738;2=9738;+Inf=9738
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,4,0.1700,9778.0000,415.5338,2444.5000,351.2700,400.3500,461.7000,645.7500,926.5000,2725.2500,5641.7000,6613.8500,7391.5700,,,,qwen/qwen1.5-0.5b,,Output sequence length in tokens,0=0;100=0;210=0;430=1;880=2;1800=3;3700=3;7600=4;16000=4;32000=4;+Inf=4
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,4,0.1700,29.1871,1.2404,7.2968,0.8586,0.9726,1.1151,1.5426,2.3118,8.0660,17.4663,20.5998,23.1066,,,,qwen/qwen1.5-0.5b,,Duration of LLM requests,0=0;1.9=2;3.4=3;6.3=3;12=3;22=3;40=4;75=4;140=4;260=4;+Inf=4
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,3,0.1257,0.0542,0.0023,0.0181,0.0137,0.0142,0.0147,0.0163,0.0190,0.0203,0.0211,0.0214,0.0216,,,,qwen/qwen1.5-0.5b,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=3;0.047=3;0.1=3;0.22=3;0.47=3;1=3;2.2=3;4.7=3;10=3;22=3;48=3;100=3;220=3;480=3;+Inf=3
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,10388253118412311522,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,10388253118412311522,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_scheduling_ms,milliseconds,0,,,,,,,,,,,,,,,,10388253118412311522,,,Time spent in scheduler worker selection in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
