Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.11,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.60,0.99,0.32
HTTP Connection Overhead (ms),0.16,0.00,1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.86,1.43,0.47
HTTP Connection Reused (ratio),0.90,0.00,1.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),1.13,0.88,1.87,0.88,0.89,0.89,0.91,1.00,1.12,1.58,1.73,1.84,0.31
HTTP Data Sent (KB),391.13,283.02,502.34,286.20,298.92,314.82,318.39,332.17,502.13,502.29,502.31,502.33,91.58
HTTP DNS Lookup (ms),0.05,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.27,0.44,0.15
HTTP Duration (excl. conn) (ms),2656.03,1048.30,9953.52,1048.69,1050.23,1052.16,1164.77,1423.49,2786.03,4936.91,7445.21,9451.86,2640.95
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.29,0.11,1.79,0.11,0.11,0.11,0.11,0.12,0.13,0.34,1.07,1.65,0.50
HTTP Total Time (ms),2656.18,1048.29,9955.04,1048.68,1050.22,1052.15,1164.76,1423.49,2786.02,4937.05,7446.05,9453.24,2641.37
HTTP Waiting (TTFB) (ms),2655.73,1048.17,9951.68,1048.55,1050.10,1052.03,1164.59,1423.37,2785.91,4936.62,7444.15,9450.18,2640.48
Image Latency (ms/image),2656.08,1048.34,9953.69,1048.72,1050.27,1052.20,1164.82,1423.53,2786.07,4936.96,7445.32,9452.02,2640.98
Image Throughput (images/sec),0.62,0.10,0.95,0.11,0.16,0.22,0.38,0.71,0.86,0.95,0.95,0.95,0.29
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),110.10,62.00,272.00,62.00,62.00,62.00,67.25,84.00,104.50,200.00,236.00,264.80,65.24
Output Token Count (tokens),110.10,62.00,272.00,62.00,62.00,62.00,67.25,84.00,104.50,200.00,236.00,264.80,65.24
Request Latency (ms),2656.08,1048.34,9953.69,1048.72,1050.27,1052.20,1164.82,1423.53,2786.07,4936.96,7445.32,9452.02,2640.98
Usage Completion Tokens (tokens),110.10,62.00,272.00,62.00,62.00,62.00,67.25,84.00,104.50,200.00,236.00,264.80,65.24
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1005.10,957.00,1167.00,957.00,957.00,957.00,962.25,979.00,999.50,1095.00,1131.00,1159.80,65.24

Metric,Value
Benchmark Duration (sec),26.58
Maximum Response Timestamp (ns),1776056168188743424.00
Minimum Request Timestamp (ns),1776056141608771072.00
Output Token Throughput (tokens/sec),41.42
Request Count,10.00
Request Throughput (requests/sec),0.38
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),1101.00
Total Output Tokens (tokens),1101.00
Total Token Throughput (tokens/sec),378.14
Total Usage Completion Tokens (tokens),1101.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),10051.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
