Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,1.10,0.00,0.00,0.00,0.00,0.00,1.07,1.09,1.10,1.10,0.53
HTTP Connection Overhead (ms),0.62,0.00,1.59,0.00,0.00,0.00,0.00,0.00,1.54,1.57,1.58,1.59,0.76
HTTP Connection Reused (ratio),0.60,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),0.87,0.71,1.09,0.71,0.72,0.73,0.82,0.85,0.94,1.01,1.05,1.08,0.11
HTTP Data Sent (KB),328.12,282.96,502.28,282.97,282.99,283.03,283.14,325.06,332.14,349.25,425.77,486.98,62.14
HTTP DNS Lookup (ms),0.19,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.46,0.49,0.49,0.50,0.23
HTTP Duration (excl. conn) (ms),606.90,418.31,966.87,420.55,429.50,440.69,541.32,595.06,621.16,732.98,849.93,943.48,144.75
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.68,0.10,1.51,0.11,0.11,0.12,0.16,0.16,1.46,1.50,1.50,1.51,0.65
HTTP Total Time (ms),607.49,418.29,968.42,420.66,430.13,441.96,541.31,595.81,621.54,733.13,850.77,944.89,144.97
HTTP Waiting (TTFB) (ms),606.20,418.13,965.36,420.26,428.75,439.37,541.15,594.23,620.68,732.68,849.02,942.09,144.57
Image Latency (ms/image),606.99,418.35,967.04,420.60,429.60,440.85,541.37,595.16,621.24,733.04,850.04,943.64,144.76
Image Throughput (images/sec),1.73,1.03,2.39,1.07,1.21,1.38,1.61,1.68,1.85,2.27,2.33,2.38,0.37
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),100.80,62.00,156.00,62.90,66.50,71.00,90.25,95.50,112.75,124.50,140.25,152.85,25.19
Output Token Count (tokens),100.80,62.00,156.00,62.90,66.50,71.00,90.25,95.50,112.75,124.50,140.25,152.85,25.19
Request Latency (ms),606.99,418.35,967.04,420.60,429.60,440.85,541.37,595.16,621.24,733.04,850.04,943.64,144.76
Usage Completion Tokens (tokens),100.80,62.00,156.00,62.90,66.50,71.00,90.25,95.50,112.75,124.50,140.25,152.85,25.19
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),995.80,957.00,1051.00,957.90,961.50,966.00,985.25,990.50,1007.75,1019.50,1035.25,1047.85,25.19

Metric,Value
Benchmark Duration (sec),1.80
Maximum Response Timestamp (ns),1775527252157299968.00
Minimum Request Timestamp (ns),1775527250361794048.00
Output Token Throughput (tokens/sec),561.40
Request Count,10.00
Request Throughput (requests/sec),5.57
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),1008.00
Total Output Tokens (tokens),1008.00
Total Token Throughput (tokens/sec),5546.07
Total Usage Completion Tokens (tokens),1008.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),9958.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
