# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: a7f337cf-f64b-41a8-a024-7c2f9db8fd4d
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,3.6875,0.0000,4.0000,1.0145,0.4500,2.2500,3.5000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,2.8125,0.0000,4.0000,1.8337,0.0000,0.0000,0.0000,0.7500,4.0000,4.0000,4.0000,4.0000,4.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,730.0000,638.0683,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,8.0000,9.8612,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,1113398506872439395,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,8,9.8612,0.0364,0.0448,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045,,,,,detokenize,Tokenizer latency in milliseconds,0.5=8;1=8;2=8;4=8;8=8;16=8;32=8;64=8;128=8;256=8;512=8;+Inf=8
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,6,5.2444,6.5442,5.7200,1.0907,1.0004,1.0018,1.0036,1.0148,1.0653,1.1539,1.2146,1.2349,1.2511,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=0;2=6;4=6;8=6;16=6;32=6;64=6;128=6;256=6;512=6;+Inf=6
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,6,5.2444,3462.0000,3026.0172,577.0000,431.5472,437.7361,445.4722,479.2778,570.9444,662.6111,717.6111,735.9444,750.6111,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=6;1800=6;3600=6;7400=6;15000=6;31000=6;63000=6;130000=6;+Inf=6
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,724,632.8239,3.7762,3.3007,0.0052,0.0007,0.0035,0.0035,0.0040,0.0049,0.0058,0.0063,0.0077,0.0192,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=19;0.0035=24;0.0067=683;0.013=704;0.024=724;0.045=724;0.084=724;0.16=724;0.3=724;0.56=724;1.1=724;2=724;+Inf=724
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,8,9.8612,674.0000,830.8025,84.2500,35.1936,39.1936,44.1936,59.1936,84.1936,100.0000,117.3021,137.4878,153.6364,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=7;210=8;430=8;880=8;1800=8;3700=8;7600=8;16000=8;32000=8;+Inf=8
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,8,9.8612,11.4803,14.1511,1.4350,0.0000,0.0000,0.0000,0.1936,0.7332,1.8074,4.0402,4.5477,4.9537,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=6;3.4=6;6.3=8;12=8;22=8;40=8;75=8;140=8;260=8;+Inf=8
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,6,5.2444,0.2637,0.2305,0.0439,0.0306,0.0316,0.0328,0.0366,0.0424,0.0444,0.0567,0.0628,0.0677,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=5;0.1=6;0.22=6;0.47=6;1=6;2.2=6;4.7=6;10=6;22=6;48=6;100=6;220=6;480=6;+Inf=6
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,1113398506872439395,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,1113398506872439395,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_scheduling_ms,milliseconds,0,,,,,,,,,,,,,,,,1113398506872439395,,,Time spent in scheduler worker selection in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
