Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,1.07,0.00,0.00,0.00,0.00,0.00,1.06,1.07,1.07,1.07,0.52
HTTP Connection Overhead (ms),0.61,0.00,1.53,0.00,0.00,0.00,0.00,0.00,1.50,1.52,1.53,1.53,0.74
HTTP Connection Reused (ratio),0.60,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),8.08,0.94,28.00,0.98,1.16,1.38,2.05,3.82,5.58,19.03,23.52,27.10,10.08
HTTP Data Sent (KB),2.43,2.35,2.52,2.36,2.36,2.37,2.40,2.43,2.45,2.49,2.50,2.51,0.05
HTTP DNS Lookup (ms),0.18,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.44,0.45,0.45,0.46,0.22
HTTP Duration (excl. conn) (ms),5924.39,430.19,23734.14,449.25,525.48,620.77,906.64,1707.01,2843.98,15378.07,19556.11,22898.53,8942.33
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.67,0.10,1.48,0.10,0.11,0.11,0.14,0.17,1.45,1.46,1.47,1.48,0.65
HTTP Total Time (ms),5924.95,431.65,23734.00,450.71,526.95,622.24,908.14,1707.00,2843.97,15377.98,19555.99,22898.40,8941.93
HTTP Waiting (TTFB) (ms),5923.68,428.71,23733.86,447.76,523.99,619.28,905.13,1706.82,2843.87,15377.86,19555.86,22898.26,8942.60
Input Sequence Length (tokens),550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,550.00,0.00
Output Sequence Length (tokens),1965.00,126.00,7513.00,134.40,168.00,210.00,336.00,747.00,1103.00,4949.00,6231.00,7256.60,2794.37
Output Token Count (tokens),1965.00,126.00,7513.00,134.40,168.00,210.00,336.00,747.00,1103.00,4949.00,6231.00,7256.60,2794.37
Request Latency (ms),5924.49,430.37,23734.19,449.43,525.66,620.95,906.82,1707.06,2844.01,15378.12,19556.15,22898.58,8942.30
Usage Completion Tokens (tokens),1980.80,126.00,7586.00,134.52,168.60,211.20,339.00,748.00,1105.00,4993.60,6289.80,7326.76,2822.80
Usage Completion Diff % (%),0.44,0.00,0.97,0.01,0.03,0.05,0.13,0.18,0.89,0.94,0.96,0.97,0.41
Usage Prompt Tokens (tokens),568.00,568.00,568.00,568.00,568.00,568.00,568.00,568.00,568.00,568.00,568.00,568.00,0.00
Usage Prompt Diff (%),3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,0.00
Usage Total Tokens (tokens),2548.80,694.00,8154.00,702.52,736.60,779.20,907.00,1316.00,1673.00,5561.60,6857.80,7894.76,2822.80

Metric,Value
Benchmark Duration (sec),24.17
Maximum Response Timestamp (ns),1775498797703134208.00
Minimum Request Timestamp (ns),1775498773536713728.00
Output Token Throughput (tokens/sec),406.56
Request Count,5.00
Request Throughput (requests/sec),0.21
Total Input Sequence Length (tokens),2750.00
Total Output Sequence Length (tokens),9825.00
Total Output Tokens (tokens),9825.00
Total Token Throughput (tokens/sec),520.35
Total Usage Completion Tokens (tokens),9904.00
Total Usage Prompt Tokens (tokens),2840.00
Total Usage Total Tokens (tokens),12744.00
Usage Discrepancy Count,0.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
