Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.43,0.00,1.18,0.00,0.00,0.00,0.00,0.00,1.04,1.07,1.12,1.17,0.53
HTTP Connection Overhead (ms),0.62,0.00,1.71,0.00,0.00,0.00,0.00,0.00,1.50,1.55,1.63,1.69,0.77
HTTP Connection Reused (ratio),0.60,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),0.99,0.88,1.08,0.89,0.89,0.91,0.93,0.99,1.05,1.08,1.08,1.08,0.07
HTTP Data Sent (KB),362.17,282.99,502.27,282.99,283.01,283.03,283.16,325.25,459.67,502.26,502.26,502.27,93.59
HTTP DNS Lookup (ms),0.19,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.46,0.48,0.51,0.53,0.24
HTTP Duration (excl. conn) (ms),1917.55,1317.03,2519.71,1338.75,1425.64,1534.25,1566.95,1952.14,2239.97,2290.37,2405.04,2496.78,376.29
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.69,0.11,1.60,0.11,0.12,0.12,0.18,0.19,1.45,1.47,1.54,1.59,0.65
HTTP Total Time (ms),1918.15,1317.01,2521.21,1338.74,1425.63,1534.25,1566.94,1952.87,2241.06,2292.02,2406.62,2498.29,376.83
HTTP Waiting (TTFB) (ms),1916.83,1316.83,2518.21,1338.56,1425.47,1534.11,1566.78,1951.29,2238.81,2288.74,2403.48,2495.27,375.82
Image Latency (ms/image),1917.65,1317.07,2519.90,1338.79,1425.68,1534.29,1567.01,1952.26,2240.12,2290.56,2405.23,2496.96,376.34
Image Throughput (images/sec),0.54,0.40,0.76,0.40,0.42,0.44,0.45,0.51,0.64,0.65,0.71,0.75,0.11
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),85.40,59.00,108.00,59.90,63.50,68.00,75.00,85.00,98.00,104.40,106.20,107.64,15.74
Output Token Count (tokens),85.40,59.00,108.00,59.90,63.50,68.00,75.00,85.00,98.00,104.40,106.20,107.64,15.74
Request Latency (ms),1917.65,1317.07,2519.90,1338.79,1425.68,1534.29,1567.01,1952.26,2240.12,2290.56,2405.23,2496.96,376.34
Usage Completion Tokens (tokens),85.40,59.00,108.00,59.90,63.50,68.00,75.00,85.00,98.00,104.40,106.20,107.64,15.74
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),980.40,954.00,1003.00,954.90,958.50,963.00,970.00,980.00,993.00,999.40,1001.20,1002.64,15.74

Metric,Value
Benchmark Duration (sec),5.39
Maximum Response Timestamp (ns),1776059443312439552.00
Minimum Request Timestamp (ns),1776059437920538112.00
Output Token Throughput (tokens/sec),158.39
Request Count,10.00
Request Throughput (requests/sec),1.85
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),854.00
Total Output Tokens (tokens),854.00
Total Token Throughput (tokens/sec),1818.28
Total Usage Completion Tokens (tokens),854.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),9804.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
