# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 3fcb9f33-f43d-43f6-ad7d-2ed620264d56
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,0.9600,0.0000,1.0000,0.2000,0.2400,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.5200,0.0000,1.0000,0.5099,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,819.0000,181.4236,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,9.0000,2.1525,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,2927170518315651499,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,9,2.1525,0.0370,0.0088,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,,,,,detokenize,Tokenizer latency in milliseconds,0.5=9;1=9;2=9;4=9;8=9;16=9;32=9;64=9;128=9;256=9;512=9;+Inf=9
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,9,1.9937,10.6270,2.3541,1.1808,0.9819,0.9891,0.9981,1.0535,1.1553,1.2948,1.3860,1.4164,1.4407,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=1;2=9;4=9;8=9;16=9;32=9;64=9;128=9;256=9;512=9;+Inf=9
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,9,1.9937,5193.0000,1150.3454,577.0000,430.0000,430.0000,430.0000,473.8272,571.6049,669.3827,728.0494,747.6049,763.2494,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=9;1800=9;3600=9;7400=9;15000=9;31000=9;63000=9;130000=9;+Inf=9
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,810,179.4300,4.0489,0.8969,0.0050,0.0010,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=16;0.0035=16;0.0067=807;0.013=809;0.024=809;0.045=809;0.084=810;0.16=810;0.3=810;0.56=810;1.1=810;2=810;+Inf=810
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,9,2.1525,769.0000,183.9220,85.4444,30.1827,36.5472,44.5027,68.3694,94.1294,106.6193,116.0902,120.4307,123.9031,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=5;210=9;430=9;880=9;1800=9;3700=9;7600=9;16000=9;32000=9;+Inf=9
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,9,2.1525,4.1915,1.0025,0.4657,0.1240,0.1519,0.1868,0.2914,0.4657,0.6401,0.7447,0.7796,0.8075,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=9;3.4=9;6.3=9;12=9;22=9;40=9;75=9;140=9;260=9;+Inf=9
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,9,1.9937,0.3968,0.0879,0.0441,0.0257,0.0269,0.0285,0.0331,0.0408,0.0557,0.0636,0.0662,0.0683,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=6;0.1=9;0.22=9;0.47=9;1=9;2.2=9;4.7=9;10=9;22=9;48=9;100=9;220=9;480=9;+Inf=9
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,2927170518315651499,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,2927170518315651499,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_scheduling_ms,milliseconds,0,,,,,,,,,,,,,,,,2927170518315651499,,,Time spent in scheduler worker selection in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
