Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.45,0.00,1.25,0.00,0.00,0.00,0.00,0.00,1.07,1.16,1.20,1.24,0.56
HTTP Connection Overhead (ms),0.65,0.00,1.77,0.00,0.00,0.00,0.00,0.00,1.52,1.67,1.72,1.76,0.79
HTTP Connection Reused (ratio),0.60,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),0.87,0.74,1.05,0.74,0.74,0.75,0.77,0.87,0.92,1.03,1.04,1.05,0.11
HTTP Data Sent (KB),365.75,283.03,502.39,283.04,283.05,283.08,291.99,325.28,459.72,502.38,502.38,502.39,91.20
HTTP DNS Lookup (ms),0.19,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.45,0.51,0.52,0.52,0.24
HTTP Duration (excl. conn) (ms),585.05,456.66,875.23,458.22,464.47,472.27,490.54,529.08,621.05,797.25,836.24,867.43,134.44
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.71,0.11,1.63,0.11,0.11,0.12,0.16,0.16,1.50,1.59,1.61,1.63,0.69
HTTP Total Time (ms),585.68,456.65,876.71,458.21,464.45,472.26,492.09,529.08,621.04,798.87,837.79,868.93,134.79
HTTP Waiting (TTFB) (ms),584.33,456.49,873.70,458.05,464.29,472.10,488.99,528.96,620.88,795.64,834.67,865.89,134.12
Image Latency (ms/image),585.15,456.71,875.41,458.27,464.51,472.32,490.71,529.12,621.10,797.44,836.43,867.61,134.47
Image Throughput (images/sec),1.79,1.14,2.19,1.15,1.20,1.26,1.61,1.89,2.04,2.12,2.15,2.18,0.34
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),99.30,76.00,146.00,76.09,76.45,76.90,79.00,97.00,110.00,131.60,138.80,144.56,22.84
Output Token Count (tokens),99.30,76.00,146.00,76.09,76.45,76.90,79.00,97.00,110.00,131.60,138.80,144.56,22.84
Request Latency (ms),585.15,456.71,875.41,458.27,464.51,472.32,490.71,529.12,621.10,797.44,836.43,867.61,134.47
Usage Completion Tokens (tokens),99.30,76.00,146.00,76.09,76.45,76.90,79.00,97.00,110.00,131.60,138.80,144.56,22.84
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),994.30,971.00,1041.00,971.09,971.45,971.90,974.00,992.00,1005.00,1026.60,1033.80,1039.56,22.84

Metric,Value
Benchmark Duration (sec),1.59
Maximum Response Timestamp (ns),1776747860494347776.00
Minimum Request Timestamp (ns),1776747858899991808.00
Output Token Throughput (tokens/sec),622.82
Request Count,10.00
Request Throughput (requests/sec),6.27
Total Input Sequence Length (tokens),8950.00
Total Output Sequence Length (tokens),993.00
Total Output Tokens (tokens),993.00
Total Token Throughput (tokens/sec),6236.37
Total Usage Completion Tokens (tokens),993.00
Total Usage Prompt Tokens (tokens),8950.00
Total Usage Total Tokens (tokens),9943.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
