Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.25,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,1.21,1.29,1.38,0.49
HTTP Connection Overhead (ms),0.36,0.00,2.05,0.00,0.00,0.00,0.00,0.00,0.00,1.75,1.88,1.98,0.72
HTTP Connection Reused (ratio),0.80,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),0.84,0.55,1.73,0.64,0.70,0.71,0.73,0.83,0.89,0.94,0.97,1.54,0.16
HTTP Data Sent (KB),359.48,282.89,502.42,282.98,283.02,283.05,283.24,318.42,501.99,502.21,502.29,502.37,86.93
HTTP DNS Lookup (ms),0.11,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.60,0.62,0.22
HTTP Duration (excl. conn) (ms),1988.81,326.32,7609.95,365.58,463.69,486.18,551.58,700.68,896.32,7155.23,7316.77,7482.23,2629.32
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.45,0.10,1.89,0.10,0.10,0.11,0.12,0.14,0.19,1.66,1.74,1.85,0.62
HTTP Total Time (ms),1989.15,326.30,7611.87,365.57,463.68,486.17,551.57,700.66,896.31,7156.88,7318.34,7483.96,2630.02
HTTP Waiting (TTFB) (ms),1988.35,326.18,7608.07,365.45,463.57,486.03,551.43,700.51,896.14,7153.59,7315.21,7480.52,2628.69
Image Latency (ms/image),1988.88,326.35,7610.13,365.62,463.73,486.22,551.63,700.72,896.38,7155.41,7316.99,7482.41,2629.37
Image Throughput (images/sec),1.31,0.13,3.06,0.13,0.14,0.14,1.12,1.43,1.81,2.06,2.16,2.74,0.70
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),93.10,40.00,290.00,52.64,60.85,62.00,72.75,92.00,101.25,114.20,121.00,247.34,36.40
Output Token Count (tokens),93.10,40.00,290.00,52.64,60.85,62.00,72.75,92.00,101.25,114.20,121.00,247.34,36.40
Request Latency (ms),1988.88,326.35,7610.13,365.62,463.73,486.22,551.63,700.72,896.38,7155.41,7316.99,7482.41,2629.37
Usage Completion Tokens (tokens),93.10,40.00,290.00,52.64,60.85,62.00,72.75,92.00,101.25,114.20,121.00,247.34,36.40
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),988.10,935.00,1185.00,947.64,955.85,957.00,967.75,987.00,996.25,1009.20,1016.00,1142.34,36.40

Metric,Value
Benchmark Duration (sec),10.40
Maximum Response Timestamp (ns),1776813273249024256.00
Minimum Request Timestamp (ns),1776813262844458752.00
Output Token Throughput (tokens/sec),715.84
Request Count,80.00
Request Throughput (requests/sec),7.69
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),7448.00
Total Output Tokens (tokens),7448.00
Total Token Throughput (tokens/sec),7597.43
Total Usage Completion Tokens (tokens),7448.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),79048.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
