# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 61d90ee5-cd73-402a-82a2-8366440e4644
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,14.6875,0.0000,16.0000,4.1226,0.3100,3.7500,15.1000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,8.3438,0.0000,13.0000,5.8177,0.0000,0.0000,0.0000,2.0000,13.0000,13.0000,13.0000,13.0000,13.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,7448.0000,714.9851,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,80.0000,7.6798,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,5400200464084237153,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,80,7.6798,0.2095,0.0201,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,,,,,detokenize,Tokenizer latency in milliseconds,0.5=80;1=80;2=80;4=80;8=80;16=80;32=80;64=80;128=80;256=80;512=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,80,7.6798,91.8785,8.8201,1.1485,0.5000,0.5272,0.5977,0.8094,1.0778,1.4404,1.7388,1.8383,2.5010,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=28;2=78;4=80;8=80;16=80;32=80;64=80;128=80;256=80;512=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_cached_tokens,tokens,1,0.3244,16.0000,5.1910,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,,,,qwen/qwen2-vl-2b-instruct,,Number of cached tokens (prefix cache hits) per request,0=0;100=1;210=1;430=1;870=1;1800=1;3600=1;7400=1;15000=1;31000=1;63000=1;130000=1;+Inf=1
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,80,7.6798,46160.0000,4431.2181,577.0000,430.0000,430.0000,430.0000,462.3219,570.9469,679.5719,744.7469,766.4719,783.8519,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=80;1800=80;3600=80;7400=80;15000=80;31000=80;63000=80;130000=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,7368,707.3053,68.5746,6.5830,0.0093,0.0003,0.0013,0.0035,0.0041,0.0053,0.0064,0.0149,0.0201,0.0298,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=545;0.0035=729;0.0067=5801;0.013=6484;0.024=7265;0.045=7365;0.084=7365;0.16=7365;0.3=7365;0.56=7365;1.1=7365;2=7365;+Inf=7368
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,80,7.6798,7448.0000,714.9851,93.1000,40.1188,44.1671,49.2275,64.4086,82.5866,100.0000,165.0301,189.1690,223.7890,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=59;210=77;430=80;880=80;1800=80;3700=80;7600=80;16000=80;32000=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,80,7.6798,158.7199,15.2366,1.9840,0.0323,0.0970,0.1779,0.4205,0.8249,1.2292,6.7815,8.1887,9.3144,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=64;3.4=64;6.3=64;12=80;22=80;40=80;75=80;140=80;260=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,80,7.6798,90.0957,8.6489,1.1262,0.0306,0.0338,0.0377,0.0465,0.0665,0.0933,5.7664,7.3768,8.6651,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=25;0.1=64;0.22=67;0.47=67;1=67;2.2=67;4.7=67;10=80;22=80;48=80;100=80;220=80;480=80;+Inf=80
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
