# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 3cb44a18-f483-4954-b4a8-06b919c80684
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,0.9953,0.0000,1.0000,0.0681,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.0233,0.0000,1.0000,0.1508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,39036.0000,184.7047,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,79.0000,0.3744,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,5400200464084237153,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,79,0.3744,0.3492,0.0017,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,0.0044,,,,,detokenize,Tokenizer latency in milliseconds,0.5=79;1=79;2=79;4=79;8=79;16=79;32=79;64=79;128=79;256=79;512=79;+Inf=79
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,79,0.3738,91.9038,0.4349,1.1633,0.8405,0.8727,0.9130,1.0000,1.0679,1.2697,1.4323,1.4865,2.5797,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=18;2=77;4=78;8=79;16=79;32=79;64=79;128=79;256=79;512=79;+Inf=79
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,79,0.3738,45583.0000,215.6829,577.0000,430.0000,430.0000,430.0000,462.3371,570.9447,679.5523,744.7169,766.4384,783.8156,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=79;1800=79;3600=79;7400=79;15000=79;31000=79;63000=79;130000=79;+Inf=79
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,38957,184.3309,208.2162,0.9852,0.0053,0.0046,0.0046,0.0047,0.0050,0.0053,0.0057,0.0060,0.0060,0.0061,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=15;0.0035=18;0.0067=38944;0.013=38956;0.024=38956;0.045=38956;0.084=38957;0.16=38957;0.3=38957;0.56=38957;1.1=38957;2=38957;+Inf=38957
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,79,0.3744,39011.0000,184.8785,493.8101,33.5997,38.7712,45.2355,64.6284,87.2993,106.0992,135.9918,152.6976,7353.2156,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=54;210=77;430=78;880=78;1800=78;3700=78;7600=78;16000=78;32000=79;+Inf=79
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,79,0.3744,210.8148,0.9991,2.6685,0.1359,0.1636,0.1983,0.3024,0.4758,0.6493,0.7534,0.7881,39.6603,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=77;3.4=78;6.3=78;12=78;22=78;40=78;75=78;140=78;260=79;+Inf=79
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,79,0.3738,2.7235,0.0129,0.0345,0.0273,0.0278,0.0284,0.0302,0.0332,0.0362,0.0380,0.0401,0.0700,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=75;0.1=79;0.22=79;0.47=79;1=79;2.2=79;4.7=79;10=79;22=79;48=79;100=79;220=79;480=79;+Inf=79
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_scheduling_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent in scheduler worker selection in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
