# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 1ab00df2-8a08-423e-b85c-903ca0eadbf6
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,1.1966,0.0000,4.0000,0.7431,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,4.0000,4.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.0169,0.0000,1.0000,0.1288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,38854.0000,218.4943,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,80.0000,0.4499,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,5400200464084237153,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,80,0.4499,0.3080,0.0017,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,,,,,detokenize,Tokenizer latency in milliseconds,0.5=80;1=80;2=80;4=80;8=80;16=80;32=80;64=80;128=80;256=80;512=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,80,0.4499,86.6248,0.4871,1.0828,0.8238,0.8520,0.8873,0.9552,1.0484,1.2032,1.3470,1.3949,1.4333,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=26;2=80;4=80;8=80;16=80;32=80;64=80;128=80;256=80;512=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,80,0.4499,46160.0000,259.5794,577.0000,430.0000,430.0000,430.0000,462.3219,570.9469,679.5719,744.7469,766.4719,783.8519,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=80;1800=80;3600=80;7400=80;15000=80;31000=80;63000=80;130000=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,38774,218.0444,209.6795,1.1791,0.0054,0.0047,0.0047,0.0048,0.0050,0.0053,0.0057,0.0059,0.0060,0.0091,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=222;0.0035=246;0.0067=38276;0.013=38537;0.024=38772;0.045=38774;0.084=38774;0.16=38774;0.3=38774;0.56=38774;1.1=38774;2=38774;+Inf=38774
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,80,0.4499,38854.0000,218.4943,485.6750,42.7767,46.8247,51.8846,67.0645,86.7068,100.0000,144.0509,163.8009,6908.3141,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=55;210=77;430=79;880=79;1800=79;3700=79;7600=79;16000=79;32000=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,80,0.4499,213.4920,1.2006,2.6686,0.1596,0.1884,0.2244,0.3322,0.5120,0.6918,0.7996,0.8356,37.0961,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=79;3.4=79;6.3=79;12=79;22=79;40=79;75=79;140=79;260=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,80,0.4499,3.7965,0.0213,0.0475,0.0340,0.0348,0.0357,0.0385,0.0425,0.0472,0.0546,0.0558,0.1642,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=60;0.1=77;0.22=80;0.47=80;1=80;2.2=80;4.7=80;10=80;22=80;48=80;100=80;220=80;480=80;+Inf=80
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_scheduling_ms,milliseconds,0,,,,,,,,,,,,,,,,5400200464084237153,,,Time spent in scheduler worker selection in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
