Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.23,1.27,0.47
HTTP Connection Overhead (ms),0.34,0.00,1.84,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.78,1.84,0.68
HTTP Connection Reused (ratio),0.80,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),0.82,0.54,1.17,0.60,0.66,0.71,0.74,0.82,0.89,0.97,1.02,1.08,0.11
HTTP Data Sent (KB),364.06,282.98,502.38,283.00,283.08,283.12,283.30,318.46,502.14,502.25,502.35,502.38,89.36
HTTP DNS Lookup (ms),0.11,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.56,0.57,0.21
HTTP Duration (excl. conn) (ms),701.20,350.36,1144.78,367.90,451.37,489.69,549.60,705.94,788.43,985.94,1035.97,1129.19,184.93
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.43,0.10,1.69,0.10,0.11,0.11,0.12,0.14,0.19,1.58,1.65,1.68,0.58
HTTP Total Time (ms),701.52,350.35,1144.77,367.88,451.36,489.68,549.59,705.93,788.43,987.53,1037.60,1130.57,185.27
HTTP Waiting (TTFB) (ms),700.75,350.24,1144.57,367.70,451.20,489.49,549.42,705.82,787.95,984.41,1034.43,1127.82,184.63
Image Latency (ms/image),701.27,350.40,1144.83,367.96,451.41,489.74,549.65,705.98,788.47,986.13,1036.14,1129.35,184.95
Image Throughput (images/sec),1.53,0.87,2.85,0.89,0.97,1.01,1.27,1.42,1.82,2.04,2.22,2.72,0.42
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.87,-85.16,-37.50,-81.76,-76.58,-75.78,-71.09,-64.84,-60.16,-52.93,-49.57,-40.28,8.89
Output Sequence Length (tokens),89.94,38.00,160.00,46.69,59.95,62.00,74.00,90.00,102.00,120.50,129.10,152.89,22.75
Output Token Count (tokens),89.94,38.00,160.00,46.69,59.95,62.00,74.00,90.00,102.00,120.50,129.10,152.89,22.75
Request Latency (ms),701.27,350.40,1144.83,367.96,451.41,489.74,549.65,705.98,788.47,986.13,1036.14,1129.35,184.95
Usage Completion Tokens (tokens),89.94,38.00,160.00,46.69,59.95,62.00,74.00,90.00,102.00,120.50,129.10,152.89,22.75
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),984.94,933.00,1055.00,941.69,954.95,957.00,969.00,985.00,997.00,1015.50,1024.10,1047.89,22.75

Metric,Value
Benchmark Duration (sec),3.78
Maximum Response Timestamp (ns),1776886796233308160.00
Minimum Request Timestamp (ns),1776886792448397312.00
OSL Mismatch Count,80.00
Output Token Throughput (tokens/sec),1900.97
Request Count,80.00
Request Throughput (requests/sec),21.14
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),7195.00
Total Output Tokens (tokens),7195.00
Total Token Throughput (tokens/sec),20818.19
Total Usage Completion Tokens (tokens),7195.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),78795.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
