# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 0e3b154e-d61a-43b8-bf83-8c9856ea57fe
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,3.7714,0.0000,4.0000,0.7702,0.6800,2.7000,3.4000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.3714,0.0000,2.0000,0.5470,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.6600,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,7842.0000,685.7488,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,80.0000,6.9957,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,15549931849703460771,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,80,6.9957,0.3262,0.0285,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,,,,,detokenize,Tokenizer latency in milliseconds,0.5=80;1=80;2=80;4=80;8=80;16=80;32=80;64=80;128=80;256=80;512=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,80,6.9957,80.4666,7.0365,1.0058,0.8649,0.8796,0.8979,0.9496,1.0000,1.0581,1.1341,1.1594,1.1797,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=38;2=80;4=80;8=80;16=80;32=80;64=80;128=80;256=80;512=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_cached_tokens,tokens,3,0.2623,48.0000,4.1974,16.0000,0.2044,1.0222,2.0444,5.1111,10.2222,26.8889,36.8889,40.2222,42.8889,,,,qwen/qwen2-vl-2b-instruct,,Number of cached tokens (prefix cache hits) per request,0=0;100=3;210=3;430=3;870=3;1800=3;3600=3;7400=3;15000=3;31000=3;63000=3;130000=3;+Inf=3
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,80,6.9957,46161.0000,4036.5786,577.0125,577.0125,577.0125,577.0125,577.0125,577.0125,577.0125,577.0125,577.0125,577.0125,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=80;1800=80;3600=80;7400=80;15000=80;31000=80;63000=80;130000=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,7762,678.7531,41.0410,3.5889,0.0053,0.0006,0.0035,0.0035,0.0040,0.0049,0.0058,0.0063,0.0083,0.0199,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=230;0.0035=277;0.0067=7311;0.013=7522;0.024=7760;0.045=7762;0.084=7762;0.16=7762;0.3=7762;0.56=7762;1.1=7762;2=7762;+Inf=7762
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,80,6.9957,7842.0000,685.7488,98.0250,33.8298,39.3107,46.1619,66.7154,88.5961,111.3832,165.7675,186.6814,264.4744,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=46;210=78;430=80;880=80;1800=80;3700=80;7600=80;16000=80;32000=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,80,6.9957,44.6666,3.9059,0.5583,0.1810,0.2118,0.2503,0.3658,0.5583,0.7509,0.8664,0.9049,0.9357,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=80;3.4=80;6.3=80;12=80;22=80;40=80;75=80;140=80;260=80;+Inf=80
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,80,6.9957,3.6099,0.3157,0.0451,0.0316,0.0321,0.0328,0.0347,0.0380,0.0413,0.0775,0.0891,0.0918,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=62;0.1=80;0.22=80;0.47=80;1=80;2.2=80;4.7=80;10=80;22=80;48=80;100=80;220=80;480=80;+Inf=80
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,15549931849703460771,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,15549931849703460771,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
