Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.12
HTTP Connection Overhead (ms),0.02,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.17
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),0.69,0.62,0.75,0.62,0.63,0.67,0.69,0.70,0.71,0.72,0.73,0.74,0.03
HTTP Data Sent (KB),354.36,282.98,502.42,282.99,283.06,283.14,318.26,332.14,332.31,502.30,502.36,502.40,78.98
HTTP DNS Lookup (ms),0.01,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.05
HTTP Duration (excl. conn) (ms),389.11,276.44,3822.94,278.59,280.92,325.10,349.26,350.29,351.52,355.21,357.39,1113.79,386.85
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.91,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.12,0.57,0.20
HTTP Total Time (ms),389.12,276.43,3824.46,278.58,280.91,325.09,349.25,350.28,351.51,355.20,357.38,1114.09,387.02
HTTP Waiting (TTFB) (ms),388.97,276.31,3821.00,278.47,280.79,324.98,349.15,350.18,351.40,355.09,357.26,1113.20,386.65
Image Latency (ms/image),389.15,276.48,3823.11,278.63,280.95,325.13,349.30,350.32,351.56,355.25,357.42,1113.86,386.86
Image Throughput (images/sec),2.87,0.26,3.62,2.06,2.80,2.81,2.84,2.85,2.86,3.08,3.56,3.59,0.35
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-2.17,-23.44,0.00,-23.44,-21.88,-7.97,0.00,0.00,0.00,0.00,0.00,0.00,5.74
Output Sequence Length (tokens),62.61,49.00,64.00,49.00,50.00,58.90,64.00,64.00,64.00,64.00,64.00,64.00,3.68
Output Token Count (tokens),62.61,49.00,64.00,49.00,50.00,58.90,64.00,64.00,64.00,64.00,64.00,64.00,3.68
Request Latency (ms),389.15,276.48,3823.11,278.63,280.95,325.13,349.30,350.32,351.56,355.25,357.42,1113.86,386.86
Usage Completion Tokens (tokens),62.61,49.00,64.00,49.00,50.00,58.90,64.00,64.00,64.00,64.00,64.00,64.00,3.68
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),957.61,944.00,959.00,944.00,945.00,953.90,959.00,959.00,959.00,959.00,959.00,959.00,3.68

Metric,Value
Benchmark Duration (sec),31.25
Maximum Response Timestamp (ns),1776886635442760448.00
Minimum Request Timestamp (ns),1776886604191838464.00
OSL Mismatch Count,11.00
Output Token Throughput (tokens/sec),160.28
Request Count,80.00
Request Throughput (requests/sec),2.56
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),5009.00
Total Output Tokens (tokens),5009.00
Total Token Throughput (tokens/sec),2451.42
Total Usage Completion Tokens (tokens),5009.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),76609.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
