Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.15,0.25
HTTP Connection Overhead (ms),0.08,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.70,0.36
HTTP Connection Reused (ratio),0.95,0.00,1.00,0.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),1.01,0.78,1.72,0.80,0.85,0.88,0.92,1.00,1.08,1.13,1.16,1.33,0.13
HTTP Data Sent (KB),356.01,282.94,502.38,282.94,283.02,283.08,318.10,332.08,332.34,502.21,502.28,502.38,80.91
HTTP DNS Lookup (ms),0.03,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.52,0.11
HTTP Duration (excl. conn) (ms),1574.34,829.55,4048.36,923.16,1050.88,1103.82,1276.22,1587.59,1832.87,1946.70,2060.09,2787.40,438.08
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.19,0.09,1.62,0.10,0.10,0.10,0.11,0.11,0.12,0.14,0.24,1.59,0.32
HTTP Total Time (ms),1574.41,829.54,4048.35,923.15,1050.87,1103.81,1276.21,1588.36,1832.86,1946.69,2060.08,2787.39,438.07
HTTP Waiting (TTFB) (ms),1574.14,829.42,4048.24,923.03,1050.75,1103.69,1276.09,1586.76,1832.74,1946.59,2059.98,2787.28,438.10
Image Latency (ms/image),1574.39,829.59,4048.40,923.20,1050.92,1103.86,1276.26,1587.70,1832.91,1946.74,2060.13,2787.44,438.08
Image Throughput (images/sec),0.68,0.25,1.21,0.37,0.49,0.51,0.55,0.63,0.78,0.91,0.95,1.09,0.17
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),88.83,45.00,238.00,48.95,58.85,61.00,71.75,87.50,105.00,112.00,118.10,162.16,26.41
Output Token Count (tokens),88.83,45.00,238.00,48.95,58.85,61.00,71.75,87.50,105.00,112.00,118.10,162.16,26.41
Request Latency (ms),1574.39,829.59,4048.40,923.20,1050.92,1103.86,1276.26,1587.70,1832.91,1946.74,2060.13,2787.44,438.08
Usage Completion Tokens (tokens),88.83,45.00,238.00,48.95,58.85,61.00,71.75,87.50,105.00,112.00,118.10,162.16,26.41
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),983.83,940.00,1133.00,943.95,953.85,956.00,966.75,982.50,1000.00,1007.00,1013.10,1057.16,26.41

Metric,Value
Benchmark Duration (sec),32.01
Maximum Response Timestamp (ns),1776814159115944448.00
Minimum Request Timestamp (ns),1776814127103248640.00
Output Token Throughput (tokens/sec),221.97
Request Count,80.00
Request Throughput (requests/sec),2.50
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),7106.00
Total Output Tokens (tokens),7106.00
Total Token Throughput (tokens/sec),2458.59
Total Usage Completion Tokens (tokens),7106.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),78706.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
