Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.23,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,1.11,1.18,1.23,0.45
HTTP Connection Overhead (ms),0.33,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.69,1.79,0.66
HTTP Connection Reused (ratio),0.80,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),1.02,0.70,1.60,0.81,0.86,0.89,0.94,1.02,1.08,1.13,1.16,1.30,0.11
HTTP Data Sent (KB),347.88,282.82,502.36,282.87,283.02,283.09,283.18,318.43,332.31,502.25,502.32,502.35,82.37
HTTP DNS Lookup (ms),0.10,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.53,0.59,0.20
HTTP Duration (excl. conn) (ms),1752.16,518.31,4857.51,988.87,1178.08,1326.03,1491.00,1726.57,1919.51,2168.16,2272.43,2976.93,478.59
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.42,0.10,1.72,0.11,0.11,0.11,0.12,0.14,0.17,1.53,1.60,1.67,0.57
HTTP Total Time (ms),1752.47,518.30,4859.05,988.86,1178.07,1326.01,1492.11,1727.36,1919.50,2169.10,2272.41,2977.24,478.73
HTTP Waiting (TTFB) (ms),1751.73,518.12,4855.99,988.72,1177.86,1325.90,1489.83,1725.72,1919.37,2168.02,2272.28,2976.46,478.46
Image Latency (ms/image),1752.23,518.36,4857.67,988.91,1178.13,1326.07,1491.14,1726.68,1919.55,2168.20,2272.47,2977.00,478.60
Image Throughput (images/sec),0.61,0.21,1.93,0.36,0.44,0.46,0.52,0.58,0.67,0.75,0.85,1.11,0.19
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.32,-89.84,0.00,-79.97,-76.19,-75.78,-70.70,-64.65,-60.06,-56.91,-53.42,-36.41,10.40
Output Sequence Length (tokens),91.35,26.00,256.00,51.28,60.95,62.00,75.00,90.50,102.25,110.30,119.25,162.78,26.63
Output Token Count (tokens),91.35,26.00,256.00,51.28,60.95,62.00,75.00,90.50,102.25,110.30,119.25,162.78,26.63
Request Latency (ms),1752.23,518.36,4857.67,988.91,1178.13,1326.07,1491.14,1726.68,1919.55,2168.20,2272.47,2977.00,478.60
Usage Completion Tokens (tokens),91.35,26.00,256.00,51.28,60.95,62.00,75.00,90.50,102.25,110.30,119.25,162.78,26.63
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),986.35,921.00,1151.00,946.28,955.95,957.00,970.00,985.50,997.25,1005.30,1014.25,1057.78,26.63

Metric,Value
Benchmark Duration (sec),9.55
Maximum Response Timestamp (ns),1776887353350296320.00
Minimum Request Timestamp (ns),1776887343805267712.00
OSL Mismatch Count,79.00
Output Token Throughput (tokens/sec),765.63
Request Count,80.00
Request Throughput (requests/sec),8.38
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),7308.00
Total Output Tokens (tokens),7308.00
Total Token Throughput (tokens/sec),8266.92
Total Usage Completion Tokens (tokens),7308.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),78908.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
