Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.14
HTTP Connection Overhead (ms),0.02,0.00,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.22
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),0.88,0.79,0.92,0.80,0.83,0.86,0.88,0.89,0.90,0.91,0.91,0.92,0.02
HTTP Data Sent (KB),371.07,282.92,502.39,282.99,283.10,283.15,318.34,332.16,502.11,502.25,502.29,502.36,87.47
HTTP DNS Lookup (ms),0.01,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.08
HTTP Duration (excl. conn) (ms),1147.61,827.84,7788.22,846.40,992.34,1030.39,1052.75,1059.04,1082.13,1129.89,1134.02,2566.67,749.12
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.69,0.10,0.10,0.11,0.11,0.11,0.12,0.13,0.13,0.49,0.17
HTTP Total Time (ms),1147.62,827.82,7790.17,846.39,992.34,1030.38,1052.74,1059.03,1082.12,1129.88,1134.01,2567.07,749.34
HTTP Waiting (TTFB) (ms),1147.46,827.65,7786.50,846.27,992.23,1030.26,1052.62,1058.92,1082.01,1129.77,1133.90,2566.22,748.94
Image Latency (ms/image),1147.65,827.88,7788.40,846.45,992.38,1030.43,1052.79,1059.08,1082.17,1129.93,1134.05,2566.74,749.14
Image Throughput (images/sec),0.93,0.13,1.21,0.70,0.88,0.89,0.92,0.94,0.95,0.97,1.01,1.18,0.11
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-2.05,-29.69,0.00,-23.52,-15.78,-7.81,0.00,0.00,0.00,0.00,0.00,0.00,5.54
Output Sequence Length (tokens),62.69,45.00,64.00,48.95,53.90,59.00,64.00,64.00,64.00,64.00,64.00,64.00,3.54
Output Token Count (tokens),62.69,45.00,64.00,48.95,53.90,59.00,64.00,64.00,64.00,64.00,64.00,64.00,3.54
Request Latency (ms),1147.65,827.88,7788.40,846.45,992.38,1030.43,1052.79,1059.08,1082.17,1129.93,1134.05,2566.74,749.14
Usage Completion Tokens (tokens),62.69,45.00,64.00,48.95,53.90,59.00,64.00,64.00,64.00,64.00,64.00,64.00,3.54
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),957.69,940.00,959.00,943.95,948.90,954.00,959.00,959.00,959.00,959.00,959.00,959.00,3.54

Metric,Value
Benchmark Duration (sec),91.93
Maximum Response Timestamp (ns),1776887064274039552.00
Minimum Request Timestamp (ns),1776886972343755008.00
OSL Mismatch Count,10.00
Output Token Throughput (tokens/sec),54.55
Request Count,80.00
Request Throughput (requests/sec),0.87
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),5015.00
Total Output Tokens (tokens),5015.00
Total Token Throughput (tokens/sec),833.40
Total Usage Completion Tokens (tokens),5015.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),76615.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
