Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.11,0.24
HTTP Connection Overhead (ms),0.08,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.60,0.34
HTTP Connection Reused (ratio),0.95,0.00,1.00,0.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),0.99,0.63,1.68,0.71,0.82,0.86,0.92,0.98,1.05,1.10,1.13,1.56,0.14
HTTP Data Sent (KB),359.52,282.99,502.44,282.99,283.03,283.07,283.28,318.43,502.06,502.22,502.29,502.36,86.92
HTTP DNS Lookup (ms),0.02,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.50,0.11
HTTP Duration (excl. conn) (ms),1736.04,445.74,4164.60,814.05,1094.37,1268.42,1505.19,1716.73,1942.74,2077.15,2181.99,3953.68,495.08
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.19,0.10,1.54,0.11,0.11,0.11,0.11,0.12,0.12,0.14,0.25,1.51,0.30
HTTP Total Time (ms),1736.11,445.73,4164.59,814.04,1094.36,1268.40,1505.18,1717.54,1942.72,2077.30,2183.46,3953.68,495.12
HTTP Waiting (TTFB) (ms),1735.84,445.60,4164.47,813.91,1094.24,1268.28,1505.07,1715.87,1942.57,2076.89,2180.52,3953.57,495.04
Image Latency (ms/image),1736.09,445.78,4164.64,814.09,1094.41,1268.45,1505.24,1716.84,1942.78,2077.21,2182.16,3953.72,495.08
Image Throughput (images/sec),0.62,0.24,2.24,0.25,0.46,0.48,0.51,0.58,0.66,0.79,0.91,1.34,0.23
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),85.88,13.00,230.00,34.33,49.85,60.80,73.00,84.50,96.50,104.20,112.40,210.25,28.22
Output Token Count (tokens),85.88,13.00,230.00,34.33,49.85,60.80,73.00,84.50,96.50,104.20,112.40,210.25,28.22
Request Latency (ms),1736.09,445.78,4164.64,814.09,1094.41,1268.45,1505.24,1716.84,1942.78,2077.21,2182.16,3953.72,495.08
Usage Completion Tokens (tokens),85.88,13.00,230.00,34.33,49.85,60.80,73.00,84.50,96.50,104.20,112.40,210.25,28.22
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),980.88,908.00,1125.00,929.33,944.85,955.80,968.00,979.50,991.50,999.20,1007.40,1105.25,28.22

Metric,Value
Benchmark Duration (sec),35.03
Maximum Response Timestamp (ns),1776828582742068480.00
Minimum Request Timestamp (ns),1776828547709539072.00
Output Token Throughput (tokens/sec),196.10
Request Count,80.00
Request Throughput (requests/sec),2.28
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),6870.00
Total Output Tokens (tokens),6870.00
Total Token Throughput (tokens/sec),2239.92
Total Usage Completion Tokens (tokens),6870.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),78470.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
