Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,1.21,0.25
HTTP Connection Overhead (ms),0.08,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.67,0.36
HTTP Connection Reused (ratio),0.95,0.00,1.00,0.00,0.95,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.22
HTTP Data Received (KB),1.03,0.82,1.25,0.84,0.87,0.88,0.95,1.04,1.10,1.16,1.18,1.22,0.10
HTTP Data Sent (KB),368.71,282.95,502.43,282.98,283.02,283.18,318.29,332.04,502.15,502.27,502.33,502.39,89.05
HTTP DNS Lookup (ms),0.02,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.49,0.11
HTTP Duration (excl. conn) (ms),1632.59,959.17,2478.77,1049.39,1086.00,1115.16,1347.27,1645.50,1871.92,2106.49,2233.32,2459.27,362.92
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.19,0.10,1.71,0.10,0.11,0.11,0.11,0.12,0.12,0.15,0.25,1.66,0.32
HTTP Total Time (ms),1632.66,959.16,2478.76,1049.38,1085.99,1115.15,1347.26,1645.50,1871.91,2106.48,2233.31,2459.26,362.95
HTTP Waiting (TTFB) (ms),1632.38,959.06,2478.65,1049.26,1085.88,1115.03,1347.14,1645.35,1871.79,2106.35,2233.19,2459.15,362.89
Image Latency (ms/image),1632.64,959.21,2478.81,1049.43,1086.04,1115.20,1347.31,1645.54,1871.96,2106.53,2233.39,2459.31,362.92
Image Throughput (images/sec),0.65,0.40,1.04,0.41,0.45,0.47,0.53,0.61,0.74,0.90,0.92,0.95,0.15
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.23,-79.69,-44.53,-77.53,-76.58,-75.78,-70.80,-63.87,-59.28,-53.09,-50.33,-44.84,8.34
Output Sequence Length (tokens),91.56,52.00,142.00,57.53,59.95,62.00,74.75,92.50,104.25,120.10,127.15,141.21,21.34
Output Token Count (tokens),91.56,52.00,142.00,57.53,59.95,62.00,74.75,92.50,104.25,120.10,127.15,141.21,21.34
Request Latency (ms),1632.64,959.21,2478.81,1049.43,1086.04,1115.20,1347.31,1645.54,1871.96,2106.53,2233.39,2459.31,362.92
Usage Completion Tokens (tokens),91.56,52.00,142.00,57.53,59.95,62.00,74.75,92.50,104.25,120.10,127.15,141.21,21.34
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),986.56,947.00,1037.00,952.53,954.95,957.00,969.75,987.50,999.25,1015.10,1022.15,1036.21,21.34

Metric,Value
Benchmark Duration (sec),32.94
Maximum Response Timestamp (ns),1776889742181269504.00
Minimum Request Timestamp (ns),1776889709243581184.00
OSL Mismatch Count,80.00
Output Token Throughput (tokens/sec),222.39
Request Count,80.00
Request Throughput (requests/sec),2.43
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),7325.00
Total Output Tokens (tokens),7325.00
Total Token Throughput (tokens/sec),2396.19
Total Usage Completion Tokens (tokens),7325.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),78925.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
