Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.13
HTTP Connection Overhead (ms),0.02,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.20
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),0.89,0.81,0.92,0.85,0.87,0.87,0.88,0.89,0.90,0.91,0.92,0.92,0.02
HTTP Data Sent (KB),369.07,283.00,502.45,283.01,283.11,283.14,318.36,332.05,502.12,502.28,502.36,502.40,85.91
HTTP DNS Lookup (ms),0.01,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.06
HTTP Duration (excl. conn) (ms),1212.81,903.47,8259.80,1008.92,1077.69,1085.36,1092.27,1141.64,1153.97,1162.40,1167.23,2659.07,793.88
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.09,1.62,0.09,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.49,0.17
HTTP Total Time (ms),1212.82,903.46,8261.54,1008.91,1077.68,1085.35,1092.26,1141.63,1153.96,1162.40,1167.22,2659.43,794.08
HTTP Waiting (TTFB) (ms),1212.67,903.35,8258.14,1008.79,1077.58,1085.24,1092.16,1141.53,1153.85,1162.29,1167.11,2658.63,793.71
Image Latency (ms/image),1212.85,903.51,8259.98,1008.96,1077.73,1085.40,1092.31,1141.69,1154.01,1162.44,1167.27,2659.14,793.90
Image Throughput (images/sec),0.88,0.12,1.11,0.70,0.86,0.86,0.87,0.88,0.92,0.92,0.93,0.99,0.09
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.74,-23.44,0.00,-11.09,-3.12,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,2.86
Output Sequence Length (tokens),63.52,49.00,64.00,56.90,62.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,1.83
Output Token Count (tokens),63.52,49.00,64.00,56.90,62.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,1.83
Request Latency (ms),1212.85,903.51,8259.98,1008.96,1077.73,1085.40,1092.31,1141.69,1154.01,1162.44,1167.27,2659.14,793.90
Usage Completion Tokens (tokens),63.52,49.00,64.00,56.90,62.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,1.83
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.52,944.00,959.00,951.90,957.00,957.00,959.00,959.00,959.00,959.00,959.00,959.00,1.83

Metric,Value
Benchmark Duration (sec),97.16
Maximum Response Timestamp (ns),1776889469197421312.00
Minimum Request Timestamp (ns),1776889372042338304.00
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),52.31
Request Count,80.00
Request Throughput (requests/sec),0.82
Total Input Sequence Length (tokens),71600.00
Total Output Sequence Length (tokens),5082.00
Total Output Tokens (tokens),5082.00
Total Token Throughput (tokens/sec),789.27
Total Usage Completion Tokens (tokens),5082.00
Total Usage Prompt Tokens (tokens),71600.00
Total Usage Total Tokens (tokens),76682.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
