Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.83,0.00,42.42,0.00,0.00,0.00,0.00,0.00,1.17,1.34,1.45,2.03,4.22
HTTP Connection Overhead (ms),1.02,0.00,42.99,0.00,0.00,0.00,0.00,0.00,1.73,1.98,2.13,2.81,4.31
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.03,0.63,1.76,0.73,0.83,0.87,0.93,1.03,1.09,1.16,1.25,1.59,0.16
HTTP Data Sent (KB),359.99,282.77,502.49,282.89,282.97,283.08,283.22,318.47,502.04,502.30,502.35,502.43,88.45
HTTP DNS Lookup (ms),0.19,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.54,0.62,0.68,0.79,0.28
HTTP Duration (excl. conn) (ms),2014.22,303.11,5428.26,993.10,1157.96,1248.50,1640.94,1921.32,2255.76,2617.70,2899.79,4780.49,725.75
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.08,0.10,42.83,0.11,0.12,0.12,0.14,0.17,1.61,1.80,1.95,2.57,4.26
HTTP Total Time (ms),2015.22,303.10,5430.53,993.09,1157.94,1248.49,1640.93,1921.30,2255.75,2619.54,2901.40,4780.50,726.08
HTTP Waiting (TTFB) (ms),2013.12,302.98,5426.12,992.93,1157.75,1248.31,1640.76,1921.12,2255.64,2615.90,2898.22,4780.23,725.48
Image Latency (ms/image),2014.32,303.16,5428.50,993.15,1158.01,1248.54,1640.99,1921.37,2255.80,2617.90,2899.97,4780.56,725.78
Image Throughput (images/sec),0.57,0.18,3.30,0.21,0.35,0.38,0.44,0.52,0.61,0.80,0.86,1.02,0.32
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-62.75,-94.92,0.00,-85.25,-78.61,-76.21,-70.80,-63.67,-59.28,-52.66,-43.69,0.00,14.76
Output Sequence Length (tokens),95.35,13.00,256.00,37.75,54.75,60.90,74.75,93.00,104.25,121.20,144.15,256.00,37.79
Output Token Count (tokens),95.35,13.00,256.00,37.75,54.75,60.90,74.75,93.00,104.25,121.20,144.15,256.00,37.79
Request Latency (ms),2014.32,303.16,5428.50,993.15,1158.01,1248.54,1640.99,1921.37,2255.80,2617.90,2899.97,4780.56,725.78
Usage Completion Tokens (tokens),95.35,13.00,256.00,37.75,54.75,60.90,74.75,93.00,104.25,121.20,144.15,256.00,37.79
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),990.35,908.00,1151.00,932.75,949.75,955.90,969.75,988.00,999.25,1016.20,1039.15,1151.00,37.79

Metric,Value
Benchmark Duration (sec),8.07
Maximum Response Timestamp (ns),1777276006460622080.00
Minimum Request Timestamp (ns),1777275998392675840.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),1181.84
Request Count,100.00
Request Throughput (requests/sec),12.39
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9535.00
Total Output Tokens (tokens),9535.00
Total Token Throughput (tokens/sec),12275.12
Total Usage Completion Tokens (tokens),9535.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99035.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Power Usage (W),59.78,59.58,59.89,59.60,59.65,59.65,59.70,59.82,59.89,59.89,59.89,59.89,0.10,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Temperature (°C),32.65,32.00,33.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,0.49,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Power Usage (W),180.40,58.92,357.28,60.95,70.40,91.08,112.08,124.39,266.75,325.57,350.50,356.34,99.46,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Utilization (%),48.43,0.00,100.00,0.00,3.40,34.00,35.50,45.00,60.00,79.00,95.50,99.34,24.37,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Temperature (°C),36.48,30.00,43.00,30.66,33.00,33.00,34.00,36.00,39.00,40.00,40.00,42.34,3.19,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Memory Utilization (%),19.96,0.00,32.00,0.00,1.50,15.00,16.00,21.00,24.00,30.20,31.00,31.78,8.03,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,SM Utilization (%),14.52,0.00,27.00,0.00,0.20,2.40,7.00,15.00,22.50,25.80,26.90,27.00,9.02,localhost
