Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,1.26,1.29,1.37,0.46
HTTP Connection Overhead (ms),0.29,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,1.79,1.90,2.04,0.68
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.04,0.82,1.93,0.86,0.89,0.90,0.96,1.04,1.09,1.16,1.22,1.43,0.14
HTTP Data Sent (KB),342.02,282.88,502.52,282.88,283.03,283.09,309.32,318.41,332.22,502.23,502.29,502.42,72.15
HTTP DNS Lookup (ms),0.09,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.62,0.70,0.22
HTTP Duration (excl. conn) (ms),2646.49,1498.92,6754.48,1513.57,1663.42,1790.25,2141.31,2494.44,3110.90,3550.20,3718.26,4127.82,768.56
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.39,0.11,1.82,0.11,0.11,0.11,0.12,0.13,0.18,1.69,1.74,1.81,0.57
HTTP Total Time (ms),2646.77,1498.91,6754.47,1513.56,1663.41,1790.24,2141.30,2494.50,3112.10,3552.07,3720.12,4129.84,768.89
HTTP Waiting (TTFB) (ms),2646.09,1498.71,6754.29,1513.44,1663.29,1790.06,2141.17,2494.32,3109.66,3548.44,3716.46,4126.00,768.27
Image Latency (ms/image),2646.56,1498.98,6754.53,1513.61,1663.46,1790.30,2141.36,2494.48,3111.05,3550.38,3718.45,4127.98,768.59
Image Throughput (images/sec),0.41,0.15,0.67,0.24,0.27,0.28,0.32,0.40,0.47,0.56,0.60,0.66,0.11
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.67,-94.63,-69.04,-94.05,-93.95,-93.39,-92.48,-90.77,-89.84,-88.38,-87.40,-81.61,2.97
Output Sequence Length (tokens),95.54,55.00,317.00,60.94,62.00,67.70,77.00,94.50,104.00,119.00,129.05,188.30,30.46
Output Token Count (tokens),95.54,55.00,317.00,60.94,62.00,67.70,77.00,94.50,104.00,119.00,129.05,188.30,30.46
Request Latency (ms),2646.56,1498.98,6754.53,1513.61,1663.46,1790.30,2141.36,2494.48,3111.05,3550.38,3718.45,4127.98,768.59
Usage Completion Tokens (tokens),95.54,55.00,317.00,60.94,62.00,67.70,77.00,94.50,104.00,119.00,129.05,188.30,30.46
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),990.54,950.00,1212.00,955.94,957.00,962.70,972.00,989.50,999.00,1014.00,1024.05,1083.30,30.46

Metric,Value
Benchmark Duration (sec),17.22
Maximum Response Timestamp (ns),1777336878723637504.00
Minimum Request Timestamp (ns),1777336861502427904.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),554.78
Request Count,100.00
Request Throughput (requests/sec),5.81
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9554.00
Total Output Tokens (tokens),9554.00
Total Token Throughput (tokens/sec),5751.86
Total Usage Completion Tokens (tokens),9554.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99054.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.46,50.29,50.53,50.32,50.41,50.41,50.47,50.47,50.47,50.53,50.53,50.53,0.05,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.41,72.30,72.47,72.30,72.30,72.30,72.39,72.39,72.47,72.47,72.47,72.47,0.06,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
