Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.83,0.00,40.63,0.00,0.00,0.00,0.00,0.00,1.23,1.40,1.50,2.14,4.05
HTTP Connection Overhead (ms),1.02,0.00,41.28,0.00,0.00,0.00,0.00,0.00,1.76,2.03,2.23,2.94,4.15
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.04,0.78,1.95,0.81,0.86,0.88,0.93,1.01,1.07,1.16,1.27,1.80,0.19
HTTP Data Sent (KB),354.29,282.94,502.43,282.94,283.04,283.10,309.46,332.05,332.28,502.27,502.32,502.39,80.73
HTTP DNS Lookup (ms),0.20,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.53,0.65,0.72,0.80,0.29
HTTP Duration (excl. conn) (ms),3787.47,1182.17,8867.51,1642.30,1992.28,2209.51,2579.67,3337.65,4942.71,5705.50,6181.43,8519.23,1516.20
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.09,0.12,41.09,0.12,0.13,0.14,0.14,0.18,1.67,1.89,2.03,2.75,4.10
HTTP Total Time (ms),3788.48,1182.16,8869.38,1642.29,1992.28,2209.49,2580.94,3337.64,4944.88,5707.68,6183.32,8560.08,1518.07
HTTP Waiting (TTFB) (ms),3786.37,1182.01,8865.71,1642.11,1992.13,2209.34,2578.34,3337.46,4940.61,5703.45,6179.58,8478.49,1514.43
Image Latency (ms/image),3787.57,1182.22,8867.68,1642.35,1992.33,2209.55,2579.82,3337.71,4942.93,5705.77,6181.61,8519.43,1516.25
Image Throughput (images/sec),0.31,0.11,0.85,0.12,0.16,0.18,0.20,0.30,0.39,0.45,0.50,0.61,0.12
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-62.62,-83.59,0.00,-80.50,-76.97,-75.78,-71.88,-65.23,-59.77,-52.30,-48.75,0.00,15.83
Output Sequence Length (tokens),95.68,42.00,256.00,49.92,58.95,62.00,72.00,89.00,103.00,122.10,131.20,256.00,40.53
Output Token Count (tokens),95.68,42.00,256.00,49.92,58.95,62.00,72.00,89.00,103.00,122.10,131.20,256.00,40.53
Request Latency (ms),3787.57,1182.22,8867.68,1642.35,1992.33,2209.55,2579.82,3337.71,4942.93,5705.77,6181.61,8519.43,1516.25
Usage Completion Tokens (tokens),95.68,42.00,256.00,49.92,58.95,62.00,72.00,89.00,103.00,122.10,131.20,256.00,40.53
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),990.68,937.00,1151.00,944.92,953.95,957.00,967.00,984.00,998.00,1017.10,1026.20,1151.00,40.53

Metric,Value
Benchmark Duration (sec),15.23
Maximum Response Timestamp (ns),1777336502306019840.00
Minimum Request Timestamp (ns),1777336487078194176.00
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),628.32
Request Count,100.00
Request Throughput (requests/sec),6.57
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9568.00
Total Output Tokens (tokens),9568.00
Total Token Throughput (tokens/sec),6505.72
Total Usage Completion Tokens (tokens),9568.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99068.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.41,50.23,50.47,50.28,50.35,50.35,50.35,50.41,50.47,50.47,50.47,50.47,0.05,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.33,72.22,72.54,72.22,72.22,72.30,72.30,72.30,72.39,72.44,72.45,72.51,0.07,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
