Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.24
HTTP Connection Overhead (ms),0.07,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.36
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.89,0.83,0.92,0.86,0.87,0.87,0.88,0.89,0.90,0.91,0.92,0.92,0.01
HTTP Data Sent (KB),361.48,282.85,502.45,282.99,283.04,283.12,283.24,318.48,502.11,502.27,502.30,502.43,87.34
HTTP DNS Lookup (ms),0.02,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.12
HTTP Duration (excl. conn) (ms),1383.90,1112.56,1868.49,1230.55,1291.19,1319.43,1331.77,1346.50,1393.99,1487.59,1571.74,1868.10,115.20
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.10,1.79,0.10,0.10,0.11,0.11,0.12,0.13,0.14,0.19,1.66,0.30
HTTP Total Time (ms),1383.97,1112.55,1870.23,1230.54,1291.18,1319.42,1331.76,1346.49,1393.98,1487.58,1571.73,1869.98,115.47
HTTP Waiting (TTFB) (ms),1383.71,1112.43,1866.80,1230.42,1291.04,1319.30,1331.65,1346.38,1393.87,1487.47,1571.54,1866.51,114.95
Image Latency (ms/image),1383.95,1112.60,1868.69,1230.60,1291.24,1319.47,1331.81,1346.54,1394.04,1487.63,1571.79,1868.31,115.22
Image Throughput (images/sec),0.73,0.54,0.90,0.54,0.64,0.67,0.72,0.74,0.75,0.76,0.77,0.81,0.05
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.81,-18.75,0.00,-11.02,-7.81,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,2.72
Output Sequence Length (tokens),63.48,52.00,64.00,56.95,59.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,1.74
Output Token Count (tokens),63.48,52.00,64.00,56.95,59.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,1.74
Request Latency (ms),1383.95,1112.60,1868.69,1230.60,1291.24,1319.47,1331.81,1346.54,1394.04,1487.63,1571.79,1868.31,115.22
Usage Completion Tokens (tokens),63.48,52.00,64.00,56.95,59.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,1.74
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.48,947.00,959.00,951.95,954.00,957.00,959.00,959.00,959.00,959.00,959.00,959.00,1.74

Metric,Value
Benchmark Duration (sec),35.24
Maximum Response Timestamp (ns),1777336031050754560.00
Minimum Request Timestamp (ns),1777335995808162816.00
OSL Mismatch Count,6.00
Output Token Throughput (tokens/sec),180.12
Request Count,100.00
Request Throughput (requests/sec),2.84
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6348.00
Total Output Tokens (tokens),6348.00
Total Token Throughput (tokens/sec),2719.66
Total Usage Completion Tokens (tokens),6348.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95848.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.33,50.17,50.53,50.17,50.17,50.23,50.23,50.29,50.41,50.47,50.47,50.53,0.10,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.37,72.10,72.47,72.18,72.19,72.27,72.30,72.39,72.39,72.47,72.47,72.47,0.08,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
