Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.30,1.41,0.46
HTTP Connection Overhead (ms),0.29,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,1.75,1.86,2.10,0.67
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),0.70,0.60,0.76,0.65,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.73,0.02
HTTP Data Sent (KB),366.64,283.04,502.37,283.04,283.09,283.14,318.22,332.04,502.16,502.29,502.30,502.37,88.33
HTTP DNS Lookup (ms),0.09,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.58,0.66,0.21
HTTP Duration (excl. conn) (ms),563.10,370.20,770.49,370.54,430.48,493.95,531.57,551.00,575.31,691.91,769.96,770.49,79.57
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.39,0.10,2.07,0.10,0.10,0.11,0.12,0.14,0.19,1.64,1.77,1.92,0.59
HTTP Total Time (ms),563.38,370.20,772.29,370.53,430.47,493.94,531.56,550.99,575.30,693.63,771.75,772.22,80.09
HTTP Waiting (TTFB) (ms),562.70,370.07,768.88,370.38,430.37,493.81,531.38,550.85,575.16,690.32,768.10,768.75,79.10
Image Latency (ms/image),563.17,370.25,770.68,370.60,430.51,493.99,531.62,551.05,575.36,692.10,770.19,770.67,79.61
Image Throughput (images/sec),1.81,1.30,2.70,1.30,1.30,1.44,1.74,1.81,1.88,2.02,2.32,2.70,0.26
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.61,-29.69,0.00,-12.67,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.28
Output Sequence Length (tokens),63.61,45.00,64.00,55.89,62.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,2.10
Output Token Count (tokens),63.61,45.00,64.00,55.89,62.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,2.10
Request Latency (ms),563.17,370.25,770.68,370.60,430.51,493.99,531.62,551.05,575.36,692.10,770.19,770.67,79.61
Usage Completion Tokens (tokens),63.61,45.00,64.00,55.89,62.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,2.10
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.61,940.00,959.00,950.89,957.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,2.10

Metric,Value
Benchmark Duration (sec),3.77
Maximum Response Timestamp (ns),1776983422912757760.00
Minimum Request Timestamp (ns),1776983419146573056.00
OSL Mismatch Count,2.00
Output Token Throughput (tokens/sec),1688.98
Request Count,100.00
Request Throughput (requests/sec),26.55
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6361.00
Total Output Tokens (tokens),6361.00
Total Token Throughput (tokens/sec),25453.08
Total Usage Completion Tokens (tokens),6361.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95861.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Power Usage (W),263.49,60.32,382.99,73.86,128.01,195.70,212.11,237.63,356.79,371.73,377.36,381.86,102.25,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Utilization (%),84.50,0.00,100.00,4.05,20.25,40.50,100.00,100.00,100.00,100.00,100.00,100.00,34.36,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Temperature (°C),42.00,30.00,49.00,30.72,33.60,37.20,38.25,43.50,46.25,48.10,48.55,48.91,5.81,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Memory Utilization (%),40.30,0.00,57.00,1.26,6.30,12.60,40.75,43.50,52.75,57.00,57.00,57.00,18.86,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,SM Utilization (%),10.50,0.00,22.00,0.18,0.90,1.80,4.75,9.50,16.25,20.20,21.10,21.82,7.60,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Power Usage (W),52.98,52.92,53.05,52.92,52.92,52.92,52.94,52.99,52.99,53.05,53.05,53.05,0.05,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Memory Used (GB),0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
