Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
HTTP Connection Overhead (ms),0.02,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),0.70,0.61,0.79,0.65,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.02
HTTP Data Sent (KB),356.71,282.89,502.47,282.96,283.09,283.11,318.27,332.04,332.34,502.32,502.35,502.45,81.56
HTTP DNS Lookup (ms),0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Duration (excl. conn) (ms),385.23,275.68,3904.43,311.76,331.32,344.88,349.82,350.90,352.11,356.06,357.01,421.53,353.89
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.14,0.11,1.84,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.15,0.25,0.17
HTTP Total Time (ms),385.24,275.67,3905.90,311.75,331.31,344.88,349.82,350.90,352.10,356.05,357.01,421.53,354.04
HTTP Waiting (TTFB) (ms),385.08,275.55,3902.55,311.53,331.17,344.75,349.70,350.78,351.96,355.92,356.88,421.36,353.72
Image Latency (ms/image),385.28,275.73,3904.61,311.81,331.36,344.93,349.87,350.95,352.15,356.10,357.05,421.57,353.90
Image Throughput (images/sec),2.84,0.26,3.63,2.56,2.80,2.81,2.84,2.85,2.86,2.90,3.02,3.21,0.28
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.05,-23.44,0.00,-12.61,-7.81,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,3.19
Output Sequence Length (tokens),63.33,49.00,64.00,55.93,59.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.04
Output Token Count (tokens),63.33,49.00,64.00,55.93,59.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.04
Request Latency (ms),385.28,275.73,3904.61,311.81,331.36,344.93,349.87,350.95,352.15,356.10,357.05,421.57,353.90
Usage Completion Tokens (tokens),63.33,49.00,64.00,55.93,59.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.04
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.33,944.00,959.00,950.93,954.00,957.00,959.00,959.00,959.00,959.00,959.00,959.00,2.04

Metric,Value
Benchmark Duration (sec),38.67
Maximum Response Timestamp (ns),1776983346899228672.00
Minimum Request Timestamp (ns),1776983308226656000.00
OSL Mismatch Count,8.00
Output Token Throughput (tokens/sec),163.76
Request Count,100.00
Request Throughput (requests/sec),2.59
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6333.00
Total Output Tokens (tokens),6333.00
Total Token Throughput (tokens/sec),2478.06
Total Usage Completion Tokens (tokens),6333.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95833.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Power Usage (W),179.43,59.72,294.16,59.73,59.79,86.13,186.23,189.49,195.27,214.60,233.72,254.96,46.84,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Utilization (%),83.80,0.00,100.00,0.00,0.00,48.50,88.00,89.50,100.00,100.00,100.00,100.00,28.57,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Temperature (°C),37.57,30.00,40.00,30.00,30.00,33.00,38.00,38.00,39.00,39.00,39.00,39.00,2.66,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Memory Utilization (%),42.71,0.00,52.00,0.00,0.00,21.50,45.00,46.00,51.00,51.00,51.00,52.00,14.74,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,SM Utilization (%),65.90,0.00,92.00,0.00,0.00,1.00,37.75,92.00,92.00,92.00,92.00,92.00,34.83,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Power Usage (W),53.00,52.80,53.11,52.81,52.99,52.99,52.99,52.99,52.99,53.05,53.05,53.05,0.04,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Memory Used (GB),0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Temperature (°C),28.94,28.00,29.00,28.00,28.25,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.23,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
