Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.44,0.33
HTTP Connection Overhead (ms),0.14,0.00,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.59,2.07,0.48
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),1.01,0.78,1.71,0.79,0.86,0.89,0.92,1.00,1.06,1.11,1.19,1.68,0.14
HTTP Data Sent (KB),360.32,282.95,502.42,282.96,283.06,283.13,318.26,332.01,374.86,502.26,502.32,502.38,83.78
HTTP DNS Lookup (ms),0.04,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.63,0.15
HTTP Duration (excl. conn) (ms),1752.74,872.98,4787.66,954.97,1146.56,1204.09,1393.49,1714.68,1878.44,2084.96,2265.99,4762.25,645.99
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.25,0.10,1.90,0.10,0.10,0.11,0.11,0.13,0.14,0.18,1.53,1.90,0.41
HTTP Total Time (ms),1752.86,872.97,4787.65,954.96,1146.55,1204.08,1393.48,1714.67,1878.43,2084.96,2265.98,4762.24,645.96
HTTP Waiting (TTFB) (ms),1752.48,872.86,4787.54,954.83,1146.41,1203.97,1393.36,1714.55,1878.31,2084.82,2265.85,4762.12,646.01
Image Latency (ms/image),1752.79,873.02,4787.70,955.01,1146.60,1204.13,1393.53,1714.72,1878.48,2085.01,2266.03,4762.29,645.98
Image Throughput (images/sec),0.62,0.21,1.15,0.21,0.44,0.48,0.53,0.58,0.72,0.83,0.87,1.05,0.16
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.52,-83.98,0.00,-82.82,-77.83,-75.78,-71.88,-65.23,-61.62,-57.38,-52.95,0.00,13.90
Output Sequence Length (tokens),90.84,41.00,256.00,43.97,56.75,62.00,72.00,89.00,98.25,109.10,120.45,256.00,35.59
Output Token Count (tokens),90.84,41.00,256.00,43.97,56.75,62.00,72.00,89.00,98.25,109.10,120.45,256.00,35.59
Request Latency (ms),1752.79,873.02,4787.70,955.01,1146.60,1204.13,1393.53,1714.72,1878.48,2085.01,2266.03,4762.29,645.98
Usage Completion Tokens (tokens),90.84,41.00,256.00,43.97,56.75,62.00,72.00,89.00,98.25,109.10,120.45,256.00,35.59
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),985.84,936.00,1151.00,938.97,951.75,957.00,967.00,984.00,993.25,1004.10,1015.45,1151.00,35.59

Metric,Value
Benchmark Duration (sec),22.50
Maximum Response Timestamp (ns),1777059182565287168.00
Minimum Request Timestamp (ns),1777059160063577088.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),403.70
Request Count,100.00
Request Throughput (requests/sec),4.44
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9084.00
Total Output Tokens (tokens),9084.00
Total Token Throughput (tokens/sec),4381.18
Total Usage Completion Tokens (tokens),9084.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98584.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),71.14,70.83,71.79,70.87,70.90,70.98,70.98,71.09,71.27,71.27,71.51,71.79,0.21,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.79,33.00,34.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,0.41,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),146.19,72.19,372.84,106.01,129.42,130.37,131.01,132.12,134.12,148.77,275.16,338.81,48.47,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),37.53,0.00,50.00,0.00,32.05,33.00,34.00,39.00,41.50,45.00,46.90,50.00,8.37,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),36.55,32.00,39.00,33.22,35.05,36.00,36.00,37.00,37.00,37.90,38.00,39.00,1.08,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),15.79,0.00,20.00,0.00,15.00,15.00,15.00,16.00,17.00,18.00,18.00,19.39,3.14,localhost
