Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
HTTP Connection Overhead (ms),0.01,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.14
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),1.01,0.81,1.74,0.81,0.85,0.87,0.90,1.02,1.08,1.14,1.23,1.62,0.14
HTTP Data Sent (KB),368.52,282.87,502.45,282.93,283.01,283.08,318.23,332.10,502.13,502.28,502.34,502.43,89.30
HTTP DNS Lookup (ms),0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Duration (excl. conn) (ms),1555.35,887.25,4331.51,889.67,999.47,1051.91,1171.31,1551.05,1745.03,1973.85,2175.28,3669.69,501.54
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.40,0.10,0.11,0.11,0.11,0.11,0.12,0.13,0.14,0.24,0.13
HTTP Total Time (ms),1555.35,887.25,4331.50,889.66,999.46,1051.90,1171.30,1551.05,1745.02,1973.84,2175.27,3669.68,501.54
HTTP Waiting (TTFB) (ms),1555.21,887.12,4331.38,889.55,999.36,1051.78,1171.19,1550.92,1744.90,1973.73,2175.16,3669.57,501.54
Image Latency (ms/image),1555.39,887.29,4331.55,889.71,999.51,1051.94,1171.35,1551.10,1745.07,1973.89,2175.32,3669.73,501.54
Image Throughput (images/sec),0.70,0.23,1.13,0.27,0.46,0.51,0.57,0.64,0.85,0.95,1.00,1.12,0.19
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-91.25,-95.12,-75.00,-95.12,-94.54,-94.24,-93.48,-91.26,-90.14,-88.85,-87.56,-79.16,2.94
Output Sequence Length (tokens),89.63,50.00,256.00,50.00,55.90,59.00,66.75,89.50,101.00,114.20,127.40,213.43,30.06
Output Token Count (tokens),89.63,50.00,256.00,50.00,55.90,59.00,66.75,89.50,101.00,114.20,127.40,213.43,30.06
Request Latency (ms),1555.39,887.29,4331.55,889.71,999.51,1051.94,1171.35,1551.10,1745.07,1973.89,2175.32,3669.73,501.54
Usage Completion Tokens (tokens),89.63,50.00,256.00,50.00,55.90,59.00,66.75,89.50,101.00,114.20,127.40,213.43,30.06
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),984.63,945.00,1151.00,945.00,950.90,954.00,961.75,984.50,996.00,1009.20,1022.40,1108.43,30.06

Metric,Value
Benchmark Duration (sec),155.68
Maximum Response Timestamp (ns),1777061120588342272.00
Minimum Request Timestamp (ns),1777060964906230528.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),57.57
Request Count,100.00
Request Throughput (requests/sec),0.64
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),8963.00
Total Output Tokens (tokens),8963.00
Total Token Throughput (tokens/sec),632.46
Total Usage Completion Tokens (tokens),8963.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98463.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),70.95,70.74,71.51,70.74,70.74,70.74,70.90,70.98,70.98,70.98,71.13,71.51,0.16,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),96.21,71.71,182.61,74.30,93.20,93.44,93.96,94.73,96.01,98.35,102.18,138.13,9.41,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),36.24,0.00,42.00,29.00,34.00,35.00,36.00,37.00,37.00,37.00,38.00,40.00,2.36,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),32.99,32.00,34.00,32.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,34.00,0.19,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),14.95,0.00,17.00,12.00,13.00,14.00,15.00,15.00,15.00,16.00,16.00,16.00,1.05,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,SM Utilization (%),33.91,0.00,36.00,3.30,18.50,35.00,35.00,36.00,36.00,36.00,36.00,36.00,6.27,localhost
