Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.22
HTTP Connection Overhead (ms),0.07,0.00,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.32
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.06,0.79,5.46,0.81,0.88,0.89,0.95,1.01,1.06,1.13,1.18,1.60,0.46
HTTP Data Sent (KB),357.94,282.96,502.45,282.96,283.02,283.10,283.29,318.47,374.80,502.24,502.29,502.37,85.12
HTTP DNS Lookup (ms),0.02,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.10
HTTP Duration (excl. conn) (ms),1817.79,839.99,18057.54,945.89,1097.37,1172.86,1400.10,1619.30,1835.75,2027.87,2165.17,4272.81,1694.19
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.10,1.63,0.10,0.11,0.11,0.12,0.13,0.14,0.15,0.18,1.56,0.28
HTTP Total Time (ms),1817.85,839.98,18057.53,945.88,1097.36,1172.85,1400.10,1619.29,1836.14,2027.86,2165.17,4272.80,1694.18
HTTP Waiting (TTFB) (ms),1817.60,839.87,18057.41,945.75,1097.25,1172.70,1399.98,1619.15,1835.23,2027.74,2165.06,4272.67,1694.19
Image Latency (ms/image),1817.84,840.02,18057.58,945.94,1097.41,1172.91,1400.14,1619.35,1835.84,2027.92,2165.21,4272.86,1694.19
Image Throughput (images/sec),0.64,0.06,1.19,0.24,0.46,0.49,0.54,0.62,0.71,0.85,0.91,1.06,0.16
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.30,-95.70,0.00,-95.12,-94.24,-93.95,-92.68,-91.36,-90.31,-88.96,-88.12,-77.54,9.40
Output Sequence Length (tokens),99.32,44.00,1024.00,49.94,59.00,62.00,75.00,88.50,99.25,113.00,121.65,230.02,96.30
Output Token Count (tokens),99.32,44.00,1024.00,49.94,59.00,62.00,75.00,88.50,99.25,113.00,121.65,230.02,96.30
Request Latency (ms),1817.84,840.02,18057.58,945.94,1097.41,1172.91,1400.14,1619.35,1835.84,2027.92,2165.21,4272.86,1694.19
Usage Completion Tokens (tokens),99.32,44.00,1024.00,49.94,59.00,62.00,75.00,88.50,99.25,113.00,121.65,230.02,96.30
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),994.32,939.00,1919.00,944.94,954.00,957.00,970.00,983.50,994.25,1008.00,1016.65,1125.02,96.30

Metric,Value
Benchmark Duration (sec),47.18
Maximum Response Timestamp (ns),1777061186481545984.00
Minimum Request Timestamp (ns),1777061139300335872.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),210.51
Request Count,100.00
Request Throughput (requests/sec),2.12
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9932.00
Total Output Tokens (tokens),9932.00
Total Token Throughput (tokens/sec),2107.45
Total Usage Completion Tokens (tokens),9932.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99432.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),70.99,70.74,71.79,70.74,70.74,70.90,70.98,70.98,70.98,70.98,71.27,71.51,0.15,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.75,33.00,34.00,33.00,33.00,33.00,33.50,34.00,34.00,34.00,34.00,34.00,0.44,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),139.20,71.71,292.52,92.24,103.97,128.03,129.55,131.12,133.71,151.67,207.18,283.17,34.23,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),36.39,0.00,50.00,27.20,33.00,33.00,35.00,35.00,39.50,41.00,44.50,46.00,4.80,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),35.90,31.00,38.00,32.30,34.00,35.00,36.00,36.00,36.00,37.00,37.00,38.00,0.95,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),15.53,0.00,18.00,8.80,14.00,15.00,15.00,16.00,16.00,17.00,17.00,18.00,1.82,localhost
