Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.82,0.00,38.46,0.00,0.00,0.00,0.00,0.00,1.30,1.50,1.53,2.10,3.84
HTTP Connection Overhead (ms),1.02,0.00,39.00,0.00,0.00,0.00,0.00,0.00,1.83,2.15,2.30,2.91,3.93
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.02,0.74,1.64,0.82,0.86,0.89,0.92,1.01,1.07,1.16,1.20,1.40,0.13
HTTP Data Sent (KB),368.38,282.79,502.50,282.94,283.11,283.13,318.31,332.14,502.09,502.27,502.33,502.40,87.20
HTTP DNS Lookup (ms),0.20,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.54,0.66,0.72,0.82,0.30
HTTP Duration (excl. conn) (ms),1985.76,839.26,4789.05,1089.36,1264.72,1379.27,1539.58,1880.84,2289.33,2613.68,2961.84,3648.52,592.15
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.07,0.11,38.90,0.11,0.12,0.12,0.14,0.18,1.72,1.93,2.08,2.61,3.88
HTTP Total Time (ms),1986.77,839.25,4790.85,1089.34,1264.70,1379.26,1539.56,1880.83,2290.79,2615.56,2998.96,3651.01,593.29
HTTP Waiting (TTFB) (ms),1984.67,839.13,4787.26,1089.17,1264.49,1379.06,1539.34,1880.63,2287.87,2611.90,2924.75,3646.24,591.11
Image Latency (ms/image),1985.86,839.30,4789.23,1089.41,1264.77,1379.32,1539.63,1880.89,2289.49,2613.90,2962.01,3648.76,592.19
Image Throughput (images/sec),0.54,0.21,1.19,0.27,0.34,0.38,0.44,0.53,0.65,0.73,0.79,0.92,0.15
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.36,-84.38,-12.89,-79.73,-77.34,-75.39,-71.48,-64.65,-59.67,-52.73,-48.75,-27.97,10.58
Output Sequence Length (tokens),91.25,40.00,223.00,51.88,58.00,63.00,73.00,90.50,103.25,121.00,131.20,184.39,27.08
Output Token Count (tokens),91.25,40.00,223.00,51.88,58.00,63.00,73.00,90.50,103.25,121.00,131.20,184.39,27.08
Request Latency (ms),1985.86,839.30,4789.23,1089.41,1264.77,1379.32,1539.63,1880.89,2289.49,2613.90,2962.01,3648.76,592.19
Usage Completion Tokens (tokens),91.25,40.00,223.00,51.88,58.00,63.00,73.00,90.50,103.25,121.00,131.20,184.39,27.08
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),986.25,935.00,1118.00,946.88,953.00,958.00,968.00,985.50,998.25,1016.00,1026.20,1079.39,27.08

Metric,Value
Benchmark Duration (sec),7.29
Maximum Response Timestamp (ns),1777060945944305408.00
Minimum Request Timestamp (ns),1777060938653945600.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),1251.65
Request Count,100.00
Request Throughput (requests/sec),13.72
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9125.00
Total Output Tokens (tokens),9125.00
Total Token Throughput (tokens/sec),13528.14
Total Usage Completion Tokens (tokens),9125.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98625.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),70.98,70.73,71.27,70.74,70.74,70.74,70.90,70.98,70.98,71.27,71.27,71.27,0.17,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.52,33.00,34.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,0.51,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),185.19,71.27,386.39,83.14,130.60,132.12,142.37,144.54,185.46,345.02,354.47,380.01,86.23,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),45.29,0.00,89.00,0.00,0.00,34.00,37.00,43.00,56.00,72.00,74.00,86.00,21.42,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),39.05,32.00,45.00,32.80,36.00,36.00,37.00,39.00,41.00,43.00,44.00,44.80,3.20,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),19.10,0.00,32.00,0.00,0.00,16.00,18.00,20.00,22.00,27.00,27.00,31.00,7.54,localhost
