Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.14,0.22
HTTP Connection Overhead (ms),0.06,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.63,0.32
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.04,0.82,1.83,0.82,0.85,0.89,0.94,1.00,1.08,1.17,1.35,1.83,0.19
HTTP Data Sent (KB),346.84,282.78,502.36,282.91,283.08,283.13,283.24,318.45,332.28,502.24,502.28,502.36,77.39
HTTP DNS Lookup (ms),0.02,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.10
HTTP Duration (excl. conn) (ms),1753.89,956.01,4555.90,993.21,1110.69,1181.73,1356.91,1644.06,1846.29,2185.08,3032.26,4527.96,695.31
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.10,1.63,0.10,0.10,0.11,0.11,0.12,0.12,0.14,0.17,1.54,0.28
HTTP Total Time (ms),1753.95,956.00,4555.90,993.20,1110.75,1181.72,1356.90,1644.05,1846.28,2186.51,3032.25,4527.95,695.33
HTTP Waiting (TTFB) (ms),1753.71,955.88,4555.76,993.09,1110.49,1181.60,1356.78,1643.94,1846.12,2183.65,3032.13,4527.84,695.30
Image Latency (ms/image),1753.94,956.06,4555.95,993.24,1110.74,1181.77,1356.95,1644.12,1846.34,2185.25,3032.30,4528.00,695.31
Image Throughput (images/sec),0.63,0.22,1.05,0.22,0.33,0.46,0.54,0.61,0.74,0.85,0.90,1.01,0.17
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-62.38,-80.08,0.00,-79.69,-76.58,-75.43,-71.09,-64.65,-60.16,-53.05,-33.28,0.00,15.58
Output Sequence Length (tokens),96.30,51.00,256.00,51.99,59.95,62.90,74.00,90.50,102.00,120.20,170.80,256.00,39.88
Output Token Count (tokens),96.30,51.00,256.00,51.99,59.95,62.90,74.00,90.50,102.00,120.20,170.80,256.00,39.88
Request Latency (ms),1753.94,956.06,4555.95,993.24,1110.74,1181.77,1356.95,1644.12,1846.34,2185.25,3032.30,4528.00,695.31
Usage Completion Tokens (tokens),96.30,51.00,256.00,51.99,59.95,62.90,74.00,90.50,102.00,120.20,170.80,256.00,39.88
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),991.30,946.00,1151.00,946.99,954.95,957.90,969.00,985.50,997.00,1015.20,1065.80,1151.00,39.88

Metric,Value
Benchmark Duration (sec),44.74
Maximum Response Timestamp (ns),1777060845222203392.00
Minimum Request Timestamp (ns),1777060800477738240.00
OSL Mismatch Count,96.00
Output Token Throughput (tokens/sec),215.22
Request Count,100.00
Request Throughput (requests/sec),2.23
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9630.00
Total Output Tokens (tokens),9630.00
Total Token Throughput (tokens/sec),2215.47
Total Usage Completion Tokens (tokens),9630.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99130.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),71.04,70.74,71.51,70.74,70.75,70.90,70.98,70.98,71.19,71.27,71.51,71.51,0.18,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.76,33.00,34.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,0.43,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),138.79,71.94,275.41,110.41,120.73,126.90,131.56,132.95,135.12,146.83,176.28,257.33,26.49,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),37.25,0.00,46.00,33.00,34.00,34.00,35.00,36.00,40.00,41.00,44.85,45.00,4.64,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),35.96,31.00,38.00,33.00,34.15,35.00,36.00,36.00,36.00,37.00,37.00,38.00,0.95,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),15.76,0.00,18.00,14.23,15.00,15.00,15.00,16.00,16.00,17.00,17.00,17.77,1.62,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,SM Utilization (%),30.46,0.00,37.00,1.00,5.15,11.30,28.00,36.00,37.00,37.00,37.00,37.00,10.75,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
