Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.86,0.00,44.37,0.00,0.00,0.00,0.00,0.00,1.23,1.37,1.49,2.04,4.42
HTTP Connection Overhead (ms),1.05,0.00,45.11,0.00,0.00,0.00,0.00,0.00,1.81,1.98,2.06,2.72,4.52
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),0.89,0.74,0.93,0.81,0.86,0.87,0.88,0.89,0.90,0.91,0.91,0.92,0.02
HTTP Data Sent (KB),353.21,282.94,502.39,282.98,283.08,283.14,309.49,318.47,332.36,502.22,502.30,502.38,81.10
HTTP DNS Lookup (ms),0.19,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.55,0.63,0.66,0.75,0.29
HTTP Duration (excl. conn) (ms),1623.57,816.48,2530.54,1036.65,1266.41,1294.67,1315.53,1402.49,1797.69,2421.22,2468.52,2498.83,459.66
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.11,0.11,44.84,0.11,0.12,0.12,0.14,0.18,1.69,1.87,1.96,2.62,4.46
HTTP Total Time (ms),1624.61,816.47,2532.43,1036.63,1266.40,1294.66,1315.52,1402.48,1799.59,2423.21,2486.37,2512.94,461.27
HTTP Waiting (TTFB) (ms),1622.44,816.33,2528.62,1036.45,1266.27,1294.54,1315.38,1402.27,1795.88,2415.41,2466.42,2497.18,458.20
Image Latency (ms/image),1623.67,816.53,2530.77,1036.70,1266.45,1294.71,1315.59,1402.55,1797.89,2421.40,2468.75,2499.02,459.73
Image Throughput (images/sec),0.66,0.40,1.22,0.40,0.41,0.41,0.56,0.71,0.76,0.77,0.79,0.97,0.16
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.12,-37.50,0.00,-20.48,-3.20,-1.72,0.00,0.00,0.00,0.00,0.00,0.00,4.80
Output Sequence Length (tokens),63.28,40.00,64.00,50.89,61.95,62.90,64.00,64.00,64.00,64.00,64.00,64.00,3.07
Output Token Count (tokens),63.28,40.00,64.00,50.89,61.95,62.90,64.00,64.00,64.00,64.00,64.00,64.00,3.07
Request Latency (ms),1623.67,816.53,2530.77,1036.70,1266.45,1294.71,1315.59,1402.55,1797.89,2421.40,2468.75,2499.02,459.73
Usage Completion Tokens (tokens),63.28,40.00,64.00,50.89,61.95,62.90,64.00,64.00,64.00,64.00,64.00,64.00,3.07
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.28,935.00,959.00,945.89,956.95,957.90,959.00,959.00,959.00,959.00,959.00,959.00,3.07

Metric,Value
Benchmark Duration (sec),5.52
Maximum Response Timestamp (ns),1777060605040009728.00
Minimum Request Timestamp (ns),1777060599515028736.00
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),1145.34
Request Count,100.00
Request Throughput (requests/sec),18.10
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6328.00
Total Output Tokens (tokens),6328.00
Total Token Throughput (tokens/sec),17344.49
Total Usage Completion Tokens (tokens),6328.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95828.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),70.95,70.74,71.27,70.75,70.79,70.82,70.82,70.90,70.98,71.20,71.27,71.27,0.16,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.33,33.00,34.00,33.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,0.49,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),197.17,71.19,398.86,80.15,116.01,135.53,143.69,147.58,215.61,382.03,387.79,396.65,104.30,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),51.07,0.00,99.00,0.00,0.00,14.40,36.50,40.00,74.50,89.00,94.80,98.16,30.02,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),39.47,31.00,47.00,31.14,31.70,32.80,37.50,40.00,42.50,44.00,44.90,46.58,4.52,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),20.33,0.00,33.00,0.00,0.00,6.80,18.00,20.00,27.00,31.60,32.30,32.86,9.88,localhost
