Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.20
HTTP Connection Overhead (ms),0.06,0.00,1.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.29
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.89,0.81,0.93,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.92,0.02
HTTP Data Sent (KB),355.22,282.94,502.37,282.99,283.06,283.09,318.27,332.03,332.36,502.27,502.33,502.36,80.07
HTTP DNS Lookup (ms),0.02,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.09
HTTP Duration (excl. conn) (ms),1195.17,1120.70,1375.47,1120.80,1152.06,1166.90,1177.80,1190.39,1208.18,1216.63,1240.76,1375.39,38.27
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.10,1.53,0.10,0.10,0.10,0.11,0.11,0.12,0.14,0.18,1.47,0.26
HTTP Total Time (ms),1195.22,1120.69,1377.06,1120.80,1152.12,1166.89,1177.79,1190.39,1208.18,1216.62,1240.75,1376.70,38.45
HTTP Waiting (TTFB) (ms),1194.99,1120.55,1373.99,1120.67,1151.87,1166.78,1177.69,1190.28,1208.07,1216.50,1240.65,1373.90,38.10
Image Latency (ms/image),1195.21,1120.75,1375.67,1120.84,1152.10,1166.94,1177.84,1190.43,1208.22,1216.67,1240.80,1375.58,38.29
Image Throughput (images/sec),0.84,0.73,0.89,0.73,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.89,0.02
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.55,-21.88,0.00,-7.95,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49
Output Sequence Length (tokens),63.65,50.00,64.00,58.91,62.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.60
Output Token Count (tokens),63.65,50.00,64.00,58.91,62.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.60
Request Latency (ms),1195.21,1120.75,1375.67,1120.84,1152.10,1166.94,1177.84,1190.43,1208.22,1216.67,1240.80,1375.58,38.29
Usage Completion Tokens (tokens),63.65,50.00,64.00,58.91,62.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,1.60
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.65,945.00,959.00,953.91,957.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,1.60

Metric,Value
Benchmark Duration (sec),30.02
Maximum Response Timestamp (ns),1777060518906420224.00
Minimum Request Timestamp (ns),1777060488890376448.00
OSL Mismatch Count,4.00
Output Token Throughput (tokens/sec),212.05
Request Count,100.00
Request Throughput (requests/sec),3.33
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6365.00
Total Output Tokens (tokens),6365.00
Total Token Throughput (tokens/sec),3193.79
Total Usage Completion Tokens (tokens),6365.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95865.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),70.97,70.66,71.51,70.66,70.74,70.74,70.90,70.98,70.98,70.98,71.26,71.51,0.15,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.51,33.00,34.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,0.50,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),142.91,71.27,332.01,88.43,126.95,128.31,129.40,130.45,132.61,167.42,258.54,301.88,42.76,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),37.58,0.00,54.00,25.42,33.00,34.00,35.00,36.00,40.00,45.80,49.00,52.36,6.58,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),35.87,31.00,40.00,31.82,34.00,35.00,36.00,36.00,36.00,37.00,38.00,39.18,1.28,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),15.87,0.00,20.00,7.38,15.00,15.00,15.00,16.00,17.00,18.00,20.00,20.00,2.41,localhost
