# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 59a2e714-e1a7-41f8-b10e-19c6d650dd2c
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,10.8095,0.0000,16.0000,7.0400,0.2000,1.0000,1.0000,2.0000,16.0000,16.0000,16.0000,16.0000,16.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,1.2857,0.0000,6.0000,1.7362,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,4.0000,4.0000,5.6000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,10483.0000,1523.9673,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,100.0000,14.5375,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,10723956048946219388,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,100,14.5375,0.2849,0.0414,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,,,,,detokenize,Tokenizer latency in milliseconds,0.5=100;1=100;2=100;4=100;8=100;16=100;32=100;64=100;128=100;256=100;512=100;+Inf=100
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,100,14.5375,109.8191,15.9650,1.0982,0.5010,0.5439,0.5977,0.7592,1.0000,1.4167,1.6969,1.7903,1.8755,,,,,tokenize,Tokenizer latency in milliseconds,0.5=0;1=46;2=99;4=100;8=100;16=100;32=100;64=100;128=100;256=100;512=100;+Inf=100
localhost:8000,histogram,dynamo_frontend_cached_tokens,tokens,5,0.7269,80.0000,11.6300,16.0000,0.0000,0.0000,0.0000,0.0000,10.4000,30.4000,42.4000,46.4000,49.6000,,,,qwen/qwen2-vl-2b-instruct,,Number of cached tokens (prefix cache hits) per request,0=0;100=5;210=5;430=5;870=5;1800=5;3600=5;7400=5;15000=5;31000=5;63000=5;130000=5;+Inf=5
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,100,14.5375,57700.0000,8388.1439,577.0000,430.0000,430.0000,430.0000,462.0480,570.9480,679.8480,745.1880,766.9680,784.3920,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=0;430=0;870=100;1800=100;3600=100;7400=100;15000=100;31000=100;63000=100;130000=100;+Inf=100
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,10382,1509.2844,68.2903,9.9277,0.0066,0.0002,0.0012,0.0041,0.0044,0.0050,0.0055,0.0145,0.0195,0.0264,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=786;0.0035=1009;0.0067=8436;0.013=9133;0.024=10257;0.045=10382;0.084=10382;0.16=10382;0.3=10382;0.56=10382;1.1=10382;2=10382;+Inf=10382
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,100,14.5375,10483.0000,1523.9673,104.8300,11.5483,17.7358,25.4702,48.6733,87.3452,144.4927,187.5396,187.5396,352.9682,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=64;210=96;430=99;880=99;1800=100;3700=100;7600=100;16000=100;32000=100;+Inf=100
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,100,14.5375,77.3701,11.2477,0.7737,0.0000,0.0128,0.0847,0.3007,0.6655,1.1478,1.4372,1.5337,2.4549,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=98;3.4=99;6.3=100;12=100;22=100;40=100;75=100;140=100;260=100;+Inf=100
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,100,14.5375,9.0208,1.3114,0.0902,0.0266,0.0295,0.0330,0.0436,0.0579,0.0847,0.2219,0.3314,0.4214,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=35;0.1=84;0.22=89;0.47=100;1=100;2.2=100;4.7=100;10=100;22=100;48=100;100=100;220=100;480=100;+Inf=100
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,10723956048946219388,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,10723956048946219388,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
