Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,1.13,1.29,1.43,0.46
HTTP Connection Overhead (ms),0.28,0.00,2.24,0.00,0.00,0.00,0.00,0.00,0.00,1.65,1.90,2.05,0.66
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),0.88,0.44,2.95,0.61,0.69,0.71,0.75,0.82,0.88,0.97,1.06,2.88,0.34
HTTP Data Sent (KB),348.79,282.85,502.41,282.94,282.99,283.09,318.19,318.50,332.27,502.26,502.35,502.41,76.39
HTTP DNS Lookup (ms),0.09,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.61,0.65,0.20
HTTP Duration (excl. conn) (ms),760.51,391.26,4393.51,397.23,455.06,512.23,560.10,648.49,775.52,929.24,1099.42,4323.97,553.37
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.39,0.10,1.98,0.10,0.10,0.11,0.12,0.13,0.20,1.55,1.73,1.96,0.57
HTTP Total Time (ms),760.78,391.26,4393.49,399.11,455.06,512.22,560.09,648.48,775.51,930.74,1100.96,4325.44,553.49
HTTP Waiting (TTFB) (ms),760.11,391.12,4393.28,395.48,454.94,512.09,559.97,648.35,775.29,927.67,1097.91,4322.42,553.26
Image Latency (ms/image),760.58,391.31,4393.57,397.42,455.10,512.27,560.14,648.54,775.58,929.43,1099.61,4324.20,553.39
Image Throughput (images/sec),1.53,0.23,2.56,0.23,0.91,1.08,1.29,1.54,1.79,1.95,2.20,2.52,0.41
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.09,-99.02,-36.43,-95.45,-94.05,-93.30,-92.68,-91.65,-90.28,-88.36,-85.87,-41.94,8.00
Output Sequence Length (tokens),101.51,10.00,651.00,46.63,60.95,68.60,75.00,85.50,99.50,119.20,144.65,594.57,81.91
Output Token Count (tokens),101.51,10.00,651.00,46.63,60.95,68.60,75.00,85.50,99.50,119.20,144.65,594.57,81.91
Request Latency (ms),760.58,391.31,4393.57,397.42,455.10,512.27,560.14,648.54,775.58,929.43,1099.61,4324.20,553.39
Usage Completion Tokens (tokens),101.51,10.00,651.00,46.63,60.95,68.60,75.00,85.50,99.50,119.20,144.65,594.57,81.91
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),996.51,905.00,1546.00,941.63,955.95,963.60,970.00,980.50,994.50,1014.20,1039.65,1489.57,81.91

Metric,Value
Benchmark Duration (sec),5.96
Maximum Response Timestamp (ns),1777274388197470976.00
Minimum Request Timestamp (ns),1777274382236858880.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),1703.01
Request Count,100.00
Request Throughput (requests/sec),16.78
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10151.00
Total Output Tokens (tokens),10151.00
Total Token Throughput (tokens/sec),16718.25
Total Usage Completion Tokens (tokens),10151.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99651.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Power Usage (W),226.78,59.42,372.09,79.95,162.09,188.06,202.88,213.34,249.08,316.15,350.85,367.84,68.88,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Utilization (%),94.12,0.00,100.00,16.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,24.25,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Temperature (°C),42.06,32.00,46.00,32.96,36.80,38.60,41.00,42.00,44.00,45.40,46.00,46.00,3.49,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Memory Utilization (%),45.59,0.00,56.00,4.48,22.40,35.80,45.00,51.00,51.00,54.40,55.20,55.84,13.47,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,SM Utilization (%),18.76,0.00,39.00,0.16,0.80,2.20,8.00,18.00,29.00,34.80,36.60,38.52,12.69,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Power Usage (W),50.43,50.23,50.46,50.26,50.37,50.40,50.40,50.46,50.46,50.46,50.46,50.46,0.06,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
