Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,87.51,49.00,255.00,49.99,57.95,62.00,71.00,84.00,98.25,112.00,125.10,165.90,26.38
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.20,0.00,1.38,0.00,0.00,0.00,0.00,0.00,0.00,1.19,1.30,1.35,0.45
HTTP Connection Overhead (ms),0.28,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.85,1.99,0.65
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),31.26,17.65,90.21,17.66,21.18,21.92,25.41,30.00,35.01,39.88,44.85,58.80,9.35
HTTP Data Sent (KB),374.27,282.89,502.50,282.97,283.03,283.12,318.36,332.19,502.21,502.32,502.38,502.48,89.37
HTTP DNS Lookup (ms),0.09,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.53,0.63,0.20
HTTP Duration (excl. conn) (ms),691.05,373.19,1372.91,402.61,454.99,487.17,560.78,684.22,787.48,891.47,977.56,1372.23,181.06
HTTP Receiving (ms),604.31,325.14,1315.82,345.89,395.35,420.56,475.05,574.34,704.15,788.57,843.20,1136.92,166.14
HTTP Sending (ms),0.39,0.10,1.91,0.10,0.10,0.10,0.11,0.14,0.19,1.64,1.75,1.88,0.57
HTTP Total Time (ms),691.33,373.19,1374.40,402.61,454.99,487.17,560.78,684.22,787.89,891.47,977.64,1372.24,181.31
HTTP Waiting (TTFB) (ms),86.35,46.09,326.51,46.72,47.50,48.14,50.35,57.09,65.95,205.34,268.65,326.07,71.88
Image Latency (ms/image),683.58,367.59,1372.16,397.35,451.68,480.99,554.99,675.71,776.68,882.77,972.05,1367.54,181.56
Image Throughput (images/sec),1.56,0.73,2.72,0.73,1.03,1.13,1.29,1.48,1.80,2.08,2.21,2.52,0.39
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),6.97,0.00,31.35,0.06,0.60,2.83,4.77,5.12,6.27,16.62,17.41,26.31,5.31
Inter Token Latency (ms),6.75,4.90,7.47,5.08,5.33,5.90,6.58,6.94,7.16,7.29,7.34,7.44,0.58
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-91.23,-95.21,-75.00,-95.12,-94.05,-93.86,-92.87,-91.65,-90.21,-88.93,-87.58,-83.70,2.61
Output Sequence Length (tokens),89.77,49.00,256.00,49.99,60.95,62.90,73.00,85.50,100.25,113.40,127.20,166.90,26.77
Output Token Count (tokens),89.77,49.00,256.00,49.99,60.95,62.90,73.00,85.50,100.25,113.40,127.20,166.90,26.77
Output Token Throughput Per User (tokens/sec/user),149.35,133.84,204.24,134.38,136.23,137.26,139.65,144.04,151.92,169.40,187.55,196.93,14.96
Prefill Throughput Per User (tokens/sec/user),14127.71,2725.54,19339.07,2726.76,3311.12,4320.04,13538.40,15634.58,17710.44,18533.36,18778.12,19094.06,4907.56
Request Latency (ms),683.58,367.59,1372.16,397.35,451.68,480.99,554.99,675.71,776.68,882.77,972.05,1367.54,181.56
Time to First Output Token (ms),86.81,46.28,328.38,46.87,47.66,48.29,50.54,57.24,66.12,207.17,270.44,328.23,72.48
Time to First Token (ms),86.81,46.28,328.38,46.87,47.66,48.29,50.54,57.24,66.12,207.17,270.44,328.23,72.48
Time to Second Token (ms),8.56,0.00,31.00,0.00,0.00,0.24,1.84,4.92,12.74,27.10,30.29,30.88,8.99
Usage Completion Tokens (tokens),89.77,49.00,256.00,49.99,60.95,62.90,73.00,85.50,100.25,113.40,127.20,166.90,26.77
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),984.77,944.00,1151.00,944.99,955.95,957.90,968.00,980.50,995.25,1008.40,1022.20,1061.90,26.77

Metric,Value
Benchmark Duration (sec),5.19
Maximum Response Timestamp (ns),1777346624195033344.00
Minimum Request Timestamp (ns),1777346619003874304.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),1729.29
Request Count,100.00
Request Throughput (requests/sec),19.26
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),8977.00
Total Output Tokens (tokens),8977.00
Total Token Throughput (tokens/sec),18970.14
Total Usage Completion Tokens (tokens),8977.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98477.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),264.18,71.42,405.03,90.32,165.91,207.12,219.45,263.91,318.74,335.23,356.25,395.27,78.42,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),90.07,0.00,100.00,7.14,35.70,70.60,100.00,100.00,100.00,100.00,100.00,100.00,27.93,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),43.40,32.00,47.00,33.26,38.30,41.00,42.00,44.00,46.00,46.60,47.00,47.00,3.76,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),44.60,0.00,59.00,2.38,11.90,27.40,46.00,50.00,51.50,54.40,56.90,58.58,15.52,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),16.73,0.00,34.00,0.28,1.40,2.80,7.50,17.00,25.50,31.20,32.60,33.72,11.24,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),55.07,55.03,55.16,55.03,55.03,55.03,55.03,55.10,55.10,55.10,55.12,55.15,0.04,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
