Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
HTTP Connection Overhead (ms),0.02,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.16
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),0.84,0.60,1.69,0.60,0.63,0.69,0.75,0.84,0.90,0.97,0.98,1.17,0.14
HTTP Data Sent (KB),346.12,283.01,502.36,283.04,283.08,283.14,309.52,318.46,332.22,502.21,502.29,502.34,75.32
HTTP DNS Lookup (ms),0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Duration (excl. conn) (ms),485.61,251.97,1310.40,260.99,280.65,330.63,395.35,493.24,550.26,615.12,635.95,893.97,138.32
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.12,0.10,1.53,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.12,0.17,0.14
HTTP Total Time (ms),485.61,251.96,1310.39,260.98,280.64,330.62,395.34,493.24,550.25,615.11,635.93,893.97,138.33
HTTP Waiting (TTFB) (ms),485.48,251.86,1310.29,260.88,280.54,330.51,395.23,493.13,550.15,615.01,635.83,893.86,138.31
Image Latency (ms/image),485.65,252.00,1310.44,261.03,280.69,330.67,395.39,493.28,550.30,615.16,635.99,894.01,138.32
Image Throughput (images/sec),2.21,0.76,3.97,1.12,1.57,1.63,1.82,2.03,2.53,3.02,3.56,3.83,0.59
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.52,-82.81,0.00,-82.04,-80.47,-76.60,-71.58,-63.87,-59.67,-54.30,-52.68,-32.87,10.83
Output Sequence Length (tokens),90.83,44.00,256.00,45.98,50.00,59.90,72.75,92.50,103.25,117.00,121.15,171.85,27.73
Output Token Count (tokens),90.83,44.00,256.00,45.98,50.00,59.90,72.75,92.50,103.25,117.00,121.15,171.85,27.73
Request Latency (ms),485.65,252.00,1310.44,261.03,280.69,330.67,395.39,493.28,550.30,615.16,635.99,894.01,138.32
Usage Completion Tokens (tokens),90.83,44.00,256.00,45.98,50.00,59.90,72.75,92.50,103.25,117.00,121.15,171.85,27.73
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),985.83,939.00,1151.00,940.98,945.00,954.90,967.75,987.50,998.25,1012.00,1016.15,1066.85,27.73

Metric,Value
Benchmark Duration (sec),48.71
Maximum Response Timestamp (ns),1776983511594241536.00
Minimum Request Timestamp (ns),1776983462883511296.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),186.47
Request Count,100.00
Request Throughput (requests/sec),2.05
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9083.00
Total Output Tokens (tokens),9083.00
Total Token Throughput (tokens/sec),2023.85
Total Usage Completion Tokens (tokens),9083.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98583.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Power Usage (W),192.14,59.72,299.77,118.95,182.41,186.24,188.03,192.57,196.40,199.34,202.91,284.03,22.78,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Utilization (%),94.95,0.00,100.00,87.00,89.00,91.00,91.00,100.00,100.00,100.00,100.00,100.00,9.47,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Temperature (°C),38.70,30.00,40.00,34.66,37.65,38.00,39.00,39.00,39.00,39.00,40.00,40.00,1.10,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Memory Utilization (%),48.45,0.00,52.00,44.00,45.00,46.00,46.00,51.00,51.00,52.00,52.00,52.00,4.95,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,SM Utilization (%),80.52,0.00,95.00,1.99,14.95,30.90,79.75,95.00,95.00,95.00,95.00,95.00,27.10,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Power Usage (W),53.00,52.99,53.05,52.99,52.99,52.99,52.99,52.99,52.99,53.05,53.05,53.05,0.02,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Memory Used (GB),0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
