Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,88.88,39.00,255.00,46.92,55.95,58.00,69.00,87.50,102.50,114.10,125.35,185.70,29.87
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12
HTTP Connection Overhead (ms),0.02,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.17
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),32.37,14.45,90.45,17.61,20.49,21.52,25.41,31.93,37.13,41.35,45.28,66.14,10.52
HTTP Data Sent (KB),360.63,283.05,502.40,283.11,283.13,283.16,318.32,332.07,374.86,502.28,502.35,502.39,83.64
HTTP DNS Lookup (ms),0.01,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06
HTTP Duration (excl. conn) (ms),485.32,235.21,1313.27,274.33,319.83,329.78,390.03,476.68,551.95,610.64,666.98,971.72,148.78
HTTP Receiving (ms),435.93,185.12,1261.04,225.38,269.19,280.84,340.03,428.69,502.34,561.36,619.70,917.76,148.72
HTTP Sending (ms),0.12,0.10,1.56,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.29,0.15
HTTP Total Time (ms),485.34,235.21,1313.27,274.33,319.83,329.78,390.03,476.68,551.95,610.64,666.98,971.72,148.77
HTTP Waiting (TTFB) (ms),49.28,42.89,53.87,45.87,46.46,47.15,48.17,49.23,50.28,52.13,52.49,52.89,1.82
Image Latency (ms/image),480.08,230.33,1313.13,269.24,314.65,324.54,384.33,471.33,546.48,605.05,661.75,966.52,149.08
Image Throughput (images/sec),2.25,0.76,4.34,1.04,1.51,1.65,1.83,2.12,2.60,3.08,3.18,3.72,0.60
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),4.85,0.00,7.62,0.00,4.46,4.63,4.87,4.99,5.09,5.26,5.41,5.62,0.83
Inter Token Latency (ms),4.78,4.60,5.28,4.62,4.66,4.67,4.74,4.79,4.82,4.85,4.87,4.95,0.08
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-64.56,-84.38,0.00,-80.89,-77.73,-76.56,-72.27,-65.04,-59.28,-54.65,-50.25,-27.07,11.66
Output Sequence Length (tokens),90.72,40.00,256.00,48.91,57.00,60.00,71.00,89.50,104.25,116.10,127.35,186.70,29.85
Output Token Count (tokens),90.72,40.00,256.00,48.91,57.00,60.00,71.00,89.50,104.25,116.10,127.35,186.70,29.85
Output Token Throughput Per User (tokens/sec/user),209.12,189.26,217.54,202.11,205.36,206.30,207.29,208.77,210.90,214.00,214.52,216.44,3.46
Prefill Throughput Per User (tokens/sec/user),18124.34,16569.13,20053.10,16873.81,16994.28,17120.08,17748.80,18127.72,18516.68,18922.37,19202.63,19442.95,649.47
Request Latency (ms),480.08,230.33,1313.13,269.24,314.65,324.54,384.33,471.33,546.48,605.05,661.75,966.52,149.08
Time to First Output Token (ms),49.44,44.63,54.02,46.03,46.61,47.30,48.33,49.37,50.43,52.28,52.66,53.04,1.77
Time to First Token (ms),49.44,44.63,54.02,46.03,46.61,47.30,48.33,49.37,50.43,52.28,52.66,53.04,1.77
Time to Second Token (ms),0.05,0.00,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.50
Usage Completion Tokens (tokens),90.72,40.00,256.00,48.91,57.00,60.00,71.00,89.50,104.25,116.10,127.35,186.70,29.85
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),985.72,935.00,1151.00,943.91,952.00,955.00,966.00,984.50,999.25,1011.10,1022.35,1081.70,29.85

Metric,Value
Benchmark Duration (sec),48.78
Maximum Response Timestamp (ns),1777346354689059328.00
Minimum Request Timestamp (ns),1777346305910262784.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),185.98
Request Count,100.00
Request Throughput (requests/sec),2.05
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9072.00
Total Output Tokens (tokens),9072.00
Total Token Throughput (tokens/sec),2020.80
Total Usage Completion Tokens (tokens),9072.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98572.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),209.77,71.19,288.44,145.59,204.88,205.64,205.92,207.69,208.74,217.11,247.92,282.59,21.24,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),94.57,0.00,100.00,27.20,88.00,90.00,91.00,100.00,100.00,100.00,100.00,100.00,12.65,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),40.47,31.00,42.00,34.96,38.60,39.20,40.00,41.00,41.00,41.00,41.00,42.00,1.31,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),48.56,0.00,52.00,13.76,45.00,46.00,46.00,51.00,52.00,52.00,52.00,52.00,6.63,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),80.38,0.00,95.00,1.96,15.80,32.20,80.00,95.00,95.00,95.00,95.00,95.00,26.94,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),55.08,54.86,55.16,54.86,54.86,55.04,55.10,55.10,55.10,55.10,55.10,55.16,0.07,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
