Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,60.96,48.00,64.00,48.00,52.95,58.90,61.75,62.00,62.00,63.00,63.00,64.00,3.14
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
HTTP Connection Overhead (ms),0.02,0.00,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),22.51,18.00,22.99,18.00,19.40,21.56,22.93,22.94,22.95,22.96,22.97,22.98,1.12
HTTP Data Sent (KB),358.54,282.89,502.49,283.06,283.10,283.14,283.29,318.64,374.81,502.32,502.39,502.48,84.92
HTTP DNS Lookup (ms),0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Duration (excl. conn) (ms),381.83,280.26,3812.32,280.95,320.12,340.14,349.40,350.48,351.68,355.80,357.50,416.20,345.14
HTTP Receiving (ms),297.36,230.59,333.93,231.17,269.50,290.13,299.90,301.07,302.97,304.84,306.43,314.66,15.73
HTTP Sending (ms),0.12,0.10,1.85,0.10,0.10,0.10,0.10,0.10,0.11,0.11,0.11,0.59,0.18
HTTP Total Time (ms),381.85,280.26,3813.83,280.95,320.12,340.14,349.40,350.48,351.68,355.80,357.50,416.21,345.29
HTTP Waiting (TTFB) (ms),84.35,46.54,3476.55,46.58,46.93,47.38,48.66,49.56,50.31,51.86,53.25,109.88,340.95
Image Latency (ms/image),380.76,275.21,3807.48,275.52,314.87,334.91,349.44,350.52,351.66,355.83,357.54,416.19,344.83
Image Throughput (images/sec),2.87,0.26,3.63,2.59,2.80,2.81,2.84,2.85,2.86,2.99,3.18,3.63,0.31
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),4.81,0.00,72.77,0.00,4.41,4.69,4.89,4.99,5.08,5.21,5.36,5.66,1.30
Inter Token Latency (ms),4.79,4.59,5.22,4.59,4.65,4.74,4.76,4.78,4.81,4.84,4.89,4.99,0.08
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.78,-21.88,0.00,-21.88,-9.69,-4.84,0.00,0.00,0.00,0.00,0.00,0.00,4.69
Output Sequence Length (tokens),62.86,50.00,64.00,50.00,57.80,60.90,64.00,64.00,64.00,64.00,64.00,64.00,3.00
Output Token Count (tokens),62.86,50.00,64.00,50.00,57.80,60.90,64.00,64.00,64.00,64.00,64.00,64.00,3.00
Output Token Throughput Per User (tokens/sec/user),208.96,191.57,217.71,200.25,204.62,206.60,207.84,209.25,210.03,211.19,214.97,217.67,3.22
Prefill Throughput Per User (tokens/sec/user),17714.54,257.29,19173.62,11656.14,16758.98,17205.18,17737.44,18006.64,18262.04,18833.88,19017.11,19157.62,2030.02
Request Latency (ms),380.76,275.21,3807.48,275.52,314.87,334.91,349.44,350.52,351.66,355.83,357.54,416.19,344.83
Time to First Output Token (ms),84.52,46.68,3478.62,46.72,47.06,47.52,49.01,49.70,50.46,52.02,53.40,110.06,341.14
Time to First Token (ms),84.52,46.68,3478.62,46.72,47.06,47.52,49.01,49.70,50.46,52.02,53.40,110.06,341.14
Time to Second Token (ms),0.13,0.00,4.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.15,0.74
Usage Completion Tokens (tokens),62.86,50.00,64.00,50.00,57.80,60.90,64.00,64.00,64.00,64.00,64.00,64.00,3.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),957.86,945.00,959.00,945.00,952.80,955.90,959.00,959.00,959.00,959.00,959.00,959.00,3.00

Metric,Value
Benchmark Duration (sec),38.41
Maximum Response Timestamp (ns),1777346184303983872.00
Minimum Request Timestamp (ns),1777346145890106880.00
OSL Mismatch Count,10.00
Output Token Throughput (tokens/sec),163.64
Request Count,100.00
Request Throughput (requests/sec),2.60
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6286.00
Total Output Tokens (tokens),6286.00
Total Token Throughput (tokens/sec),2493.53
Total Usage Completion Tokens (tokens),6286.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95786.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),187.90,70.90,245.80,70.90,70.90,121.21,204.88,206.69,209.01,215.90,224.08,243.00,46.04,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),82.57,0.00,100.00,0.00,0.00,67.00,86.00,88.00,99.00,100.00,100.00,100.00,28.17,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),39.24,31.00,42.00,31.00,31.00,34.00,39.00,40.00,41.00,41.00,41.00,42.00,2.95,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),42.10,0.00,52.00,0.00,0.00,30.00,44.00,45.00,51.00,51.00,52.00,52.00,14.44,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),64.96,0.00,92.00,0.00,0.00,1.00,36.00,92.00,92.00,92.00,92.00,92.00,35.02,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),56.44,54.86,100.87,54.86,54.86,54.92,55.10,55.10,55.10,55.10,55.16,100.87,7.81,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),28.18,28.00,31.00,28.00,28.00,28.00,28.00,28.00,28.00,29.00,29.00,31.00,0.59,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
