Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.24
HTTP Connection Overhead (ms),0.07,0.00,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61,0.33
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.70,0.62,0.78,0.62,0.67,0.67,0.69,0.70,0.71,0.72,0.73,0.74,0.02
HTTP Data Sent (KB),358.77,282.84,502.46,282.89,283.00,283.09,283.31,332.00,374.83,502.23,502.35,502.42,84.81
HTTP DNS Lookup (ms),0.02,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.09
HTTP Duration (excl. conn) (ms),389.55,318.95,465.60,322.57,359.81,374.05,386.60,391.12,393.22,398.11,409.22,465.13,20.59
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.10,2.09,0.10,0.10,0.10,0.10,0.11,0.12,0.13,0.17,1.53,0.30
HTTP Total Time (ms),389.61,318.95,467.17,322.57,359.80,374.04,386.59,391.11,393.21,398.10,409.21,466.51,20.81
HTTP Waiting (TTFB) (ms),389.37,318.85,464.05,322.45,359.67,373.94,386.44,391.00,393.10,397.98,409.04,463.75,20.39
Image Latency (ms/image),389.59,318.99,465.77,322.63,359.85,374.08,386.64,391.15,393.25,398.14,409.26,465.30,20.61
Image Throughput (images/sec),2.57,2.15,3.13,2.15,2.44,2.51,2.54,2.56,2.59,2.67,2.78,3.10,0.14
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.14,-23.44,0.00,-21.89,-9.38,-3.12,0.00,0.00,0.00,0.00,0.00,0.00,4.02
Output Sequence Length (tokens),63.27,49.00,64.00,49.99,58.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.57
Output Token Count (tokens),63.27,49.00,64.00,49.99,58.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.57
Request Latency (ms),389.59,318.99,465.77,322.63,359.85,374.08,386.64,391.15,393.25,398.14,409.26,465.30,20.61
Usage Completion Tokens (tokens),63.27,49.00,64.00,49.99,58.00,62.00,64.00,64.00,64.00,64.00,64.00,64.00,2.57
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.27,944.00,959.00,944.99,953.00,957.00,959.00,959.00,959.00,959.00,959.00,959.00,2.57

Metric,Value
Benchmark Duration (sec),9.82
Maximum Response Timestamp (ns),1776983376021432320.00
Minimum Request Timestamp (ns),1776983366198577408.00
OSL Mismatch Count,7.00
Output Token Throughput (tokens/sec),644.11
Request Count,100.00
Request Throughput (requests/sec),10.18
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6327.00
Total Output Tokens (tokens),6327.00
Total Token Throughput (tokens/sec),9755.51
Total Usage Completion Tokens (tokens),6327.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95827.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Power Usage (W),204.06,59.79,320.53,85.04,165.06,184.42,188.61,192.83,208.31,269.25,304.49,317.13,48.76,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Utilization (%),92.70,0.00,100.00,0.78,32.10,100.00,100.00,100.00,100.00,100.00,100.00,100.00,26.29,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Memory Used (GB),35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,35.31,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,GPU Temperature (°C),39.22,30.00,43.00,31.04,34.60,36.60,39.00,40.00,41.00,41.00,41.00,42.48,2.55,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Memory Utilization (%),47.04,0.00,54.00,0.26,15.10,48.00,48.00,51.00,52.00,53.40,54.00,54.00,13.57,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,SM Utilization (%),31.56,0.00,65.00,0.26,1.90,5.20,14.50,31.00,48.50,57.80,61.10,64.22,20.03,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-8f98febf-96b1-312a-7450-fdb649f7963c,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Power Usage (W),52.98,52.92,53.05,52.92,52.92,52.92,52.99,52.99,52.99,52.99,53.03,53.05,0.03,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Memory Used (GB),0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-f2e02daf-1c1d-02d0-042a-6d1ea2a1b5c2,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
