Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12
HTTP Connection Overhead (ms),0.02,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.17
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),1.03,0.81,1.66,0.82,0.87,0.89,0.93,1.02,1.08,1.14,1.21,1.64,0.15
HTTP Data Sent (KB),351.42,282.83,502.48,282.95,283.03,283.10,283.33,318.50,332.31,502.22,502.32,502.46,79.87
HTTP DNS Lookup (ms),0.01,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06
HTTP Duration (excl. conn) (ms),1589.59,867.99,3822.52,892.91,1075.45,1114.65,1273.65,1542.18,1731.43,1956.26,2340.96,3815.21,518.49
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.60,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.13,0.18,0.15
HTTP Total Time (ms),1589.59,867.99,3822.51,892.90,1075.44,1114.64,1273.64,1542.17,1731.42,1956.25,2340.96,3815.20,518.48
HTTP Waiting (TTFB) (ms),1589.45,867.88,3822.40,892.79,1075.32,1114.53,1273.53,1542.06,1731.31,1956.14,2340.85,3815.09,518.50
Image Latency (ms/image),1589.63,868.03,3822.56,892.95,1075.49,1114.70,1273.69,1542.21,1731.47,1956.30,2341.01,3815.25,518.49
Image Throughput (images/sec),0.68,0.26,1.15,0.26,0.43,0.51,0.58,0.65,0.79,0.90,0.93,1.12,0.17
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.91,-95.12,-77.25,-94.92,-94.05,-93.65,-92.77,-91.21,-90.04,-88.87,-86.98,-77.63,3.07
Output Sequence Length (tokens),93.07,50.00,233.00,51.98,60.95,65.00,74.00,90.00,102.00,114.00,133.35,229.04,31.45
Output Token Count (tokens),93.07,50.00,233.00,51.98,60.95,65.00,74.00,90.00,102.00,114.00,133.35,229.04,31.45
Request Latency (ms),1589.63,868.03,3822.56,892.95,1075.49,1114.70,1273.69,1542.21,1731.47,1956.30,2341.01,3815.25,518.49
Usage Completion Tokens (tokens),93.07,50.00,233.00,51.98,60.95,65.00,74.00,90.00,102.00,114.00,133.35,229.04,31.45
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),988.07,945.00,1128.00,946.98,955.95,960.00,969.00,985.00,997.00,1009.00,1028.35,1124.04,31.45

Metric,Value
Benchmark Duration (sec),159.11
Maximum Response Timestamp (ns),1777276183979926528.00
Minimum Request Timestamp (ns),1777276024872391680.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),58.50
Request Count,100.00
Request Throughput (requests/sec),0.63
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9307.00
Total Output Tokens (tokens),9307.00
Total Token Throughput (tokens/sec),621.01
Total Usage Completion Tokens (tokens),9307.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98807.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Power Usage (W),59.69,59.58,59.89,59.65,59.65,59.65,59.65,59.65,59.65,59.89,59.89,59.89,0.08,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Power Usage (W),85.95,58.92,176.36,67.02,81.14,81.66,82.90,83.94,85.46,88.69,90.73,157.48,11.79,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Utilization (%),36.21,0.00,44.00,28.00,33.00,34.00,35.00,37.00,38.00,38.00,38.00,41.00,2.85,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Temperature (°C),31.23,30.00,33.00,31.00,31.00,31.00,31.00,31.00,31.00,32.00,32.00,32.00,0.44,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Memory Utilization (%),15.37,0.00,18.00,12.00,13.70,14.00,15.00,16.00,16.00,16.00,16.00,17.00,1.25,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,SM Utilization (%),33.78,0.00,36.00,3.34,19.70,34.00,35.00,35.00,36.00,36.00,36.00,36.00,6.17,localhost
