Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,86.68,35.00,158.00,48.86,56.85,62.00,74.00,88.50,100.25,108.10,115.15,144.14,19.96
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10
HTTP Connection Overhead (ms),0.02,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),22.37,9.31,40.30,12.83,14.87,16.16,19.17,22.84,25.77,27.76,29.55,36.82,5.03
HTTP Data Sent (KB),357.12,282.98,502.51,283.00,283.08,283.13,283.42,332.12,332.40,502.33,502.41,502.49,83.62
HTTP DNS Lookup (ms),0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Duration (excl. conn) (ms),1455.82,631.43,2604.40,846.75,985.13,1064.42,1258.68,1477.03,1684.71,1803.01,1901.41,2380.29,318.20
HTTP Receiving (ms),1379.34,548.17,2531.25,770.17,900.02,981.42,1179.58,1405.51,1597.25,1726.02,1829.06,2307.44,320.61
HTTP Sending (ms),0.13,0.10,1.45,0.10,0.10,0.10,0.11,0.11,0.12,0.12,0.12,0.30,0.13
HTTP Total Time (ms),1455.84,631.43,2604.40,846.75,985.13,1064.42,1258.68,1477.03,1684.71,1803.01,1901.41,2380.29,318.17
HTTP Waiting (TTFB) (ms),76.35,68.30,127.89,68.62,69.12,70.21,71.51,73.30,80.14,84.06,85.71,125.53,8.93
Image Latency (ms/image),1438.84,615.11,2586.56,829.63,968.73,1048.16,1241.68,1460.16,1667.53,1784.84,1884.52,2363.37,318.14
Image Throughput (images/sec),0.73,0.39,1.63,0.42,0.53,0.56,0.60,0.68,0.81,0.95,1.03,1.21,0.18
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),16.09,14.31,18.96,15.44,15.60,15.70,15.85,16.03,16.24,16.53,16.79,17.55,0.39
Inter Token Latency (ms),15.89,15.64,16.38,15.73,15.77,15.79,15.81,15.88,15.93,16.00,16.03,16.36,0.11
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-91.54,-96.58,-84.57,-95.23,-94.45,-93.95,-92.77,-91.36,-90.21,-89.44,-88.75,-85.92,1.95
Output Sequence Length (tokens),86.68,35.00,158.00,48.86,56.85,62.00,74.00,88.50,100.25,108.10,115.15,144.14,19.96
Output Token Count (tokens),86.68,35.00,158.00,48.86,56.85,62.00,74.00,88.50,100.25,108.10,115.15,144.14,19.96
Output Token Throughput Per User (tokens/sec/user),62.93,61.04,63.93,61.11,62.37,62.50,62.76,62.99,63.23,63.34,63.39,63.56,0.44
Prefill Throughput Per User (tokens/sec/user),11813.23,6990.21,13075.58,7121.28,10423.27,10626.40,11146.06,12185.74,12489.36,12718.62,12922.45,13012.32,1040.06
Request Latency (ms),1438.84,615.11,2586.56,829.63,968.73,1048.16,1241.68,1460.16,1667.53,1784.84,1884.52,2363.37,318.14
Time to First Output Token (ms),76.53,68.45,128.04,68.78,69.26,70.37,71.66,73.45,80.30,84.22,85.87,125.68,8.94
Time to First Token (ms),76.53,68.45,128.04,68.78,69.26,70.37,71.66,73.45,80.30,84.22,85.87,125.68,8.94
Time to Second Token (ms),15.80,14.83,17.28,15.24,15.31,15.35,15.50,15.71,16.02,16.41,16.56,16.98,0.42
Usage Completion Tokens (tokens),86.68,35.00,158.00,48.86,56.85,62.00,74.00,88.50,100.25,108.10,115.15,144.14,19.96
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),981.68,930.00,1053.00,943.86,951.85,957.00,969.00,983.50,995.25,1003.10,1010.15,1039.14,19.96

Metric,Value
Benchmark Duration (sec),145.80
Maximum Response Timestamp (ns),1777348069699752192.00
Minimum Request Timestamp (ns),1777347923895250176.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),59.45
Request Count,100.00
Request Throughput (requests/sec),0.69
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),8668.00
Total Output Tokens (tokens),8668.00
Total Token Throughput (tokens/sec),673.29
Total Usage Completion Tokens (tokens),8668.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98168.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.59,71.27,103.60,71.34,71.42,71.42,71.42,71.42,71.42,71.42,71.42,71.63,2.21,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),32.58,32.00,35.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,0.52,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),101.85,74.17,188.71,78.28,97.00,97.77,98.17,99.22,101.92,108.71,114.04,144.14,10.41,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),37.38,0.00,44.00,30.96,34.80,36.00,37.00,38.00,38.00,39.00,39.00,42.04,3.12,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),32.71,31.00,36.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,34.04,0.59,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),15.65,0.00,18.00,13.00,14.00,15.00,16.00,16.00,16.00,16.00,16.00,17.00,1.33,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),34.63,0.00,37.00,2.96,17.80,36.00,36.00,36.00,37.00,37.00,37.00,37.00,6.63,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
