Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.22
HTTP Connection Overhead (ms),0.06,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.31
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.08,0.82,5.04,0.84,0.88,0.89,0.91,1.00,1.09,1.17,1.21,4.36,0.53
HTTP Data Sent (KB),375.33,282.90,502.36,282.90,283.09,283.12,318.18,332.10,502.18,502.28,502.32,502.35,92.67
HTTP DNS Lookup (ms),0.02,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.10
HTTP Duration (excl. conn) (ms),1881.33,969.83,17461.88,992.46,1091.58,1119.10,1274.01,1540.68,1813.65,2098.74,2303.55,17382.55,2260.51
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.18,0.10,1.61,0.10,0.11,0.11,0.11,0.12,0.13,0.15,0.19,1.57,0.28
HTTP Total Time (ms),1881.38,969.82,17461.87,992.45,1091.57,1119.09,1274.00,1540.67,1813.64,2098.73,2303.62,17382.54,2260.51
HTTP Waiting (TTFB) (ms),1881.14,969.71,17461.76,992.31,1091.45,1118.97,1273.85,1540.55,1813.52,2098.61,2303.28,17382.41,2260.52
Image Latency (ms/image),1881.38,969.87,17461.92,992.50,1091.62,1119.14,1274.06,1540.72,1813.70,2098.80,2303.62,17382.59,2260.51
Image Throughput (images/sec),0.67,0.06,1.03,0.06,0.43,0.48,0.55,0.65,0.78,0.89,0.92,1.01,0.18
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-89.59,-94.82,0.00,-94.82,-94.05,-93.95,-93.07,-91.50,-89.99,-88.53,-87.29,0.00,13.03
Output Sequence Length (tokens),106.61,53.00,1024.00,53.00,60.90,62.00,71.00,87.00,102.50,117.50,130.10,1024.00,133.40
Output Token Count (tokens),106.61,53.00,1024.00,53.00,60.90,62.00,71.00,87.00,102.50,117.50,130.10,1024.00,133.40
Request Latency (ms),1881.38,969.87,17461.92,992.50,1091.62,1119.14,1274.06,1540.72,1813.70,2098.80,2303.62,17382.59,2260.51
Usage Completion Tokens (tokens),106.61,53.00,1024.00,53.00,60.90,62.00,71.00,87.00,102.50,117.50,130.10,1024.00,133.40
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1001.61,948.00,1919.00,948.00,955.90,957.00,966.00,982.00,997.50,1012.50,1025.10,1919.00,133.40

Metric,Value
Benchmark Duration (sec),47.31
Maximum Response Timestamp (ns),1777059508906684928.00
Minimum Request Timestamp (ns),1777059461600740864.00
OSL Mismatch Count,98.00
Output Token Throughput (tokens/sec),225.36
Request Count,100.00
Request Throughput (requests/sec),2.11
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10661.00
Total Output Tokens (tokens),10661.00
Total Token Throughput (tokens/sec),2117.30
Total Usage Completion Tokens (tokens),10661.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),100161.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),71.16,70.74,71.79,70.74,70.94,70.98,70.98,70.98,71.45,71.51,71.79,71.79,0.29,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.82,33.00,34.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,0.39,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),144.06,72.03,297.13,126.42,130.03,132.62,133.65,134.74,136.69,158.91,223.90,290.07,32.94,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),38.15,0.00,68.00,32.58,34.45,35.00,36.00,37.00,41.00,42.00,45.55,49.84,5.36,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),36.20,31.00,39.00,33.29,35.00,36.00,36.00,36.00,37.00,37.00,37.00,38.00,0.87,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),16.21,0.00,21.00,14.29,15.00,15.90,16.00,16.00,17.00,17.00,18.00,19.00,1.69,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,SM Utilization (%),31.40,0.00,38.00,0.29,5.45,11.90,30.25,37.00,37.00,38.00,38.00,38.00,10.74,localhost
