Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,93.64,38.00,256.00,49.88,59.80,61.90,73.50,90.00,107.50,118.30,127.35,256.00,34.81
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,1.09,1.20,1.26,0.42
HTTP Connection Overhead (ms),0.26,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00,1.59,1.73,1.80,0.61
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),24.12,10.07,64.94,13.08,15.58,16.11,19.02,23.21,27.62,30.31,32.63,64.89,8.77
HTTP Data Sent (KB),371.10,283.01,502.48,283.01,283.08,283.13,318.39,332.21,502.19,502.31,502.37,502.46,87.43
HTTP DNS Lookup (ms),0.08,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.53,0.56,0.19
HTTP Duration (excl. conn) (ms),1835.42,791.97,4794.42,993.30,1148.96,1214.13,1484.57,1747.48,2044.06,2422.08,2777.13,4492.23,643.43
HTTP Receiving (ms),1677.27,685.19,4703.17,903.98,1064.47,1096.06,1327.74,1619.89,1913.11,2082.22,2332.25,4404.05,618.86
HTTP Sending (ms),0.38,0.11,1.79,0.11,0.12,0.13,0.13,0.15,0.19,1.52,1.63,1.70,0.52
HTTP Total Time (ms),1835.69,791.97,4794.42,993.30,1148.96,1214.13,1484.57,1748.34,2044.06,2423.78,2778.61,4492.23,643.62
HTTP Waiting (TTFB) (ms),157.78,78.83,574.04,80.46,85.60,86.35,88.54,103.17,123.84,449.27,518.51,573.34,139.39
Image Latency (ms/image),1817.10,773.50,4794.49,974.77,1122.30,1194.39,1466.58,1728.41,2026.82,2402.93,2757.99,4473.61,645.15
Image Throughput (images/sec),0.60,0.21,1.29,0.22,0.36,0.42,0.49,0.58,0.68,0.84,0.89,1.03,0.18
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),18.09,0.00,66.85,9.84,14.19,16.40,17.18,17.95,18.65,19.85,23.12,27.19,2.98
Inter Token Latency (ms),17.89,16.44,18.44,16.83,17.11,17.36,17.68,18.01,18.19,18.27,18.32,18.44,0.40
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-63.37,-85.16,0.00,-80.52,-76.64,-75.82,-71.19,-64.84,-58.01,-53.79,-50.20,0.00,13.64
Output Sequence Length (tokens),93.78,38.00,256.00,49.88,59.80,61.90,73.75,90.00,107.50,118.30,127.50,256.00,34.92
Output Token Count (tokens),93.78,38.00,256.00,49.88,59.80,61.90,73.75,90.00,107.50,118.30,127.50,256.00,34.92
Output Token Throughput Per User (tokens/sec/user),55.93,54.22,60.83,54.22,54.60,54.72,54.98,55.53,56.56,57.62,58.46,59.41,1.27
Prefill Throughput Per User (tokens/sec/user),8049.21,1554.16,11328.12,1556.68,1720.10,1984.63,7214.82,8658.60,10086.83,10341.26,10432.05,11095.66,2873.03
Request Latency (ms),1817.10,773.50,4794.49,974.77,1122.30,1194.39,1466.58,1728.41,2026.82,2402.93,2757.99,4473.61,645.15
Time to First Output Token (ms),158.24,79.01,575.87,80.66,85.79,86.55,88.73,103.37,124.05,451.01,520.32,574.94,139.96
Time to First Token (ms),158.24,79.01,575.87,80.66,85.79,86.55,88.73,103.37,124.05,451.01,520.32,574.94,139.96
Time to Second Token (ms),19.78,10.90,66.85,14.15,16.47,16.84,17.42,18.16,18.94,25.72,27.37,32.31,5.98
Usage Completion Tokens (tokens),93.78,38.00,256.00,49.88,59.80,61.90,73.75,90.00,107.50,118.30,127.50,256.00,34.92
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),988.78,933.00,1151.00,944.88,954.80,956.90,968.75,985.00,1002.50,1013.30,1022.50,1151.00,34.92

Metric,Value
Benchmark Duration (sec),14.62
Maximum Response Timestamp (ns),1777347877920329984.00
Minimum Request Timestamp (ns),1777347863295473664.00
OSL Mismatch Count,98.00
Output Token Throughput (tokens/sec),641.24
Request Count,100.00
Request Throughput (requests/sec),6.84
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9378.00
Total Output Tokens (tokens),9378.00
Total Token Throughput (tokens/sec),6760.96
Total Usage Completion Tokens (tokens),9378.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98878.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.55,71.25,71.71,71.25,71.33,71.34,71.42,71.62,71.71,71.71,71.71,71.71,0.16,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),32.83,32.00,33.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,33.00,0.38,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),167.33,72.88,378.66,85.99,110.06,114.60,138.76,141.66,180.24,262.25,308.44,362.26,64.35,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),40.52,0.00,85.00,1.95,32.55,34.00,35.00,37.50,46.25,53.00,55.20,74.86,13.15,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),37.00,31.00,41.00,31.78,33.95,34.00,35.75,37.00,38.00,40.00,40.05,41.00,2.20,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),17.10,0.00,24.00,0.78,15.30,16.00,16.00,17.00,19.00,20.00,22.05,23.61,4.28,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),21.18,0.00,42.00,0.00,1.90,3.90,10.50,21.50,32.25,38.10,40.05,41.61,12.90,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),55.46,55.36,55.49,55.39,55.43,55.43,55.43,55.43,55.49,55.49,55.49,55.49,0.04,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.14,55.95,56.18,55.95,55.95,55.95,56.12,56.18,56.18,56.18,56.18,56.18,0.08,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
