Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,93.80,51.00,256.00,55.95,59.00,62.00,71.75,89.50,106.50,121.10,136.15,255.01,35.94
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.22
HTTP Connection Overhead (ms),0.07,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.66,0.33
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),24.16,13.37,64.98,14.60,15.38,16.13,18.60,23.09,27.35,31.05,34.85,64.67,9.04
HTTP Data Sent (KB),357.66,283.00,502.54,283.01,283.07,283.12,283.20,318.50,502.17,502.35,502.36,502.44,87.59
HTTP DNS Lookup (ms),0.02,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.10
HTTP Duration (excl. conn) (ms),1653.01,929.15,4375.84,1011.18,1062.99,1107.17,1313.37,1592.16,1872.97,2112.11,2335.61,4338.82,602.63
HTTP Receiving (ms),1563.93,842.76,4293.41,925.42,977.08,1019.54,1185.41,1498.40,1788.55,2026.09,2253.16,4257.25,603.77
HTTP Sending (ms),0.18,0.09,1.65,0.10,0.10,0.10,0.11,0.12,0.13,0.14,0.16,1.57,0.28
HTTP Total Time (ms),1653.07,929.15,4375.84,1011.18,1062.99,1107.17,1313.37,1592.16,1872.97,2112.11,2335.61,4338.82,602.62
HTTP Waiting (TTFB) (ms),88.90,78.23,210.67,78.72,80.63,81.23,82.12,83.23,85.67,97.22,103.98,190.08,21.33
Image Latency (ms/image),1635.56,911.79,4375.88,993.45,1044.81,1089.87,1296.13,1573.84,1855.42,2094.06,2318.19,4321.29,603.49
Image Throughput (images/sec),0.67,0.23,1.10,0.23,0.43,0.48,0.54,0.64,0.77,0.92,0.96,1.01,0.18
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),16.84,9.83,26.11,12.36,16.04,16.23,16.45,16.75,17.07,17.55,18.03,22.64,1.19
Inter Token Latency (ms),16.65,16.23,17.20,16.36,16.45,16.50,16.54,16.64,16.72,16.83,16.89,17.17,0.15
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-63.36,-80.08,0.00,-78.14,-76.95,-75.78,-71.97,-65.04,-58.40,-52.70,-46.82,-0.39,14.04
Output Sequence Length (tokens),93.80,51.00,256.00,55.95,59.00,62.00,71.75,89.50,106.50,121.10,136.15,255.01,35.94
Output Token Count (tokens),93.80,51.00,256.00,55.95,59.00,62.00,71.75,89.50,106.50,121.10,136.15,255.01,35.94
Output Token Throughput Per User (tokens/sec/user),60.07,58.14,61.61,58.25,59.21,59.43,59.80,60.11,60.47,60.61,60.78,61.12,0.54
Prefill Throughput Per User (tokens/sec/user),10344.99,4212.67,11418.32,4663.20,8590.34,9188.37,10426.79,10733.82,10873.77,10997.06,11078.09,11344.59,1280.94
Request Latency (ms),1635.56,911.79,4375.88,993.45,1044.81,1089.87,1296.13,1573.84,1855.42,2094.06,2318.19,4321.29,603.49
Time to First Output Token (ms),89.13,78.38,212.45,78.89,80.79,81.39,82.31,83.38,85.84,97.41,104.19,191.95,21.63
Time to First Token (ms),89.13,78.38,212.45,78.89,80.79,81.39,82.31,83.38,85.84,97.41,104.19,191.95,21.63
Time to Second Token (ms),16.66,10.59,24.03,11.17,15.73,16.07,16.32,16.55,16.89,17.38,18.17,20.62,1.33
Usage Completion Tokens (tokens),93.80,51.00,256.00,55.95,59.00,62.00,71.75,89.50,106.50,121.10,136.15,255.01,35.94
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),988.80,946.00,1151.00,950.95,954.00,957.00,966.75,984.50,1001.50,1016.10,1031.15,1150.01,35.94

Metric,Value
Benchmark Duration (sec),41.88
Maximum Response Timestamp (ns),1777347802443415296.00
Minimum Request Timestamp (ns),1777347760564306688.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),223.98
Request Count,100.00
Request Throughput (requests/sec),2.39
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9380.00
Total Output Tokens (tokens),9380.00
Total Token Throughput (tokens/sec),2361.08
Total Usage Completion Tokens (tokens),9380.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98880.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.49,71.10,71.71,71.19,71.34,71.34,71.42,71.42,71.62,71.71,71.71,71.71,0.15,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),32.87,32.00,33.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,33.00,0.34,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),147.49,72.88,299.30,129.27,133.50,134.10,134.62,136.67,138.43,168.64,248.10,293.31,35.81,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),37.64,0.00,52.00,4.90,35.00,36.00,36.00,36.00,41.00,42.00,45.30,46.86,6.02,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),35.95,31.00,39.00,33.00,35.00,35.00,36.00,36.00,36.00,37.00,37.00,38.00,0.94,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),16.16,0.00,19.00,2.10,16.00,16.00,16.00,16.00,17.00,17.00,18.00,18.86,2.27,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),30.75,0.00,38.00,0.14,4.70,10.40,27.50,37.00,38.00,38.00,38.00,38.00,11.32,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
