Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,56.79,18.00,64.00,25.92,32.00,32.00,61.75,63.00,64.00,64.00,64.00,64.00,12.74
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.80,0.00,35.24,0.00,0.00,0.00,0.00,0.00,1.33,1.50,1.63,2.17,3.53
HTTP Connection Overhead (ms),1.01,0.00,35.95,0.00,0.00,0.00,0.00,0.00,1.92,2.21,2.47,2.87,3.64
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),14.87,5.23,16.69,7.18,8.74,8.76,16.09,16.41,16.64,16.66,16.67,16.68,3.15
HTTP Data Sent (KB),356.48,282.90,502.39,282.97,283.05,283.11,309.49,318.49,332.40,502.29,502.32,502.36,83.73
HTTP DNS Lookup (ms),0.21,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.56,0.73,0.76,0.87,0.32
HTTP Duration (excl. conn) (ms),1532.48,884.17,2536.77,1163.28,1250.56,1269.56,1306.57,1371.62,1611.72,2424.86,2462.46,2517.94,386.73
HTTP Receiving (ms),1157.57,525.98,1262.65,665.17,933.78,1098.34,1159.13,1192.51,1208.96,1231.09,1243.33,1262.43,125.42
HTTP Sending (ms),1.06,0.10,35.73,0.11,0.12,0.13,0.14,0.18,1.76,2.02,2.16,2.78,3.58
HTTP Total Time (ms),1533.49,884.17,2538.28,1163.28,1250.56,1269.56,1306.57,1371.62,1613.78,2429.38,2464.94,2520.21,388.29
HTTP Waiting (TTFB) (ms),373.85,87.79,1326.20,89.58,91.58,96.98,157.96,191.06,376.86,1202.35,1246.09,1308.75,390.11
Image Latency (ms/image),1530.50,868.05,2536.99,1143.15,1243.73,1268.75,1306.63,1367.75,1611.75,2424.27,2462.68,2518.18,386.44
Image Throughput (images/sec),0.69,0.39,1.15,0.40,0.41,0.41,0.62,0.73,0.77,0.79,0.80,0.88,0.13
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),20.75,0.73,523.18,1.94,12.71,15.98,17.21,18.01,19.62,26.64,33.00,46.11,26.84
Inter Token Latency (ms),18.54,9.30,20.04,10.57,17.23,17.68,18.62,18.93,19.21,19.54,19.73,20.04,1.79
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.09,-34.38,0.00,-22.00,-6.33,-1.56,0.00,0.00,0.00,0.00,0.00,0.00,4.55
Output Sequence Length (tokens),63.30,42.00,64.00,49.92,59.95,63.00,64.00,64.00,64.00,64.00,64.00,64.00,2.91
Output Token Count (tokens),63.30,42.00,64.00,49.92,59.95,63.00,64.00,64.00,64.00,64.00,64.00,64.00,2.91
Output Token Throughput Per User (tokens/sec/user),54.80,49.90,107.56,49.90,50.67,51.18,52.05,52.83,53.69,56.56,58.05,94.65,8.90
Prefill Throughput Per User (tokens/sec/user),4598.37,673.96,10172.44,682.63,717.06,742.99,2360.72,4679.48,5666.54,9211.66,9750.95,9969.96,2706.96
Request Latency (ms),1530.50,868.05,2536.99,1143.15,1243.73,1268.75,1306.63,1367.75,1611.75,2424.27,2462.68,2518.18,386.44
Time to First Output Token (ms),375.03,87.98,1327.97,89.77,91.79,97.16,158.20,191.26,379.24,1204.59,1248.18,1311.10,391.54
Time to First Token (ms),375.03,87.98,1327.97,89.77,91.79,97.16,158.20,191.26,379.24,1204.59,1248.18,1311.10,391.54
Time to Second Token (ms),21.81,1.45,48.35,1.63,2.29,11.12,16.58,19.52,26.58,37.54,44.45,46.10,10.60
Usage Completion Tokens (tokens),63.30,42.00,64.00,49.92,59.95,63.00,64.00,64.00,64.00,64.00,64.00,64.00,2.91
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.30,937.00,959.00,944.92,954.95,958.00,959.00,959.00,959.00,959.00,959.00,959.00,2.91

Metric,Value
Benchmark Duration (sec),5.32
Maximum Response Timestamp (ns),1777347561614656512.00
Minimum Request Timestamp (ns),1777347556296518912.00
OSL Mismatch Count,6.00
Output Token Throughput (tokens/sec),1190.27
Request Count,100.00
Request Throughput (requests/sec),18.80
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6330.00
Total Output Tokens (tokens),6330.00
Total Token Throughput (tokens/sec),18019.47
Total Usage Completion Tokens (tokens),6330.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95830.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.42,71.34,71.71,71.34,71.34,71.34,71.34,71.42,71.42,71.59,71.65,71.70,0.11,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),32.47,32.00,33.00,32.00,32.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,0.52,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),211.68,72.88,394.72,82.74,122.17,143.93,147.05,152.56,266.06,386.04,389.00,393.58,104.10,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),54.60,0.00,90.00,4.90,24.50,35.40,37.50,56.00,71.50,83.40,87.90,89.58,24.26,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),38.73,31.00,46.00,31.56,33.80,35.00,36.50,39.00,40.50,42.60,43.90,45.58,3.67,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),21.73,0.00,32.00,1.54,7.70,13.40,17.50,24.00,27.00,29.20,30.60,31.72,8.28,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),9.87,0.00,20.00,0.00,0.00,0.80,4.00,10.00,15.50,18.60,19.30,19.86,6.99,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
