Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.17,0.31
HTTP Connection Overhead (ms),0.13,0.00,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.68,0.45
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),0.89,0.74,0.92,0.81,0.85,0.87,0.88,0.89,0.90,0.91,0.91,0.92,0.02
HTTP Data Sent (KB),362.88,282.95,502.46,283.03,283.09,283.12,318.35,332.09,501.96,502.25,502.30,502.40,84.31
HTTP DNS Lookup (ms),0.04,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.54,0.14
HTTP Duration (excl. conn) (ms),1183.35,953.70,1460.86,999.11,1101.29,1136.85,1151.81,1173.83,1196.01,1232.69,1402.82,1440.11,80.56
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.24,0.09,1.67,0.10,0.10,0.10,0.11,0.12,0.13,0.20,1.50,1.60,0.38
HTTP Total Time (ms),1183.47,953.69,1462.50,999.09,1101.28,1136.84,1151.80,1173.82,1196.00,1232.68,1404.32,1441.93,80.87
HTTP Waiting (TTFB) (ms),1183.10,953.54,1459.27,998.89,1101.18,1136.72,1151.69,1173.69,1195.88,1232.55,1401.32,1438.40,80.28
Image Latency (ms/image),1183.41,953.76,1461.04,999.16,1101.33,1136.89,1151.85,1173.87,1196.05,1232.74,1402.99,1440.29,80.58
Image Throughput (images/sec),0.85,0.68,1.05,0.69,0.71,0.81,0.84,0.85,0.87,0.88,0.91,1.00,0.06
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.36,-37.50,0.00,-23.58,-8.05,-0.31,0.00,0.00,0.00,0.00,0.00,0.00,5.31
Output Sequence Length (tokens),63.13,40.00,64.00,48.91,58.85,63.80,64.00,64.00,64.00,64.00,64.00,64.00,3.40
Output Token Count (tokens),63.13,40.00,64.00,48.91,58.85,63.80,64.00,64.00,64.00,64.00,64.00,64.00,3.40
Request Latency (ms),1183.41,953.76,1461.04,999.16,1101.33,1136.89,1151.85,1173.87,1196.05,1232.74,1402.99,1440.29,80.58
Usage Completion Tokens (tokens),63.13,40.00,64.00,48.91,58.85,63.80,64.00,64.00,64.00,64.00,64.00,64.00,3.40
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.13,935.00,959.00,943.91,953.85,958.80,959.00,959.00,959.00,959.00,959.00,959.00,3.40

Metric,Value
Benchmark Duration (sec),15.30
Maximum Response Timestamp (ns),1777058850806158848.00
Minimum Request Timestamp (ns),1777058835502727680.00
OSL Mismatch Count,7.00
Output Token Throughput (tokens/sec),412.52
Request Count,100.00
Request Throughput (requests/sec),6.53
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6313.00
Total Output Tokens (tokens),6313.00
Total Token Throughput (tokens/sec),6260.88
Total Usage Completion Tokens (tokens),6313.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95813.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),71.17,70.74,71.79,70.78,70.90,70.98,70.98,70.98,71.27,71.78,71.79,71.79,0.32,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.67,33.00,34.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,0.48,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),166.71,72.03,356.23,96.04,130.85,131.41,133.41,135.34,178.59,275.95,291.66,333.27,62.49,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),42.24,0.00,62.00,14.35,35.00,35.10,36.00,41.00,50.00,54.80,57.00,60.36,10.26,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),36.98,32.00,40.00,32.82,35.05,36.00,36.00,37.00,38.00,38.90,39.95,40.00,1.49,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),17.52,0.00,24.00,5.33,16.00,16.00,16.00,17.00,19.00,21.00,22.00,23.59,3.60,localhost
