Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,96.88,10.00,978.00,43.66,56.00,61.00,69.00,84.00,96.00,105.40,170.75,281.04,96.68
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,1.44,0.00,0.00,0.00,0.00,0.00,0.00,1.16,1.21,1.33,0.44
HTTP Connection Overhead (ms),0.28,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.79,1.95,0.64
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),24.96,3.05,246.76,11.54,14.64,15.91,17.93,21.71,24.74,27.10,43.52,71.20,24.34
HTTP Data Sent (KB),363.45,282.94,502.47,282.95,283.08,283.14,318.31,332.20,502.04,502.31,502.36,502.45,84.08
HTTP DNS Lookup (ms),0.09,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.55,0.62,0.20
HTTP Duration (excl. conn) (ms),808.17,143.12,6651.91,410.03,459.22,475.81,598.79,690.97,830.01,986.83,1132.20,2479.35,668.79
HTTP Receiving (ms),656.82,58.47,6358.25,289.51,333.18,373.61,466.23,562.74,659.45,750.19,1003.12,1991.57,637.70
HTTP Sending (ms),0.38,0.10,1.97,0.10,0.11,0.11,0.12,0.13,0.17,1.59,1.65,1.86,0.56
HTTP Total Time (ms),808.45,143.12,6653.65,410.03,459.22,475.81,598.79,690.97,830.01,988.63,1133.85,2481.17,669.07
HTTP Waiting (TTFB) (ms),150.98,58.81,538.56,62.02,64.22,66.06,74.94,97.00,142.00,404.66,487.98,538.32,128.02
Image Latency (ms/image),800.59,137.42,6652.10,399.51,453.63,472.76,592.12,683.46,824.35,974.41,1127.02,2460.51,669.39
Image Throughput (images/sec),1.53,0.15,7.28,0.41,0.89,1.03,1.21,1.46,1.69,2.12,2.20,2.53,0.72
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),6.83,0.00,64.04,0.70,1.66,3.13,4.73,5.08,5.70,16.35,19.48,26.03,5.64
Inter Token Latency (ms),6.40,4.96,7.55,4.96,5.21,5.46,6.18,6.52,6.77,7.01,7.21,7.54,0.58
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-90.02,-99.02,0.00,-95.25,-94.44,-93.95,-92.90,-91.26,-90.14,-88.93,-82.39,-70.96,9.90
Output Sequence Length (tokens),102.15,10.00,1024.00,48.61,56.95,62.00,72.75,89.50,101.00,113.40,180.30,297.34,101.42
Output Token Count (tokens),102.15,10.00,1024.00,48.61,56.95,62.00,72.75,89.50,101.00,113.40,180.30,297.34,101.42
Output Token Throughput Per User (tokens/sec/user),157.54,132.41,201.64,132.71,138.77,142.59,147.76,153.40,161.95,183.25,192.11,201.51,15.36
Prefill Throughput Per User (tokens/sec/user),8738.37,1656.27,15170.57,1656.68,1826.74,2199.62,6295.90,9211.28,11913.66,13509.58,13897.87,14389.38,3890.65
Request Latency (ms),800.59,137.42,6652.10,399.51,453.63,472.76,592.12,683.46,824.35,974.41,1127.02,2460.51,669.39
Time to First Output Token (ms),151.44,59.00,540.37,62.20,64.40,66.25,75.12,97.16,142.16,406.89,489.94,540.24,128.60
Time to First Token (ms),151.44,59.00,540.37,62.20,64.40,66.25,75.12,97.16,142.16,406.89,489.94,540.24,128.60
Time to Second Token (ms),10.46,0.00,64.01,0.00,0.55,0.73,2.61,4.96,18.14,23.13,31.08,63.97,11.65
Usage Completion Tokens (tokens),102.15,10.00,1024.00,48.61,56.95,62.00,72.75,89.50,101.00,113.40,180.30,297.34,101.42
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),997.15,905.00,1919.00,943.61,951.95,957.00,967.75,984.50,996.00,1008.40,1075.30,1192.34,101.42

Metric,Value
Benchmark Duration (sec),6.65
Maximum Response Timestamp (ns),1777354393339286272.00
Minimum Request Timestamp (ns),1777354386687056384.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),1535.58
Request Count,100.00
Request Throughput (requests/sec),15.03
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10215.00
Total Output Tokens (tokens),10215.00
Total Token Throughput (tokens/sec),14989.71
Total Usage Completion Tokens (tokens),10215.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99715.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.68,71.42,71.94,71.42,71.42,71.42,71.58,71.62,71.94,71.94,71.94,71.94,0.20,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),33.47,33.00,34.00,33.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,34.00,0.51,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),267.64,74.50,438.70,97.59,189.96,205.88,221.41,238.18,333.76,358.02,402.54,431.47,83.73,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),90.79,0.00,100.00,4.50,22.50,85.00,100.00,100.00,100.00,100.00,100.00,100.00,27.90,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),42.42,32.00,47.00,32.72,35.60,38.40,41.00,44.00,45.00,46.00,46.10,46.82,3.79,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),45.58,0.00,59.00,1.26,6.30,26.20,48.00,51.00,52.00,56.20,57.20,58.64,15.91,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),20.32,0.00,43.00,0.00,0.00,2.40,9.00,21.00,31.50,38.40,40.30,42.46,13.92,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),72.91,72.77,73.06,72.77,72.77,72.77,72.77,72.86,73.06,73.06,73.06,73.06,0.13,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.18,56.12,56.25,56.12,56.12,56.17,56.18,56.18,56.18,56.18,56.19,56.24,0.03,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
