Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.75,0.00,30.93,0.00,0.00,0.00,0.00,0.00,1.36,1.46,1.48,1.96,3.10
HTTP Connection Overhead (ms),0.95,0.00,31.51,0.00,0.00,0.00,0.00,0.00,1.97,2.12,2.19,2.57,3.21
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.09,0.81,4.91,0.84,0.89,0.90,0.96,1.03,1.10,1.18,1.20,2.09,0.43
HTTP Data Sent (KB),359.63,282.93,502.39,282.94,283.05,283.12,318.22,318.57,374.80,502.26,502.31,502.36,84.05
HTTP DNS Lookup (ms),0.20,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.56,0.68,0.71,0.76,0.30
HTTP Duration (excl. conn) (ms),4157.41,1695.89,19665.46,1715.43,2193.96,2432.93,3094.85,3783.68,4921.22,5713.94,6261.26,9409.07,2063.31
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.01,0.12,31.38,0.12,0.13,0.14,0.15,0.18,1.79,1.94,2.01,2.49,3.16
HTTP Total Time (ms),4158.34,1695.88,19665.45,1715.41,2193.95,2432.93,3094.84,3783.67,4923.11,5715.89,6263.18,9411.24,2063.87
HTTP Waiting (TTFB) (ms),4156.38,1695.69,19665.20,1715.23,2193.78,2432.79,3094.67,3783.50,4919.43,5712.07,6259.31,9406.96,2062.78
Image Latency (ms/image),4157.51,1695.95,19665.53,1715.48,2194.02,2432.98,3094.90,3783.73,4921.40,5714.12,6261.47,9409.31,2063.34
Image Throughput (images/sec),0.28,0.05,0.59,0.11,0.16,0.18,0.20,0.26,0.32,0.41,0.46,0.58,0.10
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-89.61,-95.31,0.00,-94.93,-93.95,-93.56,-92.46,-90.82,-89.72,-88.34,-87.09,-71.06,9.67
Output Sequence Length (tokens),106.41,48.00,1024.00,51.96,62.00,65.90,77.25,94.00,105.25,119.40,132.15,296.35,99.05
Output Token Count (tokens),106.41,48.00,1024.00,51.96,62.00,65.90,77.25,94.00,105.25,119.40,132.15,296.35,99.05
Request Latency (ms),4157.51,1695.95,19665.53,1715.48,2194.02,2432.98,3094.90,3783.73,4921.40,5714.12,6261.47,9409.31,2063.34
Usage Completion Tokens (tokens),106.41,48.00,1024.00,51.96,62.00,65.90,77.25,94.00,105.25,119.40,132.15,296.35,99.05
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1001.41,943.00,1919.00,946.96,957.00,960.90,972.25,989.00,1000.25,1014.40,1027.15,1191.35,99.05

Metric,Value
Benchmark Duration (sec),24.59
Maximum Response Timestamp (ns),1777336923375987200.00
Minimum Request Timestamp (ns),1777336898784358656.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),432.71
Request Count,100.00
Request Throughput (requests/sec),4.07
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),10641.00
Total Output Tokens (tokens),10641.00
Total Token Throughput (tokens/sec),4072.16
Total Usage Completion Tokens (tokens),10641.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),100141.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.44,50.29,50.53,50.33,50.35,50.41,50.41,50.47,50.47,50.53,50.53,50.53,0.05,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.38,72.30,72.47,72.30,72.30,72.30,72.30,72.39,72.39,72.47,72.47,72.47,0.06,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
