Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,1.17,0.30
HTTP Connection Overhead (ms),0.13,0.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.70,0.44
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),1.12,0.81,5.43,0.82,0.85,0.87,0.91,1.00,1.07,1.14,1.23,4.77,0.69
HTTP Data Sent (KB),366.98,282.92,502.42,282.95,283.05,283.09,318.26,332.05,502.13,502.27,502.31,502.41,88.07
HTTP DNS Lookup (ms),0.04,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.54,0.14
HTTP Duration (excl. conn) (ms),2453.30,1253.03,19301.47,1256.88,1327.05,1379.70,1601.15,1904.61,2254.48,2663.37,3166.85,18822.82,2898.11
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.24,0.11,1.60,0.11,0.11,0.11,0.12,0.13,0.14,0.19,1.54,1.60,0.38
HTTP Total Time (ms),2453.42,1253.02,19301.46,1256.87,1327.04,1379.69,1601.14,1904.60,2254.47,2663.52,3168.43,18822.81,2898.12
HTTP Waiting (TTFB) (ms),2453.05,1252.91,19301.35,1256.73,1326.90,1379.55,1601.03,1904.48,2254.34,2663.10,3165.29,18822.66,2898.10
Image Latency (ms/image),2453.36,1253.07,19301.52,1256.93,1327.09,1379.74,1601.19,1904.65,2254.52,2663.43,3167.04,18822.88,2898.11
Image Throughput (images/sec),0.53,0.05,0.80,0.05,0.32,0.38,0.44,0.53,0.62,0.72,0.75,0.80,0.15
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-88.87,-95.02,0.00,-94.92,-94.63,-94.24,-93.55,-91.55,-90.14,-88.66,-87.34,0.00,15.83
Output Sequence Length (tokens),113.99,51.00,1024.00,51.99,54.95,59.00,66.00,86.50,101.00,116.10,129.65,1024.00,162.10
Output Token Count (tokens),113.99,51.00,1024.00,51.99,54.95,59.00,66.00,86.50,101.00,116.10,129.65,1024.00,162.10
Request Latency (ms),2453.36,1253.07,19301.52,1256.93,1327.09,1379.74,1601.19,1904.65,2254.52,2663.43,3167.04,18822.88,2898.11
Usage Completion Tokens (tokens),113.99,51.00,1024.00,51.99,54.95,59.00,66.00,86.50,101.00,116.10,129.65,1024.00,162.10
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1008.99,946.00,1919.00,946.99,949.95,954.00,961.00,981.50,996.00,1011.10,1024.65,1919.00,162.10

Metric,Value
Benchmark Duration (sec),39.01
Maximum Response Timestamp (ns),1777336843058138880.00
Minimum Request Timestamp (ns),1777336804050080256.00
OSL Mismatch Count,97.00
Output Token Throughput (tokens/sec),292.22
Request Count,100.00
Request Throughput (requests/sec),2.56
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),11399.00
Total Output Tokens (tokens),11399.00
Total Token Throughput (tokens/sec),2586.62
Total Usage Completion Tokens (tokens),11399.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),100899.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),51.02,50.29,78.19,50.29,50.41,50.41,50.47,50.47,50.53,50.53,50.53,76.93,3.79,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.19,30.00,32.00,30.00,30.00,30.00,30.00,30.00,30.00,31.00,31.00,31.96,0.44,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),73.69,72.30,105.89,72.30,72.39,72.39,72.39,72.47,72.47,72.47,72.59,105.76,6.39,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.09,31.00,33.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,33.00,0.40,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
