Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.16,1.29,0.42
HTTP Connection Overhead (ms),0.27,0.00,1.88,0.00,0.00,0.00,0.00,0.00,0.00,1.57,1.72,1.82,0.61
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),1.04,0.79,1.86,0.82,0.84,0.89,0.94,1.03,1.10,1.17,1.24,1.73,0.17
HTTP Data Sent (KB),347.11,282.90,502.42,282.96,283.06,283.12,283.23,318.47,332.24,502.21,502.23,502.33,77.32
HTTP DNS Lookup (ms),0.08,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.55,0.57,0.19
HTTP Duration (excl. conn) (ms),2631.94,1248.65,6774.01,1468.45,1564.92,1696.29,2049.81,2477.58,3034.62,3567.61,3982.85,6047.26,860.26
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.37,0.11,1.77,0.11,0.11,0.11,0.13,0.14,0.19,1.54,1.61,1.74,0.53
HTTP Total Time (ms),2632.19,1248.64,6775.46,1468.44,1564.91,1696.28,2049.80,2477.57,3035.89,3569.05,3984.34,6047.26,860.55
HTTP Waiting (TTFB) (ms),2631.55,1248.53,6772.51,1468.29,1564.77,1696.16,2049.68,2477.40,3033.36,3566.16,3981.31,6047.10,859.99
Image Latency (ms/image),2632.00,1248.69,6774.17,1468.50,1564.97,1696.34,2049.85,2477.63,3034.76,3567.76,3983.02,6047.31,860.28
Image Throughput (images/sec),0.41,0.15,0.80,0.17,0.25,0.28,0.33,0.40,0.49,0.59,0.64,0.68,0.12
Input Sequence Length (tokens),895.01,895.00,896.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.01,0.10
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-62.17,-82.42,0.00,-80.10,-76.97,-75.00,-70.12,-63.67,-57.81,-53.05,-41.39,0.00,13.69
Output Sequence Length (tokens),96.85,45.00,256.00,50.94,58.95,64.00,76.50,93.00,108.00,120.20,150.05,256.00,35.05
Output Token Count (tokens),96.85,45.00,256.00,50.94,58.95,64.00,76.50,93.00,108.00,120.20,150.05,256.00,35.05
Request Latency (ms),2632.00,1248.69,6774.17,1468.50,1564.97,1696.34,2049.85,2477.63,3034.76,3567.76,3983.02,6047.31,860.28
Usage Completion Tokens (tokens),96.85,45.00,256.00,50.94,58.95,64.00,76.50,93.00,108.00,120.20,150.05,256.00,35.05
Usage Prompt Tokens (tokens),895.01,895.00,896.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.01,0.10
Usage Total Tokens (tokens),991.86,940.00,1151.00,945.94,953.95,959.00,971.50,988.00,1003.00,1015.20,1045.05,1151.00,35.05

Metric,Value
Benchmark Duration (sec),17.95
Maximum Response Timestamp (ns),1777336468120361472.00
Minimum Request Timestamp (ns),1777336450171323904.00
OSL Mismatch Count,98.00
Output Token Throughput (tokens/sec),539.58
Request Count,100.00
Request Throughput (requests/sec),5.57
Total Input Sequence Length (tokens),89501.00
Total Output Sequence Length (tokens),9685.00
Total Output Tokens (tokens),9685.00
Total Token Throughput (tokens/sec),5525.98
Total Usage Completion Tokens (tokens),9685.00
Total Usage Prompt Tokens (tokens),89501.00
Total Usage Total Tokens (tokens),99186.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.42,50.35,50.47,50.35,50.35,50.35,50.41,50.41,50.47,50.47,50.47,50.47,0.05,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.37,72.30,72.54,72.30,72.30,72.30,72.30,72.39,72.39,72.54,72.54,72.54,0.08,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
