Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,91.33,35.00,238.00,50.84,55.00,58.00,71.00,86.00,100.00,124.30,140.75,213.25,34.18
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,1.11,1.17,1.23,0.42
HTTP Connection Overhead (ms),0.27,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,1.62,1.70,1.83,0.62
HTTP Connection Reused (ratio),0.84,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),23.72,9.37,61.56,13.33,14.90,15.20,18.44,22.73,25.74,31.86,36.22,54.47,8.67
HTTP Data Sent (KB),366.66,282.96,502.48,283.02,283.06,283.12,318.23,331.98,502.19,502.33,502.37,502.41,88.35
HTTP DNS Lookup (ms),0.09,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.53,0.60,0.20
HTTP Duration (excl. conn) (ms),808.94,347.76,2314.72,371.37,499.02,526.58,590.04,737.55,938.54,1138.78,1466.66,1700.42,310.25
HTTP Receiving (ms),633.30,268.18,1642.18,293.57,374.75,420.03,492.07,589.75,716.54,870.50,997.26,1513.72,242.73
HTTP Sending (ms),0.36,0.10,2.00,0.10,0.10,0.10,0.11,0.13,0.17,1.51,1.59,1.65,0.53
HTTP Total Time (ms),809.21,347.76,2316.42,371.37,499.02,526.58,590.04,737.55,938.54,1140.22,1468.38,1700.44,310.60
HTTP Waiting (TTFB) (ms),175.29,63.26,684.91,63.39,66.73,71.51,81.27,104.78,144.47,535.91,638.16,671.06,175.69
Image Latency (ms/image),801.40,342.72,2314.92,365.69,492.77,515.59,582.55,733.09,918.70,1134.25,1460.85,1695.20,309.68
Image Throughput (images/sec),1.40,0.43,2.92,0.59,0.68,0.88,1.09,1.36,1.72,1.94,2.03,2.73,0.44
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),6.95,0.00,85.58,0.21,0.82,1.92,4.48,5.08,6.41,18.10,19.72,25.81,5.93
Inter Token Latency (ms),6.47,4.88,7.25,4.91,5.34,5.80,6.21,6.56,6.82,7.01,7.11,7.19,0.50
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-61.84,-84.38,0.00,-79.73,-76.19,-75.82,-70.70,-63.67,-59.18,-48.83,-39.77,-11.60,14.16
Output Sequence Length (tokens),97.68,40.00,256.00,51.88,60.95,61.90,75.00,93.00,104.50,131.00,154.20,226.30,36.26
Output Token Count (tokens),97.68,40.00,256.00,51.88,60.95,61.90,75.00,93.00,104.50,131.00,154.20,226.30,36.26
Output Token Throughput Per User (tokens/sec/user),155.64,137.85,204.80,139.16,140.67,142.64,146.57,152.51,160.98,172.46,187.39,203.76,13.49
Prefill Throughput Per User (tokens/sec/user),8201.48,1303.27,14114.19,1330.07,1398.69,1665.62,6182.87,8529.10,10986.86,12488.17,13382.90,14087.39,3638.12
Request Latency (ms),801.40,342.72,2314.92,365.69,492.77,515.59,582.55,733.09,918.70,1134.25,1460.85,1695.20,309.68
Time to First Output Token (ms),175.72,63.41,686.73,63.53,66.88,71.67,81.46,104.94,144.75,537.62,639.88,672.90,176.26
Time to First Token (ms),175.72,63.41,686.73,63.53,66.88,71.67,81.46,104.94,144.75,537.62,639.88,672.90,176.26
Time to Second Token (ms),10.52,0.39,38.69,0.43,0.89,1.71,3.38,6.40,16.70,22.95,31.19,35.20,9.38
Usage Completion Tokens (tokens),97.68,40.00,256.00,51.88,60.95,61.90,75.00,93.00,104.50,131.00,154.20,226.30,36.26
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),992.68,935.00,1151.00,946.88,955.95,956.90,970.00,988.00,999.50,1026.00,1049.20,1121.30,36.26

Metric,Value
Benchmark Duration (sec),5.33
Maximum Response Timestamp (ns),1777354187658996224.00
Minimum Request Timestamp (ns),1777354182324436992.00
OSL Mismatch Count,99.00
Output Token Throughput (tokens/sec),1831.08
Request Count,100.00
Request Throughput (requests/sec),18.75
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9768.00
Total Output Tokens (tokens),9768.00
Total Token Throughput (tokens/sec),18608.47
Total Usage Completion Tokens (tokens),9768.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99268.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.57,71.34,71.71,71.35,71.40,71.42,71.42,71.62,71.71,71.71,71.71,71.71,0.14,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),33.20,33.00,34.00,33.00,33.00,33.00,33.00,33.00,33.00,34.00,34.00,34.00,0.41,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),267.63,74.26,406.71,96.02,183.10,229.95,233.96,240.24,302.84,369.54,399.91,405.35,79.32,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),86.40,0.00,100.00,0.00,0.00,38.80,99.50,100.00,100.00,100.00,100.00,100.00,35.09,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,26.43,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),42.40,31.00,46.00,31.42,33.10,36.40,42.50,44.00,45.00,45.60,46.00,46.00,4.34,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),43.07,0.00,58.00,0.00,0.00,15.20,44.50,48.00,54.00,56.60,57.30,57.86,18.31,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),14.60,0.00,32.00,0.00,0.00,0.40,5.50,14.00,23.00,27.80,29.90,31.58,10.77,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
