Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
HTTP Connection Overhead (ms),0.02,0.00,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.16
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),1.01,0.83,1.66,0.84,0.88,0.89,0.93,1.01,1.07,1.13,1.17,1.25,0.11
HTTP Data Sent (KB),344.28,282.88,502.39,282.88,283.07,283.09,283.23,318.45,332.28,502.22,502.27,502.32,76.48
HTTP DNS Lookup (ms),0.01,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05
HTTP Duration (excl. conn) (ms),1695.94,1106.79,3683.02,1128.44,1214.95,1229.33,1441.41,1717.24,1876.76,2118.50,2198.61,2542.06,369.70
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.51,0.10,0.10,0.10,0.11,0.11,0.12,0.13,0.14,0.21,0.14
HTTP Total Time (ms),1695.94,1106.78,3683.01,1128.43,1214.94,1229.32,1441.40,1717.23,1876.75,2118.49,2198.61,2542.05,369.70
HTTP Waiting (TTFB) (ms),1695.80,1106.66,3682.90,1128.32,1214.83,1229.19,1441.29,1717.11,1876.64,2118.38,2198.50,2541.93,369.70
Image Latency (ms/image),1695.98,1106.82,3683.06,1128.48,1214.99,1229.36,1441.45,1717.28,1876.80,2118.54,2198.65,2542.11,369.70
Image Throughput (images/sec),0.61,0.27,0.90,0.39,0.45,0.47,0.53,0.58,0.69,0.81,0.82,0.89,0.12
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-65.18,-79.69,-17.19,-77.75,-76.19,-75.78,-70.70,-65.23,-60.94,-55.86,-53.07,-44.64,8.66
Output Sequence Length (tokens),89.15,52.00,212.00,56.95,60.95,62.00,75.00,89.00,100.00,113.00,120.15,141.71,22.16
Output Token Count (tokens),89.15,52.00,212.00,56.95,60.95,62.00,75.00,89.00,100.00,113.00,120.15,141.71,22.16
Request Latency (ms),1695.98,1106.82,3683.06,1128.48,1214.99,1229.36,1441.45,1717.28,1876.80,2118.54,2198.65,2542.11,369.70
Usage Completion Tokens (tokens),89.15,52.00,212.00,56.95,60.95,62.00,75.00,89.00,100.00,113.00,120.15,141.71,22.16
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),984.15,947.00,1107.00,951.95,955.95,957.00,970.00,984.00,995.00,1008.00,1015.15,1036.71,22.16

Metric,Value
Benchmark Duration (sec),169.74
Maximum Response Timestamp (ns),1777336320365515008.00
Minimum Request Timestamp (ns),1777336150624221952.00
OSL Mismatch Count,100.00
Output Token Throughput (tokens/sec),52.52
Request Count,100.00
Request Throughput (requests/sec),0.59
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),8915.00
Total Output Tokens (tokens),8915.00
Total Token Throughput (tokens/sec),579.79
Total Usage Completion Tokens (tokens),8915.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),98415.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.44,50.29,50.53,50.35,50.41,50.41,50.41,50.47,50.47,50.47,50.47,50.53,0.04,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.37,72.22,72.62,72.27,72.30,72.30,72.30,72.39,72.39,72.39,72.45,72.54,0.06,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
