Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,99.29,57.00,256.00,58.98,62.00,69.70,80.00,97.50,108.00,122.20,132.10,256.00,31.48
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09,1.17,0.30
HTTP Connection Overhead (ms),0.13,0.00,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.56,1.71,0.44
HTTP Connection Reused (ratio),0.92,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.27
HTTP Data Received (KB),25.54,14.90,64.99,15.38,16.16,18.07,20.70,25.10,27.71,31.31,33.79,64.79,7.92
HTTP Data Sent (KB),338.20,282.91,502.50,282.94,283.04,283.07,283.19,318.43,332.24,502.27,502.33,502.48,76.76
HTTP DNS Lookup (ms),0.04,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.53,0.14
HTTP Duration (excl. conn) (ms),1874.61,1086.20,4657.06,1123.66,1188.00,1361.54,1557.10,1825.67,2037.57,2271.74,2479.35,4568.70,556.36
HTTP Receiving (ms),1765.48,996.54,4574.47,1034.16,1078.30,1223.22,1426.06,1731.01,1926.19,2180.20,2352.48,4479.53,561.32
HTTP Sending (ms),0.24,0.10,1.64,0.10,0.11,0.11,0.11,0.12,0.14,0.18,1.50,1.61,0.39
HTTP Total Time (ms),1874.74,1086.20,4657.06,1123.66,1188.00,1361.54,1558.02,1825.67,2038.82,2271.74,2479.35,4568.70,556.37
HTTP Waiting (TTFB) (ms),108.90,82.44,328.46,85.48,88.18,89.11,90.04,92.02,97.68,120.08,243.67,328.38,49.87
Image Latency (ms/image),1856.26,1067.97,4657.11,1104.63,1170.05,1341.64,1538.52,1806.36,2019.30,2253.41,2461.15,4568.75,558.23
Image Throughput (images/sec),0.58,0.21,0.94,0.22,0.41,0.44,0.50,0.55,0.65,0.75,0.85,0.91,0.14
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Inter Chunk Latency (ms),17.95,0.49,47.69,12.85,16.66,16.99,17.30,17.69,18.27,18.97,20.03,26.02,1.96
Inter Token Latency (ms),17.75,17.11,18.05,17.18,17.42,17.51,17.67,17.80,17.89,17.95,17.99,18.03,0.18
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-61.20,-77.73,0.00,-76.96,-75.78,-72.77,-68.75,-61.91,-57.81,-52.27,-48.40,0.00,12.30
Output Sequence Length (tokens),99.32,57.00,256.00,58.98,62.00,69.70,80.00,97.50,108.00,122.20,132.10,256.00,31.49
Output Token Count (tokens),99.32,57.00,256.00,58.98,62.00,69.70,80.00,97.50,108.00,122.20,132.10,256.00,31.49
Output Token Throughput Per User (tokens/sec/user),56.33,55.41,58.43,55.47,55.60,55.72,55.91,56.18,56.61,57.12,57.39,58.22,0.59
Prefill Throughput Per User (tokens/sec/user),8992.11,2710.09,10830.07,2710.71,3647.21,7449.51,9145.23,9708.72,9923.13,10023.03,10131.05,10450.89,1807.43
Request Latency (ms),1856.26,1067.97,4657.11,1104.63,1170.05,1341.64,1538.52,1806.36,2019.30,2253.41,2461.15,4568.75,558.23
Time to First Output Token (ms),109.19,82.64,330.25,85.64,88.34,89.29,90.19,92.19,97.87,120.23,245.39,330.17,50.28
Time to First Token (ms),109.19,82.64,330.25,85.64,88.34,89.29,90.19,92.19,97.87,120.23,245.39,330.17,50.28
Time to Second Token (ms),17.72,0.49,33.21,9.90,11.93,15.13,17.31,17.71,18.46,19.15,22.82,33.17,3.65
Usage Completion Tokens (tokens),99.32,57.00,256.00,58.98,62.00,69.70,80.00,97.50,108.00,122.20,132.10,256.00,31.49
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),994.32,952.00,1151.00,953.98,957.00,964.70,975.00,992.50,1003.00,1017.20,1027.10,1151.00,31.49

Metric,Value
Benchmark Duration (sec),24.50
Maximum Response Timestamp (ns),1777348940935410432.00
Minimum Request Timestamp (ns),1777348916432369920.00
OSL Mismatch Count,98.00
Output Token Throughput (tokens/sec),405.34
Request Count,100.00
Request Throughput (requests/sec),4.08
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),9932.00
Total Output Tokens (tokens),9932.00
Total Token Throughput (tokens/sec),4057.95
Total Usage Completion Tokens (tokens),9932.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),99432.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Power Usage (W),71.45,71.19,71.71,71.19,71.19,71.34,71.42,71.42,71.42,71.71,71.71,71.71,0.14,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,GPU Temperature (°C),32.84,32.00,33.00,32.00,32.00,32.00,33.00,33.00,33.00,33.00,33.00,33.00,0.37,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-d20b866d-d03b-1f5d-5c7e-368cfff3d2fa,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Power Usage (W),148.18,74.17,289.83,100.38,134.57,135.30,136.14,137.91,141.01,179.32,219.26,283.83,35.08,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Utilization (%),38.19,0.00,83.00,22.11,33.00,34.00,34.00,38.00,40.00,45.00,45.00,60.89,8.41,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Memory Used (GB),27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,GPU Temperature (°C),36.18,31.00,40.00,33.01,35.00,35.00,36.00,36.00,36.00,37.00,38.00,39.33,1.17,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Memory Utilization (%),16.29,0.00,25.00,10.05,15.00,15.00,16.00,16.00,17.00,18.00,18.00,21.65,2.47,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,SM Utilization (%),26.32,0.00,38.00,0.67,3.35,5.70,15.75,32.00,38.00,38.00,38.00,38.00,12.85,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ebe9827-1c2c-ffbe-7c5a-f1318ae8ddae,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Power Usage (W),72.79,72.69,73.06,72.69,72.77,72.77,72.77,72.77,72.77,72.86,72.86,72.93,0.05,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Memory Used (GB),27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,27.47,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,GPU Temperature (°C),32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,32.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-e2314a3f-4896-ccd9-240d-76bd5daff630,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Power Usage (W),56.02,55.95,56.18,55.95,55.95,55.95,55.95,55.95,56.12,56.18,56.18,56.18,0.10,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,GPU Temperature (°C),29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-11966748-896e-4811-9907-9bcfb0c848c0,Power Violation (us),0.00,,,,,,,,,,,,,localhost
