Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.11
HTTP Connection Overhead (ms),0.02,0.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),0.89,0.74,0.93,0.84,0.87,0.88,0.88,0.89,0.90,0.91,0.92,0.92,0.02
HTTP Data Sent (KB),340.98,282.96,502.41,282.99,283.05,283.09,283.21,318.43,332.27,502.19,502.27,502.37,75.52
HTTP DNS Lookup (ms),0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
HTTP Duration (excl. conn) (ms),1185.79,738.27,8384.99,1022.00,1097.89,1099.78,1104.29,1110.33,1125.62,1147.48,1160.77,1251.96,724.87
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.13,0.10,1.47,0.10,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.21,0.14
HTTP Total Time (ms),1185.80,738.26,8386.50,1021.99,1097.88,1099.77,1104.28,1110.32,1125.61,1147.47,1160.76,1251.97,725.02
HTTP Waiting (TTFB) (ms),1185.66,738.14,8383.49,1021.88,1097.78,1099.67,1104.17,1110.22,1125.50,1147.37,1160.64,1251.83,724.73
Image Latency (ms/image),1185.84,738.31,8385.17,1022.04,1097.93,1099.82,1104.33,1110.37,1125.65,1147.52,1160.80,1252.01,724.88
Image Throughput (images/sec),0.89,0.12,1.35,0.84,0.86,0.87,0.89,0.90,0.91,0.91,0.91,0.98,0.09
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-0.62,-37.50,0.00,-11.20,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96
Output Sequence Length (tokens),63.60,40.00,64.00,56.83,63.90,64.00,64.00,64.00,64.00,64.00,64.00,64.00,2.53
Output Token Count (tokens),63.60,40.00,64.00,56.83,63.90,64.00,64.00,64.00,64.00,64.00,64.00,64.00,2.53
Request Latency (ms),1185.84,738.31,8385.17,1022.04,1097.93,1099.82,1104.33,1110.37,1125.65,1147.52,1160.80,1252.01,724.88
Usage Completion Tokens (tokens),63.60,40.00,64.00,56.83,63.90,64.00,64.00,64.00,64.00,64.00,64.00,64.00,2.53
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.60,935.00,959.00,951.83,958.90,959.00,959.00,959.00,959.00,959.00,959.00,959.00,2.53

Metric,Value
Benchmark Duration (sec),118.73
Maximum Response Timestamp (ns),1777060470352303872.00
Minimum Request Timestamp (ns),1777060351625243392.00
OSL Mismatch Count,3.00
Output Token Throughput (tokens/sec),53.57
Request Count,100.00
Request Throughput (requests/sec),0.84
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6360.00
Total Output Tokens (tokens),6360.00
Total Token Throughput (tokens/sec),807.40
Total Usage Completion Tokens (tokens),6360.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95860.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Power Usage (W),71.07,70.66,154.95,70.74,70.74,70.74,70.74,70.74,70.83,70.98,70.98,71.38,4.64,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Utilization (%),0.05,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,GPU Temperature (°C),33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Memory Utilization (%),0.01,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-51c84d7e-2b61-72a9-6ad1-77eb2bf4581f,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Power Usage (W),93.48,71.10,182.13,71.19,71.27,90.91,92.96,93.72,95.01,97.63,100.11,130.36,11.33,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Utilization (%),33.78,0.00,43.00,0.00,0.00,33.00,35.00,36.00,37.00,37.00,38.00,41.00,9.03,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Memory Used (GB),27.48,27.47,27.48,27.47,27.47,27.48,27.48,27.48,27.48,27.48,27.48,27.48,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,GPU Temperature (°C),32.70,31.00,34.00,31.00,31.00,32.00,33.00,33.00,33.00,33.00,33.00,33.00,0.58,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b6c599e7-8520-9c2a-7c25-436360456796,Memory Utilization (%),13.94,0.00,17.00,0.00,0.00,13.00,14.00,15.00,15.00,16.00,16.00,16.72,3.76,localhost
