Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.84,0.00,39.24,0.00,0.00,0.00,0.00,0.00,1.30,1.56,1.62,2.03,3.92
HTTP Connection Overhead (ms),1.06,0.00,40.01,0.00,0.00,0.00,0.00,0.00,1.91,2.31,2.40,2.86,4.04
HTTP Connection Reused (ratio),0.68,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),0.89,0.81,0.92,0.82,0.84,0.87,0.88,0.89,0.90,0.91,0.91,0.91,0.02
HTTP Data Sent (KB),367.40,282.94,502.43,282.95,283.03,283.10,318.24,332.03,502.14,502.29,502.34,502.40,87.88
HTTP DNS Lookup (ms),0.22,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.58,0.71,0.81,0.88,0.33
HTTP Duration (excl. conn) (ms),2988.59,1387.66,4220.14,1393.64,1486.59,1750.58,2379.92,3033.66,3720.08,3916.23,4073.19,4220.13,845.84
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.11,0.12,39.79,0.12,0.13,0.13,0.14,0.19,1.75,2.09,2.14,2.62,3.97
HTTP Total Time (ms),2989.64,1387.65,4222.55,1393.62,1486.58,1752.04,2379.91,3034.58,3720.07,3919.76,4075.62,4222.31,846.73
HTTP Waiting (TTFB) (ms),2987.46,1387.51,4218.13,1393.44,1486.38,1749.04,2379.75,3032.65,3719.89,3881.00,4070.95,4218.12,845.05
Image Latency (ms/image),2988.70,1387.71,4220.32,1393.69,1486.65,1750.76,2379.98,3033.78,3720.14,3916.45,4073.43,4220.31,845.87
Image Throughput (images/sec),0.37,0.24,0.72,0.24,0.25,0.26,0.27,0.33,0.42,0.57,0.67,0.72,0.13
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),-1.02,-23.44,0.00,-21.89,-3.36,-1.72,0.00,0.00,0.00,0.00,0.00,0.00,3.92
Output Sequence Length (tokens),63.35,49.00,64.00,49.99,61.85,62.90,64.00,64.00,64.00,64.00,64.00,64.00,2.51
Output Token Count (tokens),63.35,49.00,64.00,49.99,61.85,62.90,64.00,64.00,64.00,64.00,64.00,64.00,2.51
Request Latency (ms),2988.70,1387.71,4220.32,1393.69,1486.65,1750.76,2379.98,3033.78,3720.14,3916.45,4073.43,4220.31,845.87
Usage Completion Tokens (tokens),63.35,49.00,64.00,49.99,61.85,62.90,64.00,64.00,64.00,64.00,64.00,64.00,2.51
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),958.35,944.00,959.00,944.99,956.85,957.90,959.00,959.00,959.00,959.00,959.00,959.00,2.51

Metric,Value
Benchmark Duration (sec),10.32
Maximum Response Timestamp (ns),1777336131793741824.00
Minimum Request Timestamp (ns),1777336121471394560.00
OSL Mismatch Count,5.00
Output Token Throughput (tokens/sec),613.72
Request Count,100.00
Request Throughput (requests/sec),9.69
Total Input Sequence Length (tokens),89500.00
Total Output Sequence Length (tokens),6335.00
Total Output Tokens (tokens),6335.00
Total Token Throughput (tokens/sec),9284.23
Total Usage Completion Tokens (tokens),6335.00
Total Usage Prompt Tokens (tokens),89500.00
Total Usage Total Tokens (tokens),95835.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Power Usage (W),50.44,50.29,50.53,50.29,50.31,50.40,50.41,50.47,50.47,50.47,50.50,50.53,0.06,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,GPU Temperature (°C),30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-92e9136f-5ca2-9937-88b9-52fa7ca61bc4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Power Usage (W),72.37,72.22,72.47,72.22,72.25,72.30,72.30,72.39,72.39,72.47,72.47,72.47,0.07,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Memory Used (GB),6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,GPU Temperature (°C),31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,31.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-4b360b9a-7f52-10b3-9b13-967f1ca18817,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,GPU Power Usage (W),126.38,69.45,387.67,69.51,69.72,69.82,81.33,101.16,103.60,232.52,372.96,387.60,89.91,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-f7cbd3f0-0020-f888-50f0-7b2eeb5f08e9,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
