# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.6.0.post1
# schema_version: 1.0
# benchmark_id: 5a6848ee-64d8-4c52-a405-a6ef19a1b723
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,model,Description
localhost:8000,gauge,dynamo_frontend_disconnected_clients,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,Number of disconnected clients
localhost:8000,gauge,dynamo_frontend_inflight_requests,requests,0.9139,0.0000,1.0000,0.2809,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of inflight requests
localhost:8000,gauge,dynamo_frontend_model_context_length,tokens,32768.0000,32768.0000,32768.0000,0.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,32768.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum context length in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_kv_cache_block_size,tokens,16.0000,16.0000,16.0000,0.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,16.0000,Qwen/Qwen2-VL-2B-Instruct,KV cache block size in tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_batched_tokens,tokens,2048.0000,2048.0000,2048.0000,0.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,2048.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of batched tokens for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_max_num_seqs,,256.0000,256.0000,256.0000,0.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,256.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of sequences for a worker serving the model
localhost:8000,gauge,dynamo_frontend_model_migration_limit,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Qwen/Qwen2-VL-2B-Instruct,Maximum number of request migrations allowed for the model
localhost:8000,gauge,dynamo_frontend_model_total_kv_blocks,blocks,61662.0000,61662.0000,61662.0000,0.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,61662.0000,Qwen/Qwen2-VL-2B-Instruct,Total KV cache blocks available for a worker serving the model
localhost:8000,gauge,dynamo_frontend_queued_requests,requests,0.2656,0.0000,1.0000,0.4422,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,qwen/qwen2-vl-2b-instruct,Number of requests in HTTP processing queue

Endpoint,Type,Metric,Unit,total,rate,rate_avg,rate_min,rate_max,rate_std,dynamo_component,dynamo_namespace,router_id,endpoint,error_type,request_type,status,model,Description
localhost:8000,counter,dynamo_frontend_output_tokens,tokens,17988.0000,133.9735,,,,,,,,,,,,qwen/qwen2-vl-2b-instruct,Total number of output tokens generated (updates in real-time)
localhost:8000,counter,dynamo_frontend_requests,requests,99.0000,0.7429,,,,,,,,chat_completions,,unary,success,qwen/qwen2-vl-2b-instruct,Total number of LLM requests processed
localhost:8000,counter,dynamo_component_router_requests,requests,0.0000,0.0000,,,,,backend,dynamo,15288377230714881574,,,,,,Total number of requests processed by the router

Endpoint,Type,Metric,Unit,count,count_rate,sum,sum_rate,avg,p1_estimate,p5_estimate,p10_estimate,p25_estimate,p50_estimate,p75_estimate,p90_estimate,p95_estimate,p99_estimate,dynamo_component,dynamo_namespace,router_id,model,operation,Description,buckets
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,99,0.7429,0.5574,0.0042,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056,,,,,detokenize,Tokenizer latency in milliseconds,0.5=99;1=99;2=99;4=99;8=99;16=99;32=99;64=99;128=99;256=99;512=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_tokenizer_latency_ms,milliseconds,99,0.7373,28.1408,0.2096,0.2843,0.1160,0.1290,0.1452,0.1938,0.2749,0.3560,0.4046,0.4171,0.7442,,,,,tokenize,Tokenizer latency in milliseconds,0.5=96;1=99;2=99;4=99;8=99;16=99;32=99;64=99;128=99;256=99;512=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_cached_tokens,tokens,98,0.7409,7840.0000,59.2749,80.0000,35.9992,39.9584,44.9073,59.7543,84.4992,100.0000,100.0000,100.0000,100.0000,,,,qwen/qwen2-vl-2b-instruct,,Number of cached tokens (prefix cache hits) per request,0=0;100=98;210=98;430=98;870=98;1800=98;3600=98;7400=98;15000=98;31000=98;63000=98;130000=98;+Inf=98
localhost:8000,histogram,dynamo_frontend_input_sequence_tokens,tokens,99,0.7373,10188.0000,75.8796,102.9091,102.0682,102.1368,102.2226,102.4801,102.9091,103.3381,103.5955,103.6814,103.7500,,,,qwen/qwen2-vl-2b-instruct,,Input sequence length in tokens,0=0;100=0;210=99;430=99;870=99;1800=99;3600=99;7400=99;15000=99;31000=99;63000=99;130000=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_inter_token_latency_seconds,seconds,17889,133.2361,92.0973,0.6859,0.0051,0.0043,0.0044,0.0045,0.0047,0.0051,0.0056,0.0058,0.0059,0.0060,,,,qwen/qwen2-vl-2b-instruct,,Inter-token latency in seconds,0=0;0.0019=13;0.0035=14;0.0067=17885;0.013=17888;0.024=17888;0.045=17888;0.084=17889;0.16=17889;0.3=17889;0.56=17889;1.1=17889;2=17889;+Inf=17889
localhost:8000,histogram,dynamo_frontend_output_sequence_tokens,tokens,99,0.7429,17855.0000,133.9818,180.3535,114.7447,118.2164,122.5560,135.5748,157.2728,178.9708,258.6399,363.8277,540.0694,,,,qwen/qwen2-vl-2b-instruct,,Output sequence length in tokens,0=0;100=0;210=86;430=96;880=99;1800=99;3700=99;7600=99;16000=99;32000=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_request_duration_seconds,seconds,99,0.7429,123.1182,0.9239,1.2436,0.6154,0.6614,0.7188,0.8912,1.1786,1.4660,1.6384,2.0990,3.2083,,,,qwen/qwen2-vl-2b-instruct,,Duration of LLM requests,0=0;1.9=92;3.4=98;6.3=99;12=99;22=99;40=99;75=99;140=99;260=99;+Inf=99
localhost:8000,histogram,dynamo_frontend_time_to_first_token_seconds,seconds,99,0.7373,31.5742,0.2352,0.3189,0.2622,0.2628,0.2636,0.2840,0.3183,0.3525,0.3731,0.3800,0.3854,,,,qwen/qwen2-vl-2b-instruct,,Time to first token in seconds,0=0;0.0022=0;0.0047=0;0.01=0;0.022=0;0.047=0;0.1=0;0.22=0;0.47=99;1=99;2.2=99;4.7=99;10=99;22=99;48=99;100=99;220=99;480=99;+Inf=99
localhost:8000,histogram,dynamo_router_overhead_block_hashing_ms,milliseconds,0,,,,,,,,,,,,,,,,15288377230714881574,,,Time spent computing block hashes in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
localhost:8000,histogram,dynamo_router_overhead_indexer_find_matches_ms,milliseconds,0,,,,,,,,,,,,,,,,15288377230714881574,,,Time spent in indexer find_matches in milliseconds,0.0001=0;0.0002=0;0.0004=0;0.0008=0;0.0016=0;0.0032=0;0.0064=0;0.0128=0;0.0256=0;0.0512=0;0.1024=0;0.2048=0;0.4096=0;0.8192=0;1.6384=0;3.2768=0;6.5536=0;13.1072=0;+Inf=0
