Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,0.95
HTTP Connection Overhead (ms),0.35,0.00,11.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.73,1.76
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),1.38,1.22,4.02,1.23,1.23,1.23,1.23,1.23,1.23,2.06,2.20,2.77,0.42
HTTP Data Sent (KB),9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,0.00
HTTP DNS Lookup (ms),0.16,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,0.82
HTTP Duration (excl. conn) (ms),1369.21,1106.23,3772.31,1106.49,1121.96,1131.95,1181.18,1236.83,1373.02,1902.32,2105.40,2633.63,384.84
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.78,0.44,6.91,0.44,0.51,0.54,0.54,0.56,0.59,0.69,1.01,6.52,1.01
HTTP Total Time (ms),1369.55,1106.21,3772.30,1106.48,1121.95,1131.94,1181.17,1236.82,1378.19,1909.17,2105.39,2633.62,385.09
HTTP Waiting (TTFB) (ms),1368.42,1105.67,3771.74,1105.93,1121.40,1131.32,1180.61,1236.26,1367.12,1897.39,2104.82,2633.15,384.70
Image Latency (ms/image),1369.29,1106.29,3772.38,1106.56,1122.02,1132.02,1181.25,1236.90,1373.19,1902.54,2105.47,2633.69,384.84
Image Throughput (images/sec),0.77,0.27,0.90,0.38,0.47,0.53,0.73,0.81,0.85,0.88,0.89,0.90,0.13
Input Sequence Length (tokens),5425.90,5425.00,5426.00,5425.00,5425.00,5425.90,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),172.91,146.00,664.00,146.99,147.00,147.00,147.00,147.00,147.00,283.00,309.75,430.36,74.33
Output Token Count (tokens),172.91,146.00,664.00,146.99,147.00,147.00,147.00,147.00,147.00,283.00,309.75,430.36,74.33
Request Latency (ms),1369.29,1106.29,3772.38,1106.56,1122.02,1132.02,1181.25,1236.90,1373.19,1902.54,2105.47,2633.69,384.84
Usage Completion Tokens (tokens),172.91,146.00,664.00,146.99,147.00,147.00,147.00,147.00,147.00,283.00,309.75,430.36,74.33
Usage Prompt Tokens (tokens),5425.90,5425.00,5426.00,5425.00,5425.00,5425.90,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.30
Usage Total Tokens (tokens),5598.81,5572.00,6090.00,5572.00,5572.00,5572.00,5573.00,5573.00,5573.00,5709.00,5735.75,5856.36,74.37

Metric,Value
Benchmark Duration (sec),37.10
Maximum Response Timestamp (ns),1777512107616451328.00
Minimum Request Timestamp (ns),1777512070518155264.00
Output Token Throughput (tokens/sec),466.09
Request Count,100.00
Request Throughput (requests/sec),2.70
Total Input Sequence Length (tokens),542590.00
Total Output Sequence Length (tokens),17291.00
Total Output Tokens (tokens),17291.00
Total Token Throughput (tokens/sec),15091.83
Total Usage Completion Tokens (tokens),17291.00
Total Usage Prompt Tokens (tokens),542590.00
Total Usage Total Tokens (tokens),559881.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Power Usage (W),186.23,59.49,200.02,59.49,183.41,184.41,185.93,191.08,193.12,196.45,197.98,198.50,22.58,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Utilization (%),96.80,0.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,17.17,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Memory Used (GB),35.98,35.97,35.98,35.97,35.98,35.98,35.98,35.98,35.98,35.98,35.98,35.98,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,GPU Temperature (°C),39.19,31.00,40.00,31.00,36.00,38.00,39.00,40.00,40.00,40.00,40.00,40.00,1.68,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Memory Utilization (%),52.72,0.00,58.00,0.00,52.00,52.00,53.00,54.00,56.00,56.00,57.00,58.00,9.49,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,SM Utilization (%),77.32,0.00,99.00,0.00,7.00,20.00,59.00,99.00,99.00,99.00,99.00,99.00,32.43,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-78c49639-ef05-0b69-b11c-e26bfd627631,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Power Usage (W),50.23,50.23,50.29,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.23,50.29,0.01,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,GPU Temperature (°C),28.75,28.00,29.00,28.00,28.00,28.00,29.00,29.00,29.00,29.00,29.00,29.00,0.43,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-8aa61168-c0f4-c76c-9812-f8068dc57148,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
