Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.50,0.00,13.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.25,2.47
HTTP Connection Overhead (ms),0.98,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.84,4.81
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),2.08,1.35,4.20,1.35,1.35,1.35,1.35,2.29,2.41,2.93,3.07,3.48,0.64
HTTP Data Sent (KB),9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,0.00
HTTP DNS Lookup (ms),0.48,0.00,13.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.59,2.34
HTTP Duration (excl. conn) (ms),2371.04,1435.33,4413.86,1449.18,1503.27,1548.39,1749.87,2378.63,2636.25,3232.83,3492.25,4328.13,644.51
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),1.07,0.48,14.65,0.49,0.52,0.53,0.54,0.54,0.56,0.64,0.82,14.09,2.53
HTTP Total Time (ms),2372.01,1435.32,4440.82,1449.17,1503.26,1548.38,1749.86,2378.62,2636.24,3232.82,3492.24,4328.39,645.89
HTTP Waiting (TTFB) (ms),2369.95,1434.78,4399.16,1448.63,1502.69,1547.84,1749.30,2378.07,2635.68,3232.31,3491.70,4327.44,643.80
Image Latency (ms/image),2371.11,1435.40,4414.06,1449.24,1503.34,1548.45,1749.94,2378.69,2636.31,3232.89,3492.32,4328.19,644.52
Image Throughput (images/sec),0.45,0.23,0.70,0.23,0.29,0.31,0.38,0.42,0.57,0.65,0.67,0.69,0.12
Input Sequence Length (tokens),5425.90,5425.00,5426.00,5425.00,5425.00,5425.90,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),276.20,147.00,684.00,147.00,147.00,147.00,147.00,305.00,331.50,447.00,465.00,565.20,118.19
Output Token Count (tokens),276.20,147.00,684.00,147.00,147.00,147.00,147.00,305.00,331.50,447.00,465.00,565.20,118.19
Request Latency (ms),2371.11,1435.40,4414.06,1449.24,1503.34,1548.45,1749.94,2378.69,2636.31,3232.89,3492.32,4328.19,644.52
Usage Completion Tokens (tokens),276.20,147.00,684.00,147.00,147.00,147.00,147.00,305.00,331.50,447.00,465.00,565.20,118.19
Usage Prompt Tokens (tokens),5425.90,5425.00,5426.00,5425.00,5425.00,5425.90,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.30
Usage Total Tokens (tokens),5702.10,5572.00,6110.00,5572.00,5573.00,5573.00,5573.00,5731.00,5757.25,5873.00,5891.00,5991.20,118.19

Metric,Value
Benchmark Duration (sec),60.78
Maximum Response Timestamp (ns),1777530546839014912.00
Minimum Request Timestamp (ns),1777530486056204800.00
Output Token Throughput (tokens/sec),454.40
Request Count,100.00
Request Throughput (requests/sec),1.65
Total Input Sequence Length (tokens),542590.00
Total Output Sequence Length (tokens),27620.00
Total Output Tokens (tokens),27620.00
Total Token Throughput (tokens/sec),9381.11
Total Usage Completion Tokens (tokens),27620.00
Total Usage Prompt Tokens (tokens),542590.00
Total Usage Total Tokens (tokens),570210.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Power Usage (W),62.27,61.79,62.56,61.79,61.87,62.08,62.24,62.31,62.31,62.39,62.48,62.56,0.17,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Memory Used (GB),7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,GPU Temperature (°C),32.80,31.00,34.00,31.00,31.00,32.00,33.00,33.00,33.00,33.00,33.00,34.00,0.57,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-f899abd0-c0a7-3781-f559-d9f53d5efa25,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Power Usage (W),181.68,59.06,205.17,59.13,77.48,182.93,186.08,191.60,195.70,198.22,200.99,203.69,34.24,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Utilization (%),90.39,0.00,100.00,0.00,0.00,62.60,100.00,100.00,100.00,100.00,100.00,100.00,27.76,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,GPU Temperature (°C),36.40,29.00,38.00,29.00,33.00,35.00,37.00,37.00,37.00,37.00,37.00,38.00,1.69,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-b5215da8-34ab-0f95-447d-76a136ae0bfc,Memory Utilization (%),49.57,0.00,58.00,0.00,0.00,32.00,53.00,54.00,56.00,57.00,58.00,58.00,15.46,localhost
