Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.38
HTTP Connection Overhead (ms),0.07,0.00,7.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.71
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),2.01,1.34,3.30,1.35,1.35,1.35,1.35,2.28,2.44,2.93,3.07,3.25,0.61
HTTP Data Sent (KB),9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,0.00
HTTP DNS Lookup (ms),0.03,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.32
HTTP Duration (excl. conn) (ms),3015.05,2245.95,15213.54,2253.69,2267.40,2278.99,2309.36,3089.39,3260.95,3815.54,3932.70,4319.73,1351.67
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.59,0.51,4.68,0.52,0.54,0.54,0.54,0.54,0.55,0.56,0.56,0.76,0.41
HTTP Total Time (ms),3015.11,2245.94,15220.59,2253.68,2267.39,2278.98,2309.35,3089.37,3260.94,3815.53,3932.69,4319.80,1352.31
HTTP Waiting (TTFB) (ms),3014.45,2245.40,15208.82,2253.16,2266.85,2278.44,2308.81,3088.83,3260.39,3815.00,3932.15,4318.96,1351.29
Image Latency (ms/image),3015.11,2246.00,15213.73,2253.75,2267.46,2279.05,2309.43,3089.45,3261.01,3815.60,3932.76,4319.83,1351.68
Image Throughput (images/sec),0.36,0.07,0.45,0.24,0.25,0.26,0.31,0.32,0.43,0.44,0.44,0.44,0.07
Input Sequence Length (tokens),5425.90,5425.00,5426.00,5425.00,5425.00,5425.90,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),264.42,145.00,522.00,146.98,147.00,147.00,147.00,305.00,335.00,447.00,465.30,498.24,111.70
Output Token Count (tokens),264.42,145.00,522.00,146.98,147.00,147.00,147.00,305.00,335.00,447.00,465.30,498.24,111.70
Request Latency (ms),3015.11,2246.00,15213.73,2253.75,2267.46,2279.05,2309.43,3089.45,3261.01,3815.60,3932.76,4319.83,1351.68
Usage Completion Tokens (tokens),264.42,145.00,522.00,146.98,147.00,147.00,147.00,305.00,335.00,447.00,465.30,498.24,111.70
Usage Prompt Tokens (tokens),5425.90,5425.00,5426.00,5425.00,5425.00,5425.90,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.30
Usage Total Tokens (tokens),5690.32,5570.00,5948.00,5571.98,5573.00,5573.00,5573.00,5731.00,5761.00,5872.10,5891.30,5924.24,111.72

Metric,Value
Benchmark Duration (sec),303.05
Maximum Response Timestamp (ns),1777570326964191488.00
Minimum Request Timestamp (ns),1777570023909924096.00
Output Token Throughput (tokens/sec),87.25
Request Count,100.00
Request Throughput (requests/sec),0.33
Total Input Sequence Length (tokens),542590.00
Total Output Sequence Length (tokens),26442.00
Total Output Tokens (tokens),26442.00
Total Token Throughput (tokens/sec),1877.66
Total Usage Completion Tokens (tokens),26442.00
Total Usage Prompt Tokens (tokens),542590.00
Total Usage Total Tokens (tokens),569032.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Power Usage (W),71.94,70.90,406.23,70.90,70.97,70.98,70.98,71.19,71.19,71.27,71.27,75.09,13.13,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Energy Consumption (MJ),0.02,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Utilization (%),0.17,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.64,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Memory Used (GB),7.49,6.56,7.50,6.56,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.11,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Temperature (°C),33.99,33.00,52.00,33.00,33.00,34.00,34.00,34.00,34.00,34.00,34.00,35.63,0.80,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Memory Utilization (%),0.02,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,SM Utilization (%),0.19,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.84,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Power Usage (W),91.73,71.07,233.06,71.24,71.44,71.52,71.68,78.30,104.09,104.33,112.67,228.86,31.94,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Energy Consumption (MJ),0.03,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Utilization (%),4.08,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,44.15,59.00,13.43,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Temperature (°C),32.43,30.00,37.00,30.00,31.00,31.00,31.00,32.00,34.00,34.00,34.00,36.00,1.45,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Memory Utilization (%),0.95,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,10.00,14.00,3.13,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,SM Utilization (%),3.54,0.00,4.00,0.00,0.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,0.97,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Power Usage (W),150.25,72.19,218.72,72.36,103.97,104.21,104.45,105.44,210.99,212.29,212.84,214.62,54.36,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Energy Consumption (MJ),0.05,,,,,,,,,,,,,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Utilization (%),44.64,0.00,100.00,0.00,0.00,0.00,0.00,10.50,100.00,100.00,100.00,100.00,47.50,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,GPU Temperature (°C),35.28,30.00,38.00,30.00,33.00,34.00,34.00,35.00,37.00,37.00,38.00,38.00,1.83,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Memory Utilization (%),23.24,0.00,53.00,0.00,0.00,0.00,0.00,6.00,52.00,52.00,52.00,52.00,24.70,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,SM Utilization (%),42.71,0.00,56.00,0.00,5.70,36.00,43.00,45.00,49.00,51.30,53.00,56.00,11.99,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,2,NVIDIA A100-SXM4-40GB,GPU-ee28f968-30e0-46bf-efde-611c1f09d0ef,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Power Usage (W),52.17,51.86,79.00,51.86,51.91,51.92,51.92,51.92,51.98,52.16,52.22,52.22,2.27,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Energy Consumption (MJ),0.02,,,,,,,,,,,,,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,GPU Temperature (°C),28.02,28.00,30.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,29.00,0.18,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,3,NVIDIA A100-SXM4-40GB,GPU-c5e2a254-4397-9353-a4b6-ed3f618dac72,Power Violation (us),0.00,,,,,,,,,,,,,localhost
