Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),12.32,0.00,100.36,0.00,0.00,0.00,0.00,0.00,36.37,42.52,43.63,50.28,20.06
HTTP Connection Overhead (ms),22.68,0.00,200.00,0.00,0.00,0.00,0.00,0.00,65.94,78.03,80.12,92.44,37.44
HTTP Connection Reused (ratio),0.66,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.94,1.30,4.22,1.33,1.35,1.35,1.35,1.48,2.44,2.93,3.19,3.89,0.71
HTTP Data Sent (KB),9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,9949.24,0.00
HTTP DNS Lookup (ms),10.36,0.00,99.64,0.00,0.00,0.00,0.00,0.00,29.22,35.49,36.83,42.16,17.42
HTTP Duration (excl. conn) (ms),9039.19,1985.35,15622.42,2358.99,3522.87,4318.05,5799.14,9749.12,12084.58,13024.06,14046.65,15248.41,3558.84
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),13.88,0.52,101.95,0.53,0.54,0.56,0.60,0.67,37.92,45.77,46.64,57.20,21.02
HTTP Total Time (ms),9061.85,1985.34,15689.29,2358.96,3522.86,4318.04,5799.13,9749.10,12141.51,13103.02,14123.93,15326.36,3583.16
HTTP Waiting (TTFB) (ms),9025.30,1984.80,15582.40,2358.34,3522.26,4317.47,5798.15,9748.47,12049.96,12978.19,14001.91,15202.77,3544.99
Image Latency (ms/image),9039.37,1985.42,15622.72,2359.07,3522.93,4318.12,5799.25,9749.20,12085.08,13024.41,14046.96,15248.75,3558.90
Image Throughput (images/sec),0.14,0.06,0.50,0.07,0.07,0.08,0.08,0.10,0.17,0.23,0.28,0.42,0.08
Input Sequence Length (tokens),5425.89,5425.00,5426.00,5425.00,5425.00,5425.30,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.31
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),256.70,136.00,697.00,144.37,147.00,147.00,147.00,166.50,347.75,443.10,501.90,651.43,133.42
Output Token Count (tokens),256.70,136.00,697.00,144.37,147.00,147.00,147.00,166.50,347.75,443.10,501.90,651.43,133.42
Request Latency (ms),9039.37,1985.42,15622.72,2359.07,3522.93,4318.12,5799.25,9749.20,12085.08,13024.41,14046.96,15248.75,3558.90
Usage Completion Tokens (tokens),256.70,136.00,697.00,144.37,147.00,147.00,147.00,166.50,347.75,443.10,501.90,651.43,133.42
Usage Prompt Tokens (tokens),5425.89,5425.00,5426.00,5425.00,5425.00,5425.30,5426.00,5426.00,5426.00,5426.00,5426.00,5426.00,0.31
Usage Total Tokens (tokens),5682.60,5562.00,6123.00,5569.44,5572.65,5573.00,5573.00,5592.50,5773.00,5868.40,5927.90,6077.43,133.40

Metric,Value
Benchmark Duration (sec),29.30
Error Request Count,6.00
Maximum Response Timestamp (ns),1777571106383281408.00
Minimum Request Timestamp (ns),1777571077081172480.00
Output Token Throughput (tokens/sec),823.49
Request Count,94.00
Request Throughput (requests/sec),3.21
Total Input Sequence Length (tokens),510034.00
Total Output Sequence Length (tokens),24130.00
Total Output Tokens (tokens),24130.00
Total Token Throughput (tokens/sec),18229.54
Total Usage Completion Tokens (tokens),24130.00
Total Usage Prompt Tokens (tokens),510034.00
Total Usage Total Tokens (tokens),534164.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Power Usage (W),70.92,70.66,71.19,70.79,70.90,70.90,70.90,70.90,70.90,70.98,70.98,71.09,0.06,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Memory Used (GB),7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,GPU Temperature (°C),33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-10f83a49-51eb-ea74-5c3a-70125c681979,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Power Usage (W),72.91,71.24,105.10,71.33,71.35,71.35,71.35,71.44,71.52,72.88,76.55,104.39,5.95,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Utilization (%),2.72,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,36.40,7.26,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,GPU Temperature (°C),30.11,30.00,31.00,30.00,30.00,30.00,30.00,30.00,30.00,31.00,31.00,31.00,0.32,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-e2ac2ee6-977e-a132-e5b8-99a04d68e318,Memory Utilization (%),0.77,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,11.00,2.19,localhost
