Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,3.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.39
HTTP Connection Overhead (ms),0.07,0.00,7.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.72
HTTP Connection Reused (ratio),0.99,0.00,1.00,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),1.85,1.21,2.38,1.21,1.22,1.23,1.65,1.97,2.11,2.29,2.32,2.38,0.38
HTTP Data Sent (KB),9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,0.00
HTTP DNS Lookup (ms),0.03,0.00,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.33
HTTP Duration (excl. conn) (ms),1826.85,1137.48,6278.43,1138.94,1145.49,1151.71,1619.61,1936.03,2023.95,2193.93,2221.56,2315.58,582.97
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.60,0.52,4.77,0.53,0.54,0.54,0.54,0.54,0.55,0.55,0.58,1.56,0.43
HTTP Total Time (ms),1826.91,1137.47,6285.62,1138.93,1145.48,1151.70,1619.60,1936.02,2023.94,2193.92,2221.55,2315.64,583.52
HTTP Waiting (TTFB) (ms),1826.24,1136.93,6273.63,1138.38,1144.94,1151.16,1619.05,1935.44,2023.40,2193.39,2221.00,2314.99,582.64
Image Latency (ms/image),1826.91,1137.54,6278.63,1139.00,1145.55,1151.77,1619.68,1936.09,2024.01,2193.99,2221.62,2315.64,582.98
Image Throughput (images/sec),0.59,0.16,0.88,0.44,0.45,0.46,0.49,0.52,0.62,0.87,0.87,0.88,0.16
Input Sequence Length (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.90,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),269.41,143.00,366.00,144.98,145.00,147.00,238.00,299.00,316.50,344.30,352.10,365.01,72.93
Output Token Count (tokens),269.41,143.00,366.00,144.98,145.00,147.00,238.00,299.00,316.50,344.30,352.10,365.01,72.93
Request Latency (ms),1826.91,1137.54,6278.63,1139.00,1145.55,1151.77,1619.68,1936.09,2024.01,2193.99,2221.62,2315.64,582.98
Usage Completion Tokens (tokens),269.41,143.00,366.00,144.98,145.00,147.00,238.00,299.00,316.50,344.30,352.10,365.01,72.93
Usage Prompt Tokens (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.90,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Usage Total Tokens (tokens),5663.31,5537.00,5760.00,5538.98,5539.00,5541.00,5632.00,5692.50,5710.50,5738.30,5746.10,5759.01,72.87

Metric,Value
Benchmark Duration (sec),184.36
Maximum Response Timestamp (ns),1777507127690702848.00
Minimum Request Timestamp (ns),1777506943329022720.00
Output Token Throughput (tokens/sec),146.13
Request Count,100.00
Request Throughput (requests/sec),0.54
Total Input Sequence Length (tokens),539390.00
Total Output Sequence Length (tokens),26941.00
Total Output Tokens (tokens),26941.00
Total Token Throughput (tokens/sec),3071.85
Total Usage Completion Tokens (tokens),26941.00
Total Usage Prompt Tokens (tokens),539390.00
Total Usage Total Tokens (tokens),566331.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Power Usage (W),190.69,68.29,398.67,68.29,98.87,99.22,204.11,205.40,206.68,207.95,248.86,385.35,58.24,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Energy Consumption (MJ),0.04,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Utilization (%),80.20,0.00,100.00,0.00,0.00,11.70,72.00,100.00,100.00,100.00,100.00,100.00,34.65,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Memory Used (GB),35.96,35.31,35.97,35.31,35.97,35.97,35.97,35.97,35.97,35.97,35.97,35.97,0.10,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,GPU Temperature (°C),38.08,30.00,44.00,30.00,36.00,36.00,38.00,38.00,39.00,39.00,40.00,43.00,1.81,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Memory Utilization (%),40.48,0.00,52.00,0.00,0.00,4.00,32.00,52.00,52.00,52.00,52.00,52.00,18.70,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,SM Utilization (%),75.57,0.00,84.00,0.00,30.55,77.00,78.00,80.00,81.00,82.00,83.00,83.00,16.77,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-5fbf3b8d-0687-c153-b9cb-85ed86cc84f4,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Power Usage (W),50.77,50.52,68.37,50.58,50.58,50.64,50.64,50.64,50.70,50.70,50.70,50.76,1.37,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,Energy Consumption (MJ),0.01,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Memory Used (GB),0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,GPU Temperature (°C),28.02,28.00,29.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,28.00,29.00,0.13,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-47eca453-89c0-b408-c63d-9dbb6302145a,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
