Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.64,0.00,8.42,0.00,0.00,0.00,0.00,0.00,4.01,5.62,6.48,7.80,2.49
HTTP Connection Overhead (ms),3.00,0.00,15.07,0.00,0.00,0.00,0.00,0.00,7.08,10.40,11.77,14.88,4.57
HTTP Connection Reused (ratio),0.67,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),1.83,1.33,2.50,1.34,1.36,1.37,1.47,1.87,2.16,2.22,2.31,2.50,0.35
HTTP Data Sent (KB),9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,9949.03,0.00
HTTP DNS Lookup (ms),1.36,0.00,7.09,0.00,0.00,0.00,0.00,0.00,3.15,4.77,5.46,6.78,2.08
HTTP Duration (excl. conn) (ms),7688.09,2402.61,11903.81,3089.24,3286.88,3757.48,6314.48,7572.04,10092.10,11052.76,11337.26,11842.12,2475.92
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),2.82,0.54,11.01,0.54,0.57,0.59,0.64,0.95,5.42,7.80,8.81,10.34,3.04
HTTP Total Time (ms),7691.07,2402.60,11910.84,3089.23,3286.86,3757.46,6314.46,7572.02,10102.71,11063.29,11344.79,11850.38,2478.94
HTTP Waiting (TTFB) (ms),7685.24,2401.80,11897.07,3088.07,3286.28,3756.54,6313.88,7570.60,10084.73,11046.85,11331.99,11835.59,2473.90
Image Latency (ms/image),7688.24,2402.69,11904.16,3089.38,3286.96,3757.56,6314.56,7572.13,10092.36,11053.04,11337.49,11842.38,2475.98
Image Throughput (images/sec),0.15,0.08,0.42,0.08,0.09,0.09,0.10,0.13,0.16,0.27,0.30,0.32,0.07
Input Sequence Length (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.70,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
Output Sequence Length (tokens),243.81,143.00,366.00,145.91,148.00,152.00,179.25,257.00,306.00,320.30,334.00,366.00,67.96
Output Token Count (tokens),243.81,143.00,366.00,145.91,148.00,152.00,179.25,257.00,306.00,320.30,334.00,366.00,67.96
Request Latency (ms),7688.24,2402.69,11904.16,3089.38,3286.96,3757.56,6314.56,7572.13,10092.36,11053.04,11337.49,11842.38,2475.98
Usage Completion Tokens (tokens),243.81,143.00,366.00,145.91,148.00,152.00,179.25,257.00,306.00,320.30,334.00,366.00,67.96
Usage Prompt Tokens (tokens),5393.90,5393.00,5394.00,5393.00,5393.00,5393.70,5394.00,5394.00,5394.00,5394.00,5394.00,5394.00,0.30
Usage Total Tokens (tokens),5637.70,5537.00,5760.00,5539.91,5542.00,5546.00,5573.25,5651.00,5700.00,5714.30,5728.00,5760.00,67.94

Metric,Value
Benchmark Duration (sec),26.28
Error Request Count,2.00
Maximum Response Timestamp (ns),1777530669205584896.00
Minimum Request Timestamp (ns),1777530642929726464.00
Output Token Throughput (tokens/sec),909.31
Request Count,98.00
Request Throughput (requests/sec),3.73
Total Input Sequence Length (tokens),528602.00
Total Output Sequence Length (tokens),23893.00
Total Output Tokens (tokens),23893.00
Total Token Throughput (tokens/sec),21026.72
Total Usage Completion Tokens (tokens),23893.00
Total Usage Prompt Tokens (tokens),528602.00
Total Usage Total Tokens (tokens),552495.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std,Hostname
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Power Usage (W),71.79,71.42,72.19,71.42,71.42,71.54,71.62,71.86,71.86,72.02,72.10,72.19,0.19,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Memory Used (GB),7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.50,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,GPU Temperature (°C),33.38,32.00,34.00,32.00,32.00,32.00,33.00,34.00,34.00,34.00,34.00,34.00,0.81,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Memory Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,SM Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Decoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Encoder Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,JPEG Utilization (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,localhost
localhost,0,NVIDIA A100-SXM4-40GB,GPU-3833fd57-c624-9177-ec9a-7aff0120537b,Power Violation (us),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Power Usage (W),182.33,69.04,289.11,69.10,69.13,69.13,98.47,207.47,231.43,262.92,271.14,286.38,72.49,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,Energy Consumption (MJ),0.00,,,,,,,,,,,,,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Utilization (%),68.58,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,45.54,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Memory Used (GB),34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0.00,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,GPU Temperature (°C),35.55,30.00,40.00,30.00,30.00,30.00,34.00,36.00,38.00,39.00,40.00,40.00,2.97,localhost
localhost,1,NVIDIA A100-SXM4-40GB,GPU-9ce4335d-36e1-78c0-0dbb-04b63e12efdc,Memory Utilization (%),41.59,0.00,80.00,0.00,0.00,0.00,0.00,54.00,60.00,72.80,74.40,78.56,28.86,localhost
